index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	तम्	4.1	तमातिथ्यक्रियाशान्तरथक्षोभपरिश्रमम्	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	गौणकर्म,3.1	गौणकर्म,3.1	N2	उसको	-	-	-
2.1	आतिथ्य-	2.1	तमातिथ्यक्रियाशान्तरथक्षोभपरिश्रमम्	आतिथ्य-	आतिथ्य-	षष्ठी-तत्पुरुषः,2.2	षष्ठी-तत्पुरुषः,2.2	CP	अतिथि_का_स्वागत-क्रिया-शान्त	-	-	-
2.2	क्रिया-	2.2	-	क्रिया-	क्रिया-	तृतीया-तत्पुरुषः,2.3	तृतीया-तत्पुरुषः,2.3	CP				-
2.3	शान्त-	2.3	-	शान्त-	शान्त-	बहुव्रीहिः,2.6	बहुव्रीहिः,2.6	CP				-
2.4	रथ-	2.4		रथ-	रथ-	षष्ठी-तत्पुरुषः,2.5	षष्ठी-तत्पुरुषः,2.5	CP	रथ_का_हचकोला-परिश्रम	-	-	-
2.5	क्षोभ-	2.5		क्षोभ-	क्षोभ-	तृतीया-तत्पुरुषः,2.6	तृतीया-तत्पुरुषः,2.6	CP				
2.6	परिश्रमम्	2.6	-	परिश्रम{पुं;2;एक}	परिश्रम{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2				-
3.1	पप्रच्छ	7.1	पप्रच्छ	प्रछ्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;प्रछँ;तुदादिः}/प्रछ्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;प्रछँ;तुदादिः}/प्रछ्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;प्रछँ;तुदादिः}	प्रछ्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;प्रछँ;तुदादिः}	अभिहित_कर्ता,7.1;सकर्मक.1	अभिहित_कर्ता,7.1;सकर्मक.1	KP	पूछा	-	-	-
4.1	कुशलम्	6.1	कुशलम्	कुशल{पुं;2;एक}/कुशल{नपुं;1;एक}/कुशल{नपुं;2;एक}	कुशल{नपुं;2;एक}	मुख्यकर्म,3.1	मुख्यकर्म,3.1	N2	कुशल	-	-	-
5.1	राज्ये	5.1	राज्ये	राज्य{नपुं;1;द्वि}/राज्य{नपुं;2;द्वि}/राज्1{भावे;लट्;उ;एक;आत्मनेपदी;राजृँ;भ्वादिः}/राज्य{नपुं;8;द्वि}/राज्य{नपुं;7;एक}	राज्य{नपुं;7;एक}	विषयाधिकरणम्,3.1	विषयाधिकरणम्,3.1	N7	राज्य_का	-	-	-
6.1	राज्याश्रम-	3.1	राज्याश्रममुनिम्	राज्याश्रम	राज्याश्रम	सप्तमी-तत्पुरुषः,6.2	सप्तमी-तत्पुरुषः,6.2	CP	राज्याश्रम-मुनि	-	-	-
6.2	मुनिम्	3.2	-	मुनि{पुं;2;एक}	मुनि{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2				-
7.1	मुनिः	1.1	मुनिः	मुनि{पुं;1;एक}	मुनि{पुं;1;एक}	कर्ता,3.1	कर्ता,3.1	N1	मुनि_ने	-	-	-
