"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"अजस्य"	1	"अजस्य"	"अज{पुं;6;एक}/अ-ज{पुं;6;एक}"	"अ-ज{पुं;6;एक}"	"षष्ठीसम्बन्धः,2.1"	"षष्ठीसम्बन्धः,2.1"	"N6"	"अ_के"	"-"	"-"	"-"	"-"	"-"
2.1	"जन्म"	3	"जन्म"	"जन्मन्{नपुं;1;एक}/जन्मन्{नपुं;2;एक}/जन्म{नपुं;8;एक}"	"जन्मन्{नपुं;2;एक}"	"कर्म,3.1"	"कर्म,3.1"	"N2"	"जन्म"	"-"	"-"	"-"	"-"	"-"
3.1	"गृह्णतः"	2	"गृह्णतो"	"गृह्णत्{पुं;2;बहु(ग्रह्1;शतृ_लट्;ग्रहँ;:क्र्यादिः)}/गृह्णत्{पुं;5;एक(ग्रह्1;शतृ_लट्;ग्रहँ;:क्र्यादिः)}/गृह्णत्{पुं;6;एक(ग्रह्1;शतृ_लट्;ग्रहँ;:क्र्यादिः)}/गृह्णत्{नपुं;5;एक(ग्रह्1;शतृ_लट्;ग्रहँ;:क्र्यादिः)}/गृह्णत्{नपुं;6;एक(ग्रह्1;शतृ_लट्;ग्रहँ;:क्र्यादिः)}"	"गृह्णत्{पुं;6;एक(ग्रह्1;शतृ_लट्;ग्रहँ;:क्र्यादिः)}"	"विशेषणम्,11.1"	"विशेषणम्,11.1"	"N6"	"लेता_हुआ"	"-"	"-"	"-"	"-"	"-"
4.1	"निः-"	4	"निरीहस्य"	"निः"	"निः"	"बहुव्रीहिः,4.2"	"बहुव्रीहिः,4.2"	"CP"	"निः-ईह_का"	"-"	"-"	"-"	"-"	"-"
4.2	"ईहस्य"	"-"	"-"	"ईह{नपुं;6;एक}/ईह{पुं;6;एक}"	"ईह{नपुं;6;एक}"	"षष्ठीसम्बन्धः,5.2"	"षष्ठीसम्बन्धः,5.2"	"N6"				"-"	"-"	
5.1	"हत-"	5	"हतद्विषः"	"हत"	"हत"	"बहुव्रीहिः,5.2"	"बहुव्रीहिः,5.2"	"CP"	"हतद्-विष"	"-"	"-"	"-"	"-"	"-"
5.2	"द्विषः"	"-"	"-"	"द्विष{पुं;1;एक}"	"द्विष{पुं;1;एक}"	"विशेषणम्,11.1"	"विशेषणम्,11.1"	"N1"				"-"	"-"	
6.1	"स्वपतः"	6	"स्वपतो"	"स्वपत्{पुं;2;बहु(ष्वप्1;शतृ_लट्;ञिष्वपँ;:अदादिः)}/स्वपत्{पुं;5;एक(ष्वप्1;शतृ_लट्;ञिष्वपँ;:अदादिः)}/स्वपत्{पुं;6;एक(ष्वप्1;शतृ_लट्;ञिष्वपँ;:अदादिः)}/स्वपत्{नपुं;5;एक(ष्वप्1;शतृ_लट्;ञिष्वपँ;:अदादिः)}/स्वपत्{नपुं;6;एक(ष्वप्1;शतृ_लट्;ञिष्वपँ;:अदादिः)}"	"स्वपत्{पुं;6;एक(ष्वप्1;शतृ_लट्;ञिष्वपँ;:अदादिः)}"	"षष्ठीसम्बन्धः,7.1"	"षष्ठीसम्बन्धः,7.1"	"N6"	"सोता_हुआ"	"-"	"-"	"-"	"-"	"-"
7.1	"जागरूकस्य"	7	"जागरूकस्य"	"जागरूक{पुं;6;एक}/जागरूक{नपुं;6;एक}"	"जागरूक{नपुं;6;एक}"	"विशेषणम्,11.1"	"विशेषणम्,11.1"	"N6"	"जागरूक_का"	"-"	"-"	"-"	"-"	"-"
8.1	"याथार्थ्यं"	8	"याथार्थ्यं"	"याथार्थ्य{नपुं;1;एक}/याथार्थ्य{नपुं;2;एक}"	"याथार्थ्य{नपुं;2;एक}"	"कर्म,9.1"	"कर्म,9.1"	"N2"	"वास्तविक_प्रकृति_को"	"-"	"-"	"-"	"-"	"-"
9.1	"वेद"	9	"वेद"	"विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;:अदादिः}/विद्1{कर्तरि;लट्;उ;एक;परस्मैपदी;विदँ;:अदादिः}/वेद{पुं;8;एक}"	"विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;:अदादिः}"	"अभिहित_कर्ता,10;सकर्मक.1"	"अभिहित_कर्ता,10;सकर्मक.1"	"KP"	"समझता_है"	"-"	"-"	"-"	"-"	"-"
10.1	"कः"	10	"कस्तव"	"किम्{सर्वनाम;पुं;1;एक}"	"किम्{सर्वनाम;पुं;1;एक}"	"कर्ता,9.1"	"कर्ता,9.1"	"N1"	"कौन"	"-"	"-"	"-"	"-"	"-"
11.1	"तव"	"-"	"-"	"युष्मद्{सर्वनाम;6;एक}"	"युष्मद्{सर्वनाम;6;एक}"	"षष्ठीसम्बन्धः,8.1"	"षष्ठीसम्बन्धः,8.1"	"N6"	"तुम्हारे"	"-"	"-"	"-"	"-"	"-"
