index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	मदिर-	-	मदिर-अक्षि	मदिर	मदिर	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	खैर-आँख	-	-	-	-	-
1.2	अक्षि	-	-	अक्षि{नपुं;1;एक}/अक्षि{नपुं;2;एक}/अक्षि{नपुं;8;एक}	अक्षि{नपुं;8;एक}	सम्बोध्यः,12.1	सम्बोध्यः,12.1	N8				-	-	
2.1	मत्-	-	मत्-आनन-अर्पितं	मत्	मत्	षष्ठी-तत्पुरुषः,2.2	षष्ठी-तत्पुरुषः,2.2	CP	मत्-मुख-	-	-	-	-	-
2.2	आनन-	-	-	आनन	आनन	तृतीया-तत्पुरुषः,2.3	तृतीया-तत्पुरुषः,2.3	CP	मत्-मुख-	-	-	-	-	-
2.3	अर्पितं	-	-	अर्पितम्{नपुं;2;एक}	अर्पितम्{नपुं;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2				-	-	
3.1	रसवत्	-	रसवत्	रस{अव्य;वत्}/रस{मतुप्;नपुं;1;एक}/रस{मतुप्;नपुं;2;एक}	रस{मतुप्;नपुं;2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2	-	-	-	-	-	-
4.1	मधु	-	मधु	मधु{नपुं;1;एक}/मधु{नपुं;2;एक}/मधु{नपुं;8;एक}	मधु{नपुं;2;एक}	कर्म,5.1	कर्म,5.1	N2	मधु	-	-	-	-	-
5.1	पीत्वा	-	पीत्वा	पा1{अव्य;क्त्वा;पा;:भ्वादिः}/पी1{अव्य;क्त्वा;पीङ्;:दिवादिः}	पा1{अव्य;क्त्वा;पा;:भ्वादिः}	पूर्वकालः,10.1	पूर्वकालः,10.1	NA	-	-	-	-	-	-
6.1	बाष्प-	-	बाष्प-दूषितम्	बाष्प	बाष्प	तृतीया-तत्पुरुषः,6.2	तृतीया-तत्पुरुषः,6.2	CP	भाप-दूषित_को	-	-	-	-	-
6.2	दूषितम्	-	-	दूषित{पुं;2;एक}/दूषित{नपुं;1;एक}/दूषित{नपुं;2;एक}	दूषित{पुं;2;एक}	विशेषणम्,9.2	विशेषणम्,9.2	N2				-	-	
7.1	पर-	-	पर-लोक-उपनतं	पर	पर	कर्मधारयः,7.2	कर्मधारयः,7.2	CP	-	-	-	-	-	-
7.2	लोक-	-	-	लोक	लोक	सप्तमी-तत्पुरुषः,7.3	सप्तमी-तत्पुरुषः,7.3	CP	-	-	-	-	-	-
7.3	उपनतं	-	-	उपनत{पुं;2;एक(पर	उपनत{पुं;2;एक(पर	विशेषणम्,9.2	विशेषणम्,9.2	N2				-	-	
8.1	मे	-	मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,9.2	षष्ठीसम्बन्धः,9.2	N6	मेरा	-	-	-	-	-
9.1	जल-	-	जल-अञ्जलिं	जल	जल	षष्ठी-तत्पुरुषः,9.2	षष्ठी-तत्पुरुषः,9.2	CP	जल-अञ्जलि_को	-	-	-	-	-
9.2	अञ्जलिं	-	-	अञ्जलि{पुं;2;एक}	अञ्जलि{पुं;2;एक}	कर्म,12.1	कर्म,12.1	N2				-	-	
10.1	कथं	-	कथं	कथम्{अव्य}	कथम्{अव्य}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1	NA	कैसे	-	-	-	-	-
11.1	नु	-	नु	नु{अव्य}	नु{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA	नु	-	-	-	-	-
12.1	अनुपास्यसि	-	अनुपास्यसि	अनु_पा1{कर्तरि;लृट्;म;एक;परस्मैपदी;पा;:भ्वादिः}/अनु_पा2{कर्तरि;लृट्;म;एक;परस्मैपदी;पा;:अदादिः}	अनु_पा2कर्तरि;लृट्;म;एक;परस्मैपदी;पा;:अदादिः}	अभिहित_कर्ता	अभिहित_कर्ता	KP	अनु_पा1_प्प्_स्केगा	-	-	-	-	-
