index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	Sabxa-Axi	-	SabxAxi	Sabxa-Axi{napuM;1;eka}/Axi{napuM;2;eka}	Sabxa-Axi{napuM;2;eka}	viSeRaNam,3	Sabxa-Axi	-	-	-	-	-
2	nirviSya	-	nirviSya	viS1{avya;lyap;viSaz;:wuxAxiH}	nir_viS1{avya;lyap;viSaz;:wuxAxiH}	pUrvakAlaH,12	mUcCiwa_ho_kara	-	-	-	-	-
3	suKaM	-	suKaM	suKa{puM;2;eka}/suKa{napuM;1;eka}/suKa{napuM;2;eka}	suKam{avya}	karma,2	suKa	-	-	-	-	-
4	cirAya	-	cirAya	cirAya{avya}/cira{napuM;4;eka}	cirAya{avya}	kriyAviSeRaNam,2	xIrGa_ke_liye	-	-	-	-	-
5	wasmin	-	wasmin	wax{sarvanAma;napuM;7;eka}/wax{sarvanAma;puM;7;eka}	wax{sarvanAma;napuM;7;eka}	aXikaraNam,6	usameM	-	-	-	niRaXaH	-
6	prawiRTApiwa-rAja-SabxaH	-	prawiRTApiwarAjaSabxaH	prawiRTApiwa-rAja-Sabxa{puM;1;eka}	prawiRTApiwa-rAja-Sabxa{puM;1;eka}	viSeRaNam,7	prawiRTApiwa-rAjA-Sabxa	-	-	-	-	-
7	kOmuxvaweyaH	-	kOmuxvaweyaH	kOmuxvaweya{puM;1;eka}	kOmuxvaweya{puM;1;eka}	karwA,12	kumuxvawI ke puwra	-	-	-	-	-
8	kumuxa-avaxAwEH	-	kumuxAvawEH	kumuxa-avaxAwa{puM;3;bahu}/avaxAwa{napuM;3;bahu}	kumuxa-avaxAwa{napuM;3;bahu}	viSeRaNam,11	saPexa_kumuxinI-avaxAwa	-	-	-	-	-
9	xyAm	-	XyAM	xyo{swrI;2;eka}	xyo{swrI;2;eka}	karma,12	xyo_para	-	-	-	-	-
10	arjiwAm	-	arjiwAM	arjiwA{swrI;2;eka(arj1;kwa;arjaz;:BvAxiH)}/arjiwA{swrI;2;eka(arj2;kwa;arjaz;:curAxiH)}	arjiwA{swrI;2;eka(arj1;kwa;arjaz;:BvAxiH)}	viSeRaNam,9	sampAxana_kIM_huIM	-	-	-	-	-
11	karmaBiH	-	karmaBiH	karman{napuM;3;bahu}	karman{napuM;3;bahu}	karaNam,10	karmoM_se	-	-	-	-	-
12	Aruroha	-	Aruroha	Af_ruh1{karwari;lit;pra;eka;parasmEpaxI;ruhaz;:BvAxiH}/Af_ruh1{karwari;lit;u;eka;parasmEpaxI;ruhaz;:BvAxiH}	Af_ruh1{karwari;lit;pra;eka;parasmEpaxI;ruhaz;:BvAxiH}	aBihiwa_karwA,7;sakarmaka	caDA	-	-	-	-	-
