index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	ततः	1.1	ततो	तत{पुं;1;एक(तन्1;क्त;तनुँ;:तनादिः)}	तत{पुं;1;एक(तन्1;क्त;तनुँ;:तनादिः)}	सम्बन्धः,5.2	सम्बन्धः,5.2	N1	फैलाया_हुआ	-	-	-	-	-
2.1	गौरी-	3.1	गौरीगुरुं	गौरी-	गौरी-	षष्ठी-तत्पुरुषः,2.2	षष्ठी-तत्पुरुषः,2.2	CP	गुरु_को	-	-	-	-	-
2.2	गुरुम्	3.2	-	गुरु{पुं;2;एक}	गुरु{पुं;2;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N2				-	-	
3.1	शैलम्	4.1	शैलमारुरोहाश्वसाधनः	शैल{पुं;2;एक}/शैल{नपुं;2;एक}/शैल{नपुं;1;एक}	शैल{पुं;2;एक}	कर्म,4.1	कर्म,4.1	N2	पर्वत_को	-	-	-	-	-
4.1	आरुरोह	10.1	-	आ_रुह्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;रुहँ;:भ्वादिः}/आ_रुह्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;रुहँ;:भ्वादिः}/आ_रुह्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;रुहँ;:भ्वादिः}/आ_रुह्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;रुहँ;:भ्वादिः}/आ_रुह्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;रुहँ;:भ्वादिः}/आ_रुह्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;रुहँ;:भ्वादिः}	आ_रुह्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;रुहँ;:भ्वादिः}	अभिहित_कर्ता,5;सकर्मक.1	अभिहित_कर्ता,5;सकर्मक.1	KP	चढा	-	-	-	-	-
5.1	अश्व-	2.1	-	अश्व	अश्व-	षष्ठ्यर्थ-बहुव्रीहिः,5.2	षष्ठ्यर्थ-बहुव्रीहिः,5.2	CP	अश्व-साधन	-	-	-	-	-
5.2	साधनः	2.2	-	साधन{पुं;1;एक}	साधन{पुं;1;एक}	कर्ता,4.1	कर्ता,4.1	N1				-	-	
6.1	वर्धयन्	8.1	वर्धयन्निव	वर्धयत्{पुं;1;एक(वृध्1;णिजन्त;शतृ_लट्;वृधुँ;:भ्वादिः)}	वर्धयत्{पुं;1;एक(वृध्1;णिजन्त;शतृ_लट्;वृधुँ;:भ्वादिः)}	उपमानम्,7.1	उपमानम्,7.1	N1	-	-	-	-	-	-
7.1	इव	9.1	-	इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,4.1	उपमान_द्योतकः,4.1	NA	जैसे	-	-	-	-	-
8.1	तत्-	7.1	तत्कूटानुद्धूतैर्धातुरेणुभिः	तद्	तद्-	षष्ठी-तत्पुरुषः,8.2	षष्ठी-तत्पुरुषः,8.2	CP	वह-जालसाजी_को	-	-	-	-	-
8.2	कूटान्	7.2	-	कूट{पुं;2;बहु}	कूट{पुं;2;बहु}	कर्म,6.1	कर्म,6.1	N2				-	-	
9.1	उद्धूतैः	5.1	-		उद्धूत{पुं;3;बहु}{कृदन्त}({कृत्_धातु धू1} क्त{धातुः धूञ्} स्वादिः)	विशेषणम्,10.2	विशेषणम्,10.2	N3	-	-	-	-	-	-
10.1	धातु-	6.1	-	धातु	धातु-	षष्ठी-तत्पुरुषः,10.2	षष्ठी-तत्पुरुषः,10.2	CP	धातु-परागों_से	-	-	-	-	-
10.2	रेणुभिः	6.2	-	रेणु{पुं;3;बहु}/रेणु{स्त्री;3;बहु}	रेणु{पुं;3;बहु}	करणम्,4.1	करणम्,4.1	N3				-	-	
