index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	कुलेन	1	कुलेन	कुल{नपुं;3;एक}	कुल{नपुं;3;एक}	करणम्,5.1	करणम्,5.1	N3	कुल_से	-	-	-	-	-
2.1	कान्त्या	2	कान्त्या	कान्ति{स्त्री;3;एक}	कान्ति{स्त्री;3;एक}	करणम्,5.1	करणम्,5.1	N3	चमक_से	-	-	-	-	-
3.1	वयसा	3	वयसा	वयस्{नपुं;3;एक}/वयस्{नपुं;3;एक}	वयस्{नपुं;3;एक}	करणम्,5.1	करणम्,5.1	N3	आयु_से	-	-	-	-	-
4.1	नवेन	4	नवेन	नव{पुं;3;एक}/नव{नपुं;3;एक}	नव{नपुं;3;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N3	नव_से	-	-	-	-	-
5.1	गुणैः	5	गुणैश्च	गुण{पुं;3;बहु}	गुण{पुं;3;बहु}	तुलना_बिन्दुः,12.1	तुलना_बिन्दुः,12.1	N3	गुणों_से	-	-	-	-	-
6.1	च	-		च{अव्य}	च{अव्य}	समुच्चितः,5.1	समुच्चितः,5.1	NA	और	-	-	-	-	-
7.1	तैः	6	तैस्तैर्विनयप्रधानैः	तद्{सर्वनाम;नपुं;3;बहु}/तद्{सर्वनाम;पुं;3;बहु}	तद्{सर्वनाम;पुं;3;बहु}	वीप्सा,8.1	वीप्सा,8.1	N3	वे	-	-	-	-	-
8.1	तैः	-		तद्{सर्वनाम;नपुं;3;बहु}/तद्{सर्वनाम;पुं;3;बहु}	तद्{सर्वनाम;पुं;3;बहु}	विशेषणम्,5.1	विशेषणम्,5.1	N3	उन	-	-	-	-	-
9.1	विनय-	-	विनय-प्रधानैः	विनय	विनय	बहुव्रीहिः,9.2	बहुव्रीहिः,9.2	CP	विनय-प्रधानों_से	-	-	-	-	-
9.2	प्रधानैः	-	-	प्रधान{पुं;3;बहु}/प्रधान{नपुं;3;बहु}	प्रधान{पुं;3;बहु}	हेतुः,5.1	हेतुः,5.1	N3				-	-	
10.1	त्वम्	7	त्वमात्मनस्तुल्यममुं	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,14.1	कर्ता,14.1	N1	तुम	-	-	-	-	-
11.1	आत्मनः	-	आत्मनः	आत्मन्{पुं;2;बहु}/आत्मन्{पुं;5;एक}/आत्मन्{पुं;6;एक}	आत्मन्{पुं;6;एक}	षष्ठीसम्बन्धः,12.1	षष्ठीसम्बन्धः,12.1	N6	आत्मा_से	-	-	-	-	-
12.1	तुल्यम्	-	तुल्यम्	तुल्य{पुं;2;एक}/तुल्य{नपुं;1;एक}/तुल्य{नपुं;2;एक}	तुल्य{पुं;2;एक}	विशेषणम्,13.1	विशेषणम्,13.1	N2	तुल्य	-	-	-	-	-
13.1	अमुम्	-	अमुम्	अदस्{सर्वनाम;पुं;2;एक}	अदस्{सर्वनाम;पुं;2;एक}	कर्म,14.1	कर्म,14.1	N2	अदस्_को	-	-	-	-	-
14.1	वृणीष्व	8	वृणीष्व	वृ2{कर्तरि;लोट्;म;एक;आत्मनेपदी;वृङ्;:क्र्यादिः}	वृ2{कर्तरि;लोट्;म;एक;आत्मनेपदी;वृङ्;क्र्यादिः}	अभिहित_कर्ता,10.1	अभिहित_कर्ता,10.1	KP	ध्_वृ2_अप्_स्क्यें	-	-	-	-	-
15.1	रत्नम्	9	रत्नम्	रत्न{नपुं;1;एक}/रत्न{नपुं;2;एक}	रत्न{नपुं;1;एक}	कर्ता,16.1	कर्ता,16.1	N1	रत्न	-	-	-	-	-
16.1	समागच्छतु	10	समागच्छतु	आङ्_गम्1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;गमॢँ;:भ्वादिः}	आङ्_गम्1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;गमॢँ;भ्वादिः}	अभिहित_कर्ता,15;सकर्मक.1	अभिहित_कर्ता,15;सकर्मक.1	KP	आये	-	-	-	-	-
17.1	काञ्चनेन	11	काञ्चनेन	काञ्चन{नपुं;3;एक}/काञ्चन{नपुं;3;एक(काच्1;ल्युट्;काचिँ;:भ्वादिः)}	काञ्चन{नपुं;3;एक}	सहार्थः,15.1	सहार्थः,15.1	N3	सोने_के_से	-	-	-	-	-
