index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	yaWA	3	yaWA	yaWA{avya}	yaWA{avya}	sambanXaH,4	jEse	@just @like	-	-	niwya_sambanXaH,9	-
2	Sara-janmanA	2	SarajanmanA	Sara-janman{napuM;3;eka}	Sara-janman{napuM;3;eka}	hewuH,4	SaravaNA ke janma se	@with @the @birth @of @Kartikeya	-	-	upamAna_sambanXaH,11	BagavAn, ISvara, @The @divine
3	umA-vqRa-afkO	1	umAvqRAfkO	umA-vqRa-afka{puM;1;xvi}/afka{puM;2;xvi}/afka{puM;8;xvi}	umA-vqRa-afka{puM;1;xvi}	karwA,4	umA-Siva	@Parvati-@Shiva	-	-	upamAna_sambanXaH,13	BagavAn, ISvara,@The @divine
4	(nananxawuH)	-	(nananxawuH)	naxkarwari;lit;pra;xvi;parasmEpaxI;tunaxiz;BvAxiH	naxkarwari;lit;pra;xvi;parasmEpaxI;tunaxiz;BvAxiH	aBihiwa_karwA,3	Ananxa se garaje	@received @joy @and @roared @with @delight	-	-	-	-
5	yaWA	4	yaWA	yaWA{avya}	yaWA{avya}	sambanXaH,8	jEse	@just @like	-	-	niwya_sambanXaH,9	-
6	jayanwena	5	jayanwena	jayanwa{puM;3;eka}	jayanwa{puM;3;eka}	hewuH,8	jayanwa ke janma se 	@with @the @birth @of @Jayant	-	-	upamAna_sambanXaH,11	vyakwi, janaH,@person
7	SacI-puranxarO	6	SacIpuranxarO	SacI-puranxara{puM;8;xvi}/puranxara{puM;1;xvi}/puranxara{puM;2;xvi}	SacI-puranxara{puM;1;xvi}	karwA,8	SacI-inxra	@Shachi-@Indra	-	-	upamAna_sambanXaH,13	xevawA, xevaH
8	(nananxawuH)	-	(nananxawuH)	naxkarwari;lit;pra;xvi;parasmEpaxI;tunaxiz;BvAxiH	naxkarwari;lit;pra;xvi;parasmEpaxI;tunaxiz;BvAxiH	aBihiwa_karwA,7	Ananxa se garaje	@received @joy @and @roared @with @delight	-	-	-	-
9	waWA	7	waWA	waWA{avya}	waWA{avya}	sambanXaH,17	vEse	@likewise	-	-	-	-
10	waw-saxqSena	-	-	waw-saxqSa{puM;3;eka}/saxqSa{napuM;3;eka}	waw-saxqSa{napuM;3;eka}	viSeRaNam,11	SaravaNA Ora jayanwa ke samAna 	@with @qualities @like @Kartikeya @and @Jayant 	-	-	-	-
11	suwena	11	suwena	suwa{puM;3;eka}/suwa{puM;3;eka(Ru3;kwa;RuF;:svAxiH)}/suwa{napuM;3;eka(Ru3;kwa;RuF;:svAxiH)}/suwa{puM;3;eka(Su1;kwa;Su;:BvAxiH)}/suwa{napuM;3;eka(Su1;kwa;Su;:BvAxiH)}/suwa{puM;3;eka(Ru2;kwa;Ru;:axAxiH)}/suwa{napuM;3;eka(Ru2;kwa;Ru;:axAxiH)}	suwa{puM;3;eka}	hewuH,17	apane puwra ke janma se 	@with @the @birth @a @their @Son ( @Raghu)	-	-	raGuH 	vyakwi, janaH,@person
12	waw-samO	14	wawsamO	waw-sama{sarvanAma;puM;1;xvi}/sama{sarvanAma;puM;2;xvi}/sama{puM;8;xvi}/sama{puM;1;xvi}/sama{puM;2;xvi}	waw-sama{puM;1;xvi}	viSeRaNam,13	pArvawISiva Ora SacIinxra ke samAna 	-	-	-	-	-
13	nqpaH	8	nqpaH	nqpa{puM;1;eka}	nqpa{puM;1;eka}	karwA,17	rAjA	@raja @dilip	-	-	xilIpaH 	vyakwi, janaH,@person
14	sA	9	sA	wax{sarvanAma;swrI;1;eka}	wax{sarvanAma;swrI;1;eka}	viSeRaNam,15	vaha	@the	-	-	suxakRinA	-
15	magaXI	12	magaXI	"
magaXa{puM;8;eka}/magaXa{swrI;8;eka}"	magaXa{swrI;1;eka}	sup_samucciwaH,13	magaXa kI rAjakumArI/puwrI	@princess @of @magadh ( @queen)	-	-	-	vyakwi, janaH,@person
16	ca	10	ca	ca{avya}	ca{avya}	sup_samuccayaxyowakaH,15	Ora	@and	-	-	-	-
17	nananxawuH	13	nananxawuswawsaxqSena	naxkarwari;lit;pra;xvi;parasmEpaxI;tunaxiz;BvAxiH	naxkarwari;lit;pra;xvi;parasmEpaxI;tunaxiz;BvAxiH	aBihiwa_karwA,13	Ananxa se garaje	@also @received @joy @and @roared @with @delight	-	-	-	-
