"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"आद्यस्य"	"-"	"-"	"आद्य{पुं;6;एक}/आद्य{नपुं;6;एक}"	"आद्य{पुं;6;एक}"	"विशेषणम्,2.1"	"विशेषणम्,2.1"	"N6"	"प्रथम"	"-"	"-"	"-"	"-"	"-"
2.1	"पुंसः"	5	"पुंसस्तेनापि"	"पुम्स्{पुं;2;बहु}/पुम्स्{पुं;5;एक}/पुम्स्{पुं;6;एक}/पुंसस्{पुं;8;एक}"	"पुम्स्{पुं;6;एक}"	"षष्ठीसम्बन्धः,3.2"	"षष्ठीसम्बन्धः,3.2"	"N6"	"पुम्स्_के"	"-"	"-"	"-"	"-"	"-"
3.1	"अनु-"	4	"अनुप्रवेशादाद्यस्य"	"अनु"	"अनु"	"प्रादि-समासः,3.2"	"प्रादि-समासः,3.2"	"CP"	"अनु-भीतर_जाने_से"	"-"	"-"	"-"	"-"	"-"
3.2	"प्रवेशात्"	"-"	"-"	"प्रवेश{पुं;5;एक}"	"प्रवेश{पुं;5;एक}"	"हेतुः,11.1"	"हेतुः,11.1"	"N5"				"-"	"-"	
4.1	"तेन"	"-"	"-"	"तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}"	"तद्{सर्वनाम;पुं;3;एक}"	"करणम्,6.2"	"करणम्,6.2"	"N3"	"तेन-भी"	"-"	"-"	"-"	"-"	"-"
5.1	"अपि"	"-"	"-"	"अपि{अव्य}"	"अपि{अव्य}"	"सम्बन्धः,4.1"	"सम्बन्धः,4.1"	"NA"	"-"	"-"	"-"	"-"	"-"	"-"
6.1	"दुः-"	6	"दुर्वहम्"	"दुः"	"दुः"	"अव्ययीभावः,6.2"	"अव्ययीभावः,6.2"	"CP"	"दुः-वहन_करने_वाला"	"-"	"-"	"-"	"-"	"-"
6.2	"वहम्"	"-"	"-"	"वह{पुं;2;एक}"	"वह{पुं;2;एक}"	"विशेषणम्,8.2"	"विशेषणम्,8.2"	"N2"				"-"	"-"	
7.1	"हेम-"	1	"हेमपात्रगतं"	"हेम"	"हेम"	"षष्ठी-तत्पुरुषः,7.2"	"षष्ठी-तत्पुरुषः,7.2"	"CP"	"सोना-पात्र-गया_हुआ"	"-"	"-"	"-"	"-"	"-"
7.2	"पात्र-"	"-"	"-"	"पात्र"	"पात्र"	"सप्तमी-तत्पुरुषः,7.3"	"सप्तमी-तत्पुरुषः,7.3"	"CP"	"सोना-पात्र-गया_हुआ"	"-"	"-"	"-"	"-"	"-"
7.3	"गतम्"	"-"	"-"	"गत{पुं;2;एक}"	"गत{नपुं;1;एक}"	"विशेषणम्,8.2"	"विशेषणम्,8.2"	"N1"				"-"	"-"	
8.1	"पयः-"	3	"पयश्चरुम्"	"पयः"	"पयः"	"कर्मधारयः,8.2"	"कर्मधारयः,8.2"	"CP"	"पयः-चरु"	"-"	"-"	"-"	"-"	"-"
8.2	"चरुम्"	"-"	"-"	"चरु{पुं;2;एक}"	"चरु{पुं;2;एक}"	"कर्ता,11.1"	"कर्ता,11.1"	"N2"				"-"	"-"	
9.1	"दोर्भ्याम्"	2	"दोर्भ्यामादधानः"	"दोस्{पुं;3;द्वि}/दोस्{पुं;4;द्वि}/दोस्{पुं;5;द्वि}"	"दोस्{पुं;3;द्वि}"	"करणम्,10.1"	"करणम्,10.1"	"N3"	"भुजा_से"	"-"	"-"	"-"	"-"	"-"
10.1	"आदधानः"	"-"	"-"	"आदधान{पुं;1;एक{कृदन्त}(कृत्_धातु;धा1}शतृ_लट्{धातु;डुधाञ्}भ्वादिः"	"आदध-आन{पुं;1;एक}"	"कर्तृसमानाधिकरणम्,11.1"	"कर्तृसमानाधिकरणम्,11.1"	"N1"	"आदध-"	"-"	"-"	"-"	"-"	"-"
11.1	"(बभूव)"	"-"	"(बभूव)"	"भू1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भू;:भ्वादिः}/भू1{कर्तरि;लिट्;म;बहु;परस्मैपदी;भू;:भ्वादिः}/भू1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}"		"अभिहित_कर्ता,8;सकर्मक.1"	"अभिहित_कर्ता,8;सकर्मक.1"	"KP"	"हुआ"	"-"	"-"	"-"	"-"	"-"
