index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	prAk	7	prAgeva	prAk{avya}/prAS{swrI;1;eka}	prAk{avya}	kAlAXikaraNam,4	hoToM_se_lagAnA	-	-	-	-	-
2	eva	-	-	eva{avya}	eva{avya}	sambanXaH,1	hI	-	-	-	-	-
3	mukwAH	8	mukwA	mukwA{swrI;1;bahu}/mukwA{swrI;2;bahu}/mukwa{puM;1;bahu(mruc1;kwa;mrucuz;:BvAxiH)}/mukwA{swrI;1;bahu(mruc1;kwa;mrucuz;:BvAxiH)}/mukwA{swrI;2;bahu(mruc1;kwa;mrucuz;:BvAxiH)}/mukwa{puM;1;bahu(muc2;kwa;mucLz;:wuxAxiH)}/mukwA{swrI;1;bahu(muc2;kwa;mucLz;:wuxAxiH)}/mukwA{swrI;2;bahu(muc2;kwa;mucLz;:wuxAxiH)}	mukwa{puM;1;bahu(muc2;kwa;mucLz;:wuxAxiH)}	karwA,7	mukwa	-	-	-	-	-
4	nayana-aBirAmAH	9	nayanABirAmAH	NI1{lyut;NIF;:BvAxiH}/Nay1{lyut;Nayaz;:BvAxiH-aBirAma;puM;8;bahu}/aBirAma{puM;1;bahu(ram1;GaF;ramuz;:BvAxiH)}	aBirAma-Nay1{lyut;Nayaz;:BvAxiH-aBirAma;puM;1;bahu}	viSeRaNam,3	-	-	-	-	-	-
5	unmayUKam	-	-	unmayUKa{puM;2;eka}/unmayUKa{napuM;1;eka}/unmayUKa{napuM;2;eka}	unmayUKa{puM;2;eka}	viSeRaNam,6	unmayUKa	-	-	-	-	-
6	inxranIlam	-	-	inxranIla{puM;2;eka}	inxranIla{puM;2;eka}	karma,7	inxranIla_ko	-	-	-	-	-
7	prApya	10	prApyenxranIlaM	Ap1{avya;lyap;ApLz;:svAxiH}/Ap1{avya;lyap;ApLz;:svAxiH}/Ap2{avya;lyap;ApLz;:curAxiH}/Ap2{avya;lyap;ApLz;:curAxiH}	pra_Ap2{avya;lyap;ApLz;:curAxiH}	pUrvakAlaH,10	pra_Ap2_kara	-	-	-	-	-
8	kim	11	kimuwonmayUKam	kim{avya}/kim{sarvanAma;napuM;1;eka}/kim{sarvanAma;napuM;2;eka}	kim{sarvanAma;napuM;2;eka}	sambanXaH,10	kOna	-	-	-	-	-
9	uwa	-	-	uwa{avya}	uwa{avya}	sambanXaH,10	aWavA	-	-	-	-	-
10	(vaxew)	-	(-)	vax1{karwari;viXilif;pra;eka;parasmEpaxI;vaxaz;:BvAxiH}	vax1{karwari;viXilif;pra;eka;parasmEpaxI;vaxaz;:BvAxiH}	aBihiwa_karwA,3;sakarmaka	bole	-	-	-	-	-
