"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"यत्"	7	"यदनेन"	"यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}"	"यद्{सर्वनाम;नपुं;1;एक}"	"कर्ता,6.1"	"कर्ता,6.1"	"N1"	"जो"	"-"	"-"	"-"	"-"	"-"
2.1	"अनेन"	"-"		"इदम्{सर्वनाम;पुं;3;एक}/इदम्{सर्वनाम;नपुं;3;एक}/अन{पुं;3;एक}"	"अन{पुं;3;एक}"	"करणम्,5.1"	"करणम्,5.1"	"N3"	"अन_से"	"-"	"-"	"-"	"-"	"-"
3.1	"तरुः"	8	"तरुर्न"	"तरु{पुं;1;एक}"	"तरु{पुं;1;एक}"	"कर्म,5.1"	"कर्म,5.1"	"N1"	"वृक्ष"	"-"	"-"	"-"	"-"	"-"
4.1	"न"	"-"		"न{अव्य}"	"न{अव्य}"	"प्रतिषेधः,5.1"	"प्रतिषेधः,5.1"	"NA"	"नहीं"	"-"	"-"	"-"	"-"	"-"
5.1	"पातितः"	9	"पातितः"	"पातिन्{अव्य;तसिल्}/पातित{पुं;1;एक}"	"पातिन्{अव्य;तसिल्}"	"सम्बन्धः,6.1"	"सम्बन्धः,6.1"	"NA"	"पातिन्_से"	"-"	"-"	"-"	"-"	"-"
6.1	"अस्ति"	"-"	"अस्ति"	"अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}"	"अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}"	"अभिहित_कर्ता,1;सकर्मक.1"	"अभिहित_कर्ता,1;सकर्मक.1"	"KP"	"अस्2_प्प्_स्क्ता_है"	"-"	"-"	"-"	"-"	"-"
7.1	"तत्"	11	"तद्विटपाश्रिता"	"तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}"	"तद्{सर्वनाम;नपुं;2;एक}"	"विशेषणम्,8.2"	"विशेषणम्,8.2"	"N2"	"वह"	"-"	"-"	"-"	"-"	"-"
8.1	"विटप-"	"-"		"विटप"	"विटप"	"द्वितीया-तत्पुरुषः,8.2"	"द्वितीया-तत्पुरुषः,8.2"	"CP"	"शाखा-आश्रित"	"-"	"-"	"-"	"-"	"-"
8.2	"आश्रिता"	"-"	"-"	"आश्रि{तल्;स्त्री;1;एक}/विटप"	"आश्रिता{स्त्री;1;एक)"	"विशेषणम्,9.1"	"विशेषणम्,9.1"	"N1"				"-"	"-"	
9.1	"लता"	12	"लता"	"लता{स्त्री;1;एक}"	"लता{स्त्री;1;एक}"	"कर्म,10.1"	"कर्म,10.1"	"N1"	"बेल"	"-"	"-"	"-"	"-"	"-"
10.1	"नाशिता"	10	"क्षपिता"	"क्षपिता{क्षै;णिचि;क्त;स्त्री;1;एक}"	"क्षपिता{क्षै;णिचि;क्त;स्त्री;1;एक}"	"कर्ता,11.1"	"कर्ता,11.1"	"N1"	"नाशिन्"	"-"	"-"	"-"	"-"	"-"
11.1	"(अस्ति)"	"-"	"अस्ति"	"अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}"	"अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}"	"अभिहित_कर्ता"	"अभिहित_कर्ता"	"KP"	"-"	"-"	"-"	"-"	"-"	"-"
