index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active				
1.1	सः	1.1	स	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	कर्ता,7.1	कर्ता,7.1	N1						
2.1	राज्यम्	4.1	राज्यम्	राज्य{नपुं;1;एक}/राज्य{नपुं;2;एक}	राज्य{नपुं;2;एक}	कर्म,5.1	कर्म,5.1	N2	राज्य	राज्य				
3.1	गुरुणा	2.1	गुरुणा	गुरु{पुं;3;एक}/गुरु{नपुं;3;एक}	गुरु{पुं;3;एक}	कर्ता,4.1	कर्ता,4.1	N3	गुरु_के_द्वारा	गुरु_के_द्वारा				
4.1	दत्तम्	3.1	दत्तम्	दा3{कर्तरि;लोट्;म;द्वि;परस्मैपदी;जुहोत्यादिः}/दत्त{पुं;2;एक(दा1;क्त;भ्वादिः)}/दत्त{नपुं;1;एक(दा1;क्त;भ्वादिः)}/दत्त{नपुं;2;एक(दा1;क्त;भ्वादिः)}/दत्त{पुं;2;एक(दा3;क्त;जुहोत्यादिः)}/दत्त{नपुं;1;एक(दा3;क्त;जुहोत्यादिः)}/दत्त{नपुं;2;एक(दा3;क्त;जुहोत्यादिः)}	दत्त{नपुं;2;एक(दा1;क्त;भ्वादिः)}	विशेषणम्,2.1	विशेषणम्,2.1	N2	दिया_हुवे_ने	दिया_हुवे_ने				
5.1	प्रतिपद्य	5.1	प्रतिपद्याधिकं	प्रति_पद्1{अव्य;ल्यप्;पदँ;:दिवादिः}	प्रति_पद्1{अव्य;ल्यप्;पदँ;:दिवादिः}	पूर्वकालः,7.1	पूर्वकालः,7.1	NA	प्रतिपदी_से	प्रतिपदी_से				
6.1	अधिकम्	12.1		अधिक{पुं;2;एक}/अधिक{नपुं;1;एक}/अधिक{नपुं;2;एक}	अधिक{पुं;2;एक}	क्रियाविशेषणम्,7.1	क्रियाविशेषणम्,7.1	N2	अधिक	अधिक				
7.1	बभौ	13.1	बभौ	भा1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}/भा1{कर्तरि;लिट्;उ;एक;परस्मैपदी;अदादिः}	भा1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	भा1या	भा1या				
8.1	दिन-	6.1	दिनान्ते	दिन	दिन	षष्ठी-तत्पुरुषः,8.2	षष्ठी-तत्पुरुषः,8.2	CP	दिन-अन्त_में	at dusk	-	-	-	-
8.2	अन्ते	6.2	-	अन्त{पुं;7;एक}	अन्त{पुं;7;एक}	अधिकरणम्,9.1	अधिकरणम्,9.1	N7				-	-	
9.1	निहितम्	8.1	निहितम्	नि_धा1{क्त;डुधाञ्;:जुहोत्यादिःनि_हित;नपुं;2;एक}/नि_धा1{क्त;डुधाञ्;:जुहोत्यादिःनि_हित;नपुं;1;एक}/नि_धा1{क्त;डुधाञ्;:जुहोत्यादिःनि_हित;पुं;2;एक}	नि_धा1{नपुं;2;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N2	सूर्य_के_द्वारा	by the Sun	-	-	-	-
10.1	तेजः	9.1	तेजः	तेजः{नपुं;2;एक}/तेजः{नपुं;1;एक}/तेज{पुं;1;एक}	तेजः{नपुं;2;एक}	उपमानम्,13.2	उपमानम्,13.2	N2	ऊपर_लिया_हुआ	bestowed	-	-	-	-
11.1	सवित्रा	7.1	सवित्रेव	सवितृ{पुं;3;एक}	सवितृ{पुं;3;एक}	कर्ता,9.1	कर्ता,9.1	N3	तेजः	glare	-	-	-	-
12.1	इव	11.1		इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,10.1	उपमान_द्योतकः,10.1	NA	हु-अशन_ने	Agni	-	-	-	-
13.1	हुता-	10.1	हुताशनः	हुता-	हुता	उपपद-तत्पुरुषः,13.2	उपपद-तत्पुरुषः,13.2	CP				-	-	
13.2	अशनः	10.2	-	अशन{पुं;1;एक}	अशन{पुं;1;एक}	कर्ता,14.1	कर्ता,14.1	N1	ही	like	-	-	-	-
14.1	(बभौ)	16.1		भा1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भा;:अदादिः}/भा1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भा;:अदादिः}	भा1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भा;:अदादिः}	अभिहित_कर्ता,13.2;सकर्मक.1	अभिहित_कर्ता,13.2;सकर्मक.1	KP	ध्_भा1_प्प्_स्क्या	shined. Means: He, the Raghu having gotten the kingdom by guru, shined excessively like(/ than) Agni, bestowed glare by the Sun at dusk. ( It is believed that the Sun bestows his glare with Agni as he descends at dusk) 	-	-	-	-
15.1	(यथा)	14.1		यथा{अव्य}	यथा{अव्य}	क्रियाविशेषणम्,14.1;नित्यसम्बन्धः,16.1	क्रियाविशेषणम्,14.1;नित्यसम्बन्धः,16.1	NA						
16.1	(तथा)	15.1		तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,7.1;नित्यसम्बन्धः,15.1	क्रियाविशेषणम्,7.1;नित्यसम्बन्धः,15.1	NA						
