"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"श्रुत-"	2	"श्रुत-याग-प्रसवैः"	"श्रुत"	"श्रुत"	"द्वन्द्वः,1.2"	"द्वन्द्वः,1.2"	"CP"	"प्रसव-"	"-"	"-"	"-"	"-"	"-"
1.2	"याग-"	"-"	"-"	"याग"	"याग"	"द्वन्द्वः,1.3"	"द्वन्द्वः,1.3"	"CP"	"प्रसव-"	"-"	"-"	"-"	"-"	"-"
1.3	"प्रसवैः"	"-"	"-"	"प्रसव{पुं;3;बहु}/प्रसव{पुं;3;बहु(षू3;घञ्;षू;:तुदादिः)}/प्रसव{पुं;3;बहु(शु1;घञ्;शु;:भ्वादिः)}"	"प्रसव{पुं;3;बहु}"	"करणम्,4.1"	"करणम्,4.1"	"N3"				"-"	"-"	
2.1	"ऋषि-"	1	"ऋषि-देव-गण-स्वधा-भाजाम्"	"ऋषि"	"ऋषि"	"द्वन्द्वः,2.2"	"द्वन्द्वः,2.2"	"CP"	"ऋषि-देव-गण-स्वधा-भाजों_के"	"-"	"-"	"-"	"-"	"-"
2.2	"देव-"	"-"	"-"	"देव"	"देव"	"षष्ठी-तत्पुरुषः,2.3"	"षष्ठी-तत्पुरुषः,2.3"	"CP"	"ऋषि-देव-गण-स्वधा-भाजों_के"	"-"	"-"	"-"	"-"	"-"
2.3	"गण-"	"-"	"-"	"गण"	"गण"	"द्वन्द्वः,2.4"	"द्वन्द्वः,2.4"	"CP"	"ऋषि-देव-गण-स्वधा-भाजों_के"	"-"	"-"	"-"	"-"	"-"
2.4	"स्वधा-"	"-"	"-"	"स्वधा"	"स्वधा"	"बहुव्रीहिः,2.5"	"बहुव्रीहिः,2.5"	"CP"	"ऋषि-देव-गण-स्वधा-भाजों_के"	"-"	"-"	"-"	"-"	"-"
2.5	"भाजाम्"	"-"	"-"	"भुज्{पुं;6;बहु}/भुज्{नपुं;6;बहु}/भुजा{स्त्री;2;एक}"	"भुज्{पुं;6;बहु}"	"षष्ठीसम्बन्धः,3.1"	"षष्ठीसम्बन्धः,3.1"	"N6"				"-"	"-"	
3.1	"अनृणत्वम्"	5	"अनृणत्वमुपेयिवान्बभौ"	"अनृण{त्व;नपुं;1;एक}/अनृण{त्व;नपुं;2;एक}"	"अनृण{त्व;नपुं;2;एक}"	"कर्म,4.1"	"कर्म,4.1"	"N2"	"अनृण_को"	"-"	"-"	"-"	"-"	"-"
4.1	"उपेयिवान्"	"-"		"उपेयिवत्{पुं;1;एक(आप्1;क्तवतु;आपॢँ;:स्वादिः)}"	"उपेयिवत्{पुं;1;एक(आप्1;क्तवतु;आपॢँ;:स्वादिः)}"	"विशेषणम्,6.1"	"विशेषणम्,6.1"	"N1"	"प्राप्त_हुए"	"-"	"-"	"-"	"-"	"-"
5.1	"सः"	3	"सः"	"तद्{सर्वनाम;पुं;1;एक}"	"तद्{सर्वनाम;पुं;1;एक}"	"विशेषणम्,6.1"	"विशेषणम्,6.1"	"N1"	"उस"	"-"	"-"	"-"	"-"	"-"
6.1	"पार्थिवः"	4	"पार्थिवः"	"पार्थिव{पुं;1;एक}"	"पार्थिव{पुं;1;एक}"	"कर्ता,11.1"	"कर्ता,11.1"	"N1"	"पार्थिव_ने"	"-"	"-"	"-"	"-"	"-"
7.1	"परिधेः"	6	"परिधेर्मुक्त"	"परिधि{पुं;5;एक}/परिधि{पुं;6;एक}"	"परिधि{पुं;5;एक}"	"अपादानम्,8.1"	"अपादानम्,8.1"	"N5"	"परिधि_से"	"-"	"-"	"-"	"-"	"-"
8.1	"मुक्तः"	"-"		"मुच्{अव्य;तसिल्}/मुक्त{पुं;1;एक(म्रुच्1;क्त;म्रुचुँ;:भ्वादिः)}/मुक्त{पुं;1;एक(मुच्2;क्त;मुचॢँ;:तुदादिः)}"	"मुक्त{पुं;1;एक(मुच्2;क्त;मुचॢँ;:तुदादिः)}"	"विशेषणम्,9.2"	"विशेषणम्,9.2"	"N1"	"मुक्त"	"-"	"-"	"-"	"-"	"-"
9.1	"उष्ण-"	7	"इवोष्णदीधितिः"	"उष्ण"	"उष्ण"	"बहुव्रीहिः,9.2"	"बहुव्रीहिः,9.2"	"CP"						
9.2	"दीधितिः"	"-"		"उष्णदीधिति{पुं;1;एक}"	"उष्णदीधिति{पुं;1;एक}"	"उपमानम्,10.1"	"उपमानम्,10.1"	"N1"	"उष्णदीधिति"	"-"	"-"	"-"	"-"	"-"
10.1	"इव"	"-"		"इव{अव्य}"	"इव{अव्य}"	"उपमान_द्योतकः,6.1"	"उपमान_द्योतकः,6.1"	"NA"	"जैसे"	"-"	"-"	"-"	"-"	"-"
11.1	"बभौ"	"-"	"बभौ"	"भा1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भा;:अदादिः}/भा1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भा;:अदादिः}"	"भा1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भा;:अदादिः}"	"अभिहित_कर्ता,6;सकर्मक.1"	"अभिहित_कर्ता,6;सकर्मक.1"	"KP"	"भा1_प्प्_स्क्या"	"-"	"-"	"-"	"-"	"-"
