index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	तं	1	तं	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	कर्म,2.1	कर्म,2.1	N2	वह	-	-	-	-	-
2.1	प्राप्य	2	प्राप्य	आप्1{अव्य;ल्यप्;आपॢँ;:स्वादिः}/आप्1{अव्य;ल्यप्;आपॢँ;:स्वादिः}/आप्2{अव्य;ल्यप्;आपॢँ;:चुरादिः}/आप्2{अव्य;ल्यप्;आपॢँ;:चुरादिः}	प्र_आङ्_आप्1{अव्य;ल्यप्;आपॢँ;:स्वादिः}	पूर्वकालः,5.1	पूर्वकालः,5.1	NA	प्र_आङ्_आप्1_कर	-	-	-	-	-
3.1	सर्व-	3	सर्व-अवयवान्-अवद्यं	सर्व	सर्व	कर्मधारयः,3.2	कर्मधारयः,3.2	CP	-	-	-	-	-	-
3.2	अवयवान्	-	-	अवयव{पुं;2;एक}	अवयव{पुं;2;एक}	कर्म,4.1	कर्म,4.1	N2				-	-	
4.1	अवद्यं	-		अवद्य{पुं;2;एक}	अवद्य{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2	-	-	-	-	-	-
5.1	व्यावर्तत	4	व्यावर्ततान्योपगमात्कुमारी	वि_आङ्_वृत्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;वृतुँ;:भ्वादिः}	वि_आङ्_वृत्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;वृतुँ;भ्वादिः}	अभिहित_कर्ता,7;सकर्मक.1	अभिहित_कर्ता,7;सकर्मक.1	KP	वि_आङ्_वृत्1_अप्_स्क्या	-	-	-	-	-
6.1	अन्य-	-		अन्य	अन्य	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP	अन्य-	-	-	-	-	-
6.2	उपगमात्	-	-	उपगम{पुं;5;एक(अन्य	उपगम{पुं;5;एक}	अपादानम्,5.1	अपादानम्,5.1	N5				-	-	
7.1	कुमारी	-	कुमारी	कुमारी{स्त्री;1;एक}/कुमारिन्{पुं;1;एक}	कुमारी{स्त्री;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	कन्या_ने	-	-	-	-	-
8.1	षट्-	11	षट्-पद-आलि	षष्	षष्	बहुव्रीहिः,8.2	बहुव्रीहिः,8.2	CP	छः-पैर-आलि	-	-	-	-	-
8.2	पद-	-	-	पद	पद	षष्ठी-तत्पुरुषः,8.3	षष्ठी-तत्पुरुषः,8.3	CP	छः-पैर-आलि	-	-	-	-	-
8.3	आलि	-	-	आलि{नपुं;2;एक}/आलि{नपुं;1;एक}	आलि{नपुं;1;एक}	कर्ता,14.1	कर्ता,14.1	N1				-	-	
9.1	प्रफुल्लम्	6	प्रफुल्लम्	प्रफुल्ल{पुं;2;एक}/प्रफुल्ल{नपुं;2;एक}/प्रफुल्ल{नपुं;1;एक}	प्रफुल्ल{पुं;2;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N2	प्रफुल्ल_को	-	-	-	-	-
10.1	सहकारम्	7	सहकारम्	सहकार{पुं;1;एक}	सहकार{पुं;1;एक}	कर्म,11.1	कर्म,11.1	N1	सह-सह2-	-	-	-	-	-
11.1	एत्य	8	एत्य	आङ्_इ1{अव्य;ल्यप्;इण्;:अदादिः}	आङ्_इ1{अव्य;ल्यप्;इण्;अदादिः}	पूर्वकालः,14.1	पूर्वकालः,14.1	NA	आ_कर	-	-	-	-	-
12.1	वृक्ष-	9	वृक्ष-अन्तरम्	वृक्ष	वृक्ष	कर्मधारयः,12.2	कर्मधारयः,12.2	CP	वृक्ष-अन्तर	-	-	-	-	-
12.2	अन्तरम्	-	-	अन्तर{पुं;2;एक}/अन्तर{नपुं;2;एक}/अन्तर{नपुं;1;एक}	अन्तर{पुं;2;एक}	कर्म,14.1	कर्म,14.1	N2				-	-	
13.1	न	5	न	न{अव्य}	न{अव्य}	प्रतिषेधः,14.1	प्रतिषेधः,14.1	NA	नहीं	-	-	-	-	-
14.1	काङ्क्षति	10	काङ्क्षति	काक्ष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;काक्षिँ;:भ्वादिः}	काक्ष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;काक्षिँ;भ्वादिः}	अभिहित_कर्ता,8;सकर्मक.1	अभिहित_कर्ता,8;सकर्मक.1	KP	ध्_काक्ष्1_प्प्_स्क्ता_है	-	-	-	-	-
