index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	त्वां	-	त्वां	युष्मद्{सर्वनाम;2;एक}	युष्मद्{सर्वनाम;2;एक}	कर्म,2.1	कर्म,2.1	N2	तुम्हें	-	-	-	-	-
2.1	हरता	-	हरता	हरत्{पुं;3;एक(हृ1;शतृ_लट्;हृञ्;:भ्वादिः)}/हरत्{नपुं;3;एक(हृ1;शतृ_लट्;हृञ्;:भ्वादिः)}	हरत्{पुं;3;एक(हृ1;शतृ_लट्;हृञ्;:भ्वादिः)}	विशेषणम्,3.2	विशेषणम्,3.2	N3	ले_जाते_हुए	-	-	-	-	-
3.1	करुणा-	-	करुणा-विमुखेन	करुणा	करुणा	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	दया-मुंह_मोड्@ऽए_हुए_से	-	-	-	-	-
3.2	विमुखेन	-	-	विमुख{पुं;3;एक}/विमुख{नपुं;3;एक}	विमुख{पुं;3;एक}	करणम्,10.1	करणम्,10.1	N3				-	-	
4.1	मृत्युना	-	मृत्युना	मृत्यु{पुं;3;एक}	मृत्यु{पुं;3;एक}	विशेषणम्,3.2	विशेषणम्,3.2	N3	मृत्यु	-	-	-	-	-
5.1	मे	-	मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;4;एक}	प्रयोजनम्,10.1	प्रयोजनम्,10.1	N4	मेरे_लिये	-	-	-	-	-
6.1	किम्	-	किम्	किम्{अव्य}/किम्{सर्वनाम;नपुं;1;एक}/किम्{सर्वनाम;नपुं;2;एक}	किम्{सर्वनाम;नपुं;2;एक}	मुख्यकर्म,10.1	मुख्यकर्म,10.1	N2	क्या	-	-	-	-	-
7.1	न	-	न	न{अव्य}	न{अव्य}	प्रतिषेधः,10.1	प्रतिषेधः,10.1	NA	नहीं	-	-	-	-	-
8.1	हृतं	-	हृतं	हृत{पुं;2;एक(हृ1;क्त;हृञ्;:भ्वादिः)}/हृत{नपुं;1;एक(हृ1;क्त;हृञ्;:भ्वादिः)}/हृत{नपुं;2;एक(हृ1;क्त;हृञ्;:भ्वादिः)}/हृत{पुं;2;एक(हृ2;क्त;हृ;:जुहोत्यादिः)}/हृत{नपुं;1;एक(हृ2;क्त;हृ;:जुहोत्यादिः)}/हृत{नपुं;2;एक(हृ2;क्त;हृ;:जुहोत्यादिः)}	हृत{नपुं;2;एक(हृ2;क्त;हृ;:जुहोत्यादिः)}	कर्मसमानाधिकरणम्,10.1	कर्मसमानाधिकरणम्,10.1	N2	अपहरण_करने_वाले_को	-	-	-	-	-
9.1	त्वं	-	त्वं	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,10.1	कर्ता,10.1	N1	तुम	-	-	-	-	-
10.1	वद	-	वद	वद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;वदँ;:भ्वादिः}/वद{पुं;8;एक}/वद{नपुं;8;एक}	वद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;वदँ;:भ्वादिः}	अभिहित_कर्ता,9;सकर्मक.1	अभिहित_कर्ता,9;सकर्मक.1	KP	बोलो	-	-	-	-	-
