"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"यदि"	3	"यदि"	"यदि{अव्य}"	"यदि{अव्य}"	"सम्बन्धः,10.1"	"सम्बन्धः,10.1"	"NA"	"यदि"	"-"	"-"	"-"	"-"	"-"
2.1	"हन्त"	6	"हन्त"	"हन्त{अव्य}"	"हन्त{अव्य}"	"सम्बन्धः,3.1"	"सम्बन्धः,3.1"	"NA"	"प्रसन्नता"	"-"	"-"	"-"	"-"	"-"
3.1	"प्रहरिष्यतः"	"-"		"प्र_हृ1{कर्तरि;लृट्;प्र;द्वि;परस्मैपदी;हृञ्;:भ्वादिः}"	"प्र_हृ1{कर्तरि;लृट्;प्र;द्वि;परस्मैपदी;हृञ्;:भ्वादिः}"	"विशेषणम्,4.1"	"विशेषणम्,4.1"	"KP"	"प्रहार_करेंगे"	"-"	"-"	"-"	"-"	"-"
4.1	"विधेः"	9	"विधेः"	"विधि{पुं;5;एक}/विधि{पुं;6;एक}/विध्1{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;विधँ;:तुदादिः}"	"विधि{पुं;6;एक}"	"षष्ठीसम्बन्धः,5.1"	"षष्ठीसम्बन्धः,5.1"	"N6"	"विधि_से"	"-"	"-"	"-"	"-"	"-"
5.1	"अन्यत्"	"-"		"अन्यत्{अव्य}/अन्य{सर्वनाम;नपुं;1;एक}/अन्य{सर्वनाम;नपुं;2;एक}"	"अन्यत्{अव्य}"	"विशेषणम्,6.1"	"विशेषणम्,6.1"	"NA"	"-"	"-"	"-"	"-"	"-"	"-"
6.1	"किम्"	8	"किमिवान्यत्प्रहरिष्यतो"	"किम्{अव्य}/किम्{सर्वनाम;नपुं;1;एक}/किम्{सर्वनाम;नपुं;2;एक}"	"किम्{अव्य}"	"विशेषणम्,10.1"	"विशेषणम्,10.1"	"NA"	"-"	"-"	"-"	"-"	"-"	"-"
7.1	"इव"	"-"		"इव{अव्य}"	"इव{अव्य}"	"सम्बन्धः,6.1"	"सम्बन्धः,6.1"	"NA"	"जैसे"	"-"	"-"	"-"	"-"	"-"
8.1	"साधनं"	7	"साधनं"	"साधन{नपुं;1;एक}/साधन{नपुं;2;एक}/साधन{नपुं;1;एक(साध्1;ल्युट्;साधँ;:स्वादिः)}/साधन{नपुं;2;एक(साध्1;ल्युट्;साधँ;:स्वादिः)}"	"साधन{नपुं;1;एक}"	"कर्ता,10.1"	"कर्ता,10.1"	"N1"	"साधन"	"-"	"-"	"-"	"-"	"-"
9.1	"न"	4	"न"	"न{अव्य}"	"न{अव्य}"	"प्रतिषेधः,10.1"	"प्रतिषेधः,10.1"	"NA"	"नहीं"	"-"	"-"	"-"	"-"	"-"
10.1	"भविष्यति"	5	"भविष्यति"	"भू1{कर्तरि;लृट्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}/भविष्यत्{पुं;7;एक}/भविष्यत्{नपुं;7;एक}"	"भू1{कर्तरि;लृट्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}"	"अभिहित_कर्ता"	"अभिहित_कर्ता"	"KP"	"होगा"	"-"	"-"	"-"	"-"	"-"
