"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"स्तुतिभ्यः"	5	"स्तुतिभ्यो"	"स्तुति{स्त्री;4;बहु}/स्तुति{स्त्री;5;बहु}"	"स्तुति{स्त्री;5;बहु}"	"अपादानम्,11.3"	"अपादानम्,11.3"	"N5"	"स्तुतियों_से"	"-"	"-"	"-"	"-"	"-"
2.1	"उदधेः"	1	"उदधेरिव"	"उदधि{पुं;5;एक}/उदधि{पुं;6;एक}"	"उदधि{पुं;6;एक}"	"षष्ठीसम्बन्धः,3.1"	"षष्ठीसम्बन्धः,3.1"	"N6"	"समुद्र_के"	"-"	"-"	"-"	"-"	"-"
3.1	"रत्नानि"	2	"रत्नानि"	"रत्न{नपुं;1;बहु}/रत्न{नपुं;2;बहु}/रत्न{नपुं;8;बहु}"	"रत्न{नपुं;2;बहु}"	"उपमानम्,4.1"	"उपमानम्,4.1"	"N2"	"रत्न_को"	"-"	"-"	"-"	"-"	"-"
4.1	"इव"	"-"	"-"	"इव{अव्य}"	"इव{अव्य}"	"उपमान_द्योतकः,10.1"	"उपमान_द्योतकः,10.1"	"NA"	"जैसे"	"-"	"-"	"-"	"-"	"-"
5.1	"विवस्वतः"	4	"विवस्वतः"	"विवस्वत्{पुं;2;बहु}/विवस्वत्{पुं;5;एक}/विवस्वत्{पुं;6;एक}"	"विवस्वत्{पुं;6;एक}"	"षष्ठीसम्बन्धः,6.1"	"षष्ठीसम्बन्धः,6.1"	"N6"	"सूर्य_के"	"-"	"-"	"-"	"-"	"-"
6.1	"तेजाम्सि"	3	"तेजाम्सीव"	"तेजस्{नपुं;1; बहु}/तेजस्{नपुं;2;बहु}/तेजस्{नपुं;8;बहु}"	"तेजस्{नपुं;1; बहु}"	"उपमानम्,7.1"	"उपमानम्,7.1"	"N1"	"सूर्यरश्मि_को"	"-"	"-"	"-"	"-"	"-"
7.1	"इव"	"-"	"-"	"इव{अव्य}"	"इव{अव्य}"	"उपमान_द्योतकः,10.1"	"उपमान_द्योतकः,10.1"	"NA"	"जैसे"	"-"	"-"	"-"	"-"	"-"
8.1	"ते"	9	"ते"	"तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}"	"युष्मद्{सर्वनाम;6;एक}"	"षष्ठीसम्बन्धः,9.1"	"षष्ठीसम्बन्धः,9.1"	"N6"	"तुम्हारे"	"-"	"-"	"-"	"-"	"-"
9.1	"दूराणि"	7	"दूराणि"	"दूर{नपुं;1;बहु}/दूर{नपुं;2;बहु}/दूर{नपुं;8;बहु}"	"दूर{नपुं;2;बहु}"	"विशेषणम्,10.1"	"विशेषणम्,10.1"	"N2"	"दूर"	"-"	"-"	"-"	"-"	"-"
10.1	"चरितानि"	8	"चरितानि"	"चरित{नपुं;1;बहु(चर्1;क्त;चरँ;:भ्वादिः)}/चरित{नपुं;2;बहु(चर्1;क्त;चरँ;:भ्वादिः)}"	"चरित{नपुं;2;बहु(चर्1;क्त;चरँ;:भ्वादिः)}"	"कर्म,11.3"	"कर्म,11.3"	"N2"	"चरित"	"-"	"-"	"-"	"-"	"-"
11.1	"वि-"	6	"व्यतिरिच्यन्ते"	"वि"	"वि"	"प्रादि-समासः,11.2"	"प्रादि-समासः,11.2"	"CP"	"अलग_हुए_जाते_हैं"	"-"	"-"	"-"	"-"	"-"
11.2	"अति-"	"-"	"-"	"अति"	"अति"	"प्रादि-समासः,11.3"	"प्रादि-समासः,11.3"	"CP"	"अलग_हुए_जाते_हैं"	"-"	"-"	"-"	"-"	"-"
11.3	"रिच्यन्ते"	"-"	"-"	"रिच्1{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;रिचिँर्;:रुधादिः}"	"रिच्1{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;रिचिँर्;:रुधादिः}"	"अभिहित_कर्म,10;सकर्मक.1"	"अभिहित_कर्म,10.1;सकर्मक.1"	"KP"				"-"	"-"	
