"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"पुराणस्य"	1	"पुराणस्य"	"पुराण{नपुं;6;एक}"	"पुराण{नपुं;6;एक}"	"षष्ठीसम्बन्धः,2.1"	"षष्ठीसम्बन्धः,2.1"	"N6"	"पुराण_के"	"-"	"-"	"-"	"-"	"-"
2.1	"कवेः"	2	"कवेस्तस्य"	"कवि{पुं;5;एक}/कवि{पुं;6;एक}/कव्1{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;कवँ;:भ्वादिः}"	"कवि{पुं;6;एक}"	"षष्ठीसम्बन्धः,5.2"	"षष्ठीसम्बन्धः,5.2"	"N6"	"कवि_का"	"-"	"-"	"-"	"-"	"-"
3.1	"तस्य"	"-"	"-"	"तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक}"	"तद्{सर्वनाम;पुं;6;एक}"	"षष्ठीसम्बन्धः,5.2"	"षष्ठीसम्बन्धः,5.2"	"N6"	"उसका"	"-"	"-"	"-"	"-"	"-"
4.1	"वर्ण-"	3	"वर्णस्थानसमीरिता"	"वर्ण"	"वर्ण"	"षष्ठी-तत्पुरुषः,4.2"	"षष्ठी-तत्पुरुषः,4.2"	"CP"	"वर्ण-वायु_के_समान_गया_हुआ"	"-"	"-"	"-"	"-"	"-"
4.2	"स्थान-"	"-"	"-"	"स्थान"	"स्थान"	"सप्तमी-तत्पुरुषः,4.3"	"सप्तमी-तत्पुरुषः,4.3"	"CP"	"वर्ण-वायु_के_समान_गया_हुआ"	"-"	"-"	"-"	"-"	"-"
4.3	"समीरिता"	"-"	"-"	"सम्_ईर्2{क्त;ईरँ;:चुरादिः)}"	"सम्_ईर्2{अव्य;क्त;ईरँ;:चुरादिः)}"	"विशेषणम्,5.2"	"विशेषणम्,5.2"	"NA"				"-"	"-"	
5.1	"सम्स्कारा-"	5	"कृतसम्स्कारा"	"सम्स्कारा"	"सम्स्कारा"	"बहुव्रीहिः,5.2"	"बहुव्रीहिः,5.2"	"CP"	"-"	"-"	"-"	"-"	"-"	"-"
5.2	"कृत"	"-"	"-"	"कृ2{अव्य;क्त्वा;कृञ्;:स्वादिः}/कृ3{अव्य;क्त्वा;डुकृञ्;:तनादिः}/कृ1{अव्य;क्त्वा;कृञ्;:भ्वादिः}"	"कृ2{अव्य;क्त्वा;कृञ्;:स्वादिः}"	"विशेषणम्,9.1"	"विशेषणम्,9.1"	"NA"	"शुद्ध_करने_वाला"	"-"	"-"	"-"	"-"	"-"
6.1	"भारती"	7	"भारती"	"भारती{स्त्री;1;एक}"	"भारती{स्त्री;1;एक}"	"कर्ता,9.1"	"कर्ता,9.1"	"N1"	"मार_डाल_कर"	"-"	"-"	"-"	"-"	"-"
7.1	"चरितार्था"	6	"चरितार्थैव"	"चरितार्था{स्त्री;1;एक}"	"चरितार्था{स्त्री;1;एक}"	"उपमानम्,6.1"	"उपमानम्,6.1"	"N1"	"वाणी"	"-"	"-"	"-"	"-"	"-"
8.1	"एव"	"-"	"-"	"एव{अव्य}"	"एव{अव्य}"	"उपमान_द्योतकः,7.1"	"उपमान_द्योतकः,7.1"	"NA"	"चरितार्था"	"-"	"-"	"-"	"-"	"-"
9.1	"बभूव"	4	"बभूव"	"भू1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भू;:भ्वादिः}/भू1{कर्तरि;लिट्;म;बहु;परस्मैपदी;भू;:भ्वादिः}/भू1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}"	"भू1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}"	"अभिहित_कर्ता,6;सकर्मक.1"	"अभिहित_कर्ता,6;सकर्मक.1"	"KP"	"हुई"	"-"	"-"	"-"	"-"	"-"
