"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"शाप-"	4	"शापयन्त्रितपौलस्त्यबलात्कारकचग्रहैः"	"शाप"	"शाप"	"तृतीया-तत्पुरुषः,1.2"	"तृतीया-तत्पुरुषः,1.2"	"CP"	"शाप-यन्त्रिन्_से"	"-"	"-"	"-"	"-"	"-"
1.2	"यन्त्रित-"	"-"	"-"	"यन्त्रित"	"यन्त्रित"	"कर्मधारयः,1.3"	"कर्मधारयः,1.3"	"CP"	"शाप-यन्त्रिन्_से"	"-"	"-"	"-"	"-"	"-"
1.3	"पौलस्त्य-"	"-"	"-"	"पौलस्त्य"	"पौलस्त्य"	"षष्ठी-तत्पुरुषः,1.4"	"षष्ठी-तत्पुरुषः,1.4"	"CP"	"शाप-यन्त्रिन्_से"	"-"	"-"	"-"	"-"	"-"
1.4	"बलात्कार-"	"-"	"-"	"बलात्कार"	"बलात्कार"	"बहुव्रीहिः,1.5"	"बहुव्रीहिः,1.5"	"CP"	"शाप-यन्त्रिन्_से"	"-"	"-"	"-"	"-"	"-"
1.5	"कच-"	"-"	"-"	"कच"	"कच"	"षष्ठी-तत्पुरुषः,1.6"	"षष्ठी-तत्पुरुषः,1.6"	"CP"	"शाप-यन्त्रिन्_से"	"-"	"-"	"-"	"-"	"-"
1.6	"ग्रहैः"	"-"	"-"	"ग्रह{पुं;3;बहु}/ग्रह{नपुं;3;बहु}"	"ग्रह{नपुं;3;बहु}"	"हेतुः,2.2"	"हेतुः,2.2"	"N3"				"-"	"-"	
2.1	"अ-"	"-"	"-"	"अ"	"अ"	"नञ्-तत्पुरुषः,2.2"	"नञ्-तत्पुरुषः,2.2"	"CP"	"अ-दूषित"	"-"	"-"	"-"	"-"	"-"
2.2	"दूषितान्"	"-"	"-"	"दूषित{पुं;2;बहु}"	"दूषित{पुं;2;बहु}"	"विशेषणम्,4.2"	"विशेषणम्,4.2"	"N2"				"-"	"-"	
3.1	"स्वर्ग-"	2	"स्वर्गबन्दीनां"	"स्वर्ग"	"स्वर्ग"	"षष्ठी-तत्पुरुषः,3.2"	"षष्ठी-तत्पुरुषः,3.2"	"CP"	"स्वर्ग-बन्दियों_के"	"-"	"-"	"-"	"-"	"-"
3.2	"बन्दीनां"	"-"	"-"	"बन्दिन्{पुं;6;बहु}"	"बन्दिन्{पुं;6;बहु}"	"षष्ठीसम्बन्धः,4.2"	"षष्ठीसम्बन्धः,4.2"	"N6"				"-"	"-"	
4.1	"वेणी-"	3	"वेणीबन्धानदूषितान्"	"वेणी"	"वेणी"	"षष्ठी-तत्पुरुषः,4.2"	"षष्ठी-तत्पुरुषः,4.2"	"CP"	"वेणी-बन्ध"	"-"	"-"	"-"	"-"	"-"
4.2	"बन्धान्"	"-"	"-"	"बन्ध{पुं;2;बहु}"	"बन्ध{पुं;2;बहु}"	"कर्म,5.1"	"कर्म,5.1"	"N2"				"-"	"-"	
5.1	"मोक्ष्यध्वे"	1	"मोक्ष्यध्वे"	"मुच्2{कर्तरि;लृट्;म;बहु;आत्मनेपदी;मुचॢँ;:तुदादिः}/मुच्2{कर्मणि;लृट्;म;बहु;आत्मनेपदी;मुचॢँ;:तुदादिः}/मुह्1{भावे;लृट्;म;बहु;आत्मनेपदी;मुहँ;:दिवादिः}"	"मुच्2{कर्तरि;लृट्;म;बहु;आत्मनेपदी;मुचॢँ;:तुदादिः}"	"अभिहित_कर्ता"	"अभिहित_कर्ता"	"KP"	"मुक्त_होगे"	"-"	"-"	"-"	"-"	"-"
