"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"केवलं"	1	"केवलं"	"केवल{पुं;2;एक}/केवल{नपुं;1;एक}/केवल{नपुं;2;एक}"	"केवल{नपुं;2;एक}"	"विशेषणम्,2.1"	"विशेषणम्,2.1"	"N2"	"केवल"	"-"	"-"	"-"	"-"	"-"
2.1	"स्मरणेन"	2	"स्मरणेनैव"	"स्मरण{नपुं;3;एक}{कृदन्त}({कृत्_धातु स्मृ1} ल्युट्{धातुः स्मृ} भ्वादिः)}"	"स्मरण{नपुं;3;एक}{कृदन्त}({कृत्_धातु स्मृ1} ल्युट्{धातुः स्मृ} भ्वादिः)}"	"हेतुः,4.1"	"हेतुः,4.1"	"N3"	"स्मरणेन-ही"	"-"	"-"	"-"	"-"	"-"
3.1	"एव"	"-"	"-"	"एव{अव्य}"	"एव{अव्य}"	"सम्बन्धः,2.1"	"सम्बन्धः,2.1"	"NA"	"-"	"-"	"-"	"-"	"-"	"-"
4.1	"पुनासि"	3	"पुनासि"	"पू2{कर्तरि;लट्;म;एक;परस्मैपदी;पूञ्;:क्र्यादिः}"	"पू2{कर्तरि;लट्;म;एक;परस्मैपदी;पूञ्;:क्र्यादिः}"	"अभिहित_कर्म,5.1"	"अभिहित_कर्म,5.1"	"KP"	"पवित्र_करते_हो"	"-"	"-"	"-"	"-"	"-"
5.1	"पुरुषम्"	4	"पुरुषम्"	"पुरुष{पुं;2;एक}"	"पुरुष{पुं;2;एक}"	"कर्म,4.1"	"कर्म,4.1"	"N2"	"पुरुष_को"	"-"	"-"	"-"	"-"	"-"
6.1	"यतः"	5	"यतः"	"यतः{अव्य}"	"यतः{अव्य}"	"सम्बन्धः,4.1"	"सम्बन्धः,4.1"	"NA"	"यत्_के"	"-"	"-"	"-"	"-"	"-"
8.1	"अनेन"	6	"अनेन"	"इदम्{सर्वनाम;पुं;3;एक}/इदम्{सर्वनाम;नपुं;3;एक}/अन{पुं;3;एक}"	"अन{पुं;3;एक}"	"हेतुः,13.1"	"हेतुः,13.1"	"N3"	"अन_से"	"-"	"-"	"-"	"-"	"-"
9.1	"वृत्तयः"	7	"वृत्तयः"	"वृत्ति{स्त्री;1;बहु}/वृत्ति{स्त्री;8;बहु}"	"वृत्ति{स्त्री;1;बहु}"	"कर्ता,13.1"	"कर्ता,13.1"	"N1"	"अस्तित्व"	"-"	"-"	"-"	"-"	"-"
10.1	"शेषाः"	8	"शेषा"	"शेषा{स्त्री;1;एक}"	"शेषा{स्त्री;1;एक}"	"विशेषणम्,9.1"	"विशेषणम्,9.1"	"N1"	"-"	"-"	"-"	"-"	"-"	"-"
11.1	"त्वयि"	9	"निवेदितफलास्त्वयि"	"युष्मद्{सर्वनाम;7;एक}"	"युष्मद्{सर्वनाम;7;एक}"	"अधिकरणम्,9.1"	"अधिकरणम्,9.1"	"N7"	"तुममें"	"-"	"-"	"-"	"-"	"-"
12.1	"निवेदित-"	"-"	"-"	"निवेदित"	"निवेदित"	"बहुव्रीहिः,12.2"	"बहुव्रीहिः,12.2"	"CP"	"-"	"-"	"-"	"-"	"-"	"-"
12.2	"फलाः"	"-"	"-"	"फल{पुं;1;बहु}/निवेदित"	"फल{पुं;1;बहु}"	"कर्तृसमानाधिकरणम्,13.1"	"कर्तृसमानाधिकरणम्,13.1"	"N1"				"-"	"-"	
13.1	"(सन्ति)"	"-"	"(-)"	"अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;:अदादिः}/सत्{नपुं;8;बहु}/सत्{नपुं;1;बहु(अस्2;शतृ_लट्;असँ;:अदादिः)}/सत्{नपुं;2;बहु(अस्2;शतृ_लट्;असँ;:अदादिः)}"	"अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;:अदादिः}"	"अभिहित_कर्ता,9.1"	"अभिहित_कर्ता,9.1"	"KP"	"हैं"	"-"	"-"	"-"	"-"	"-"
