index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	wayoH	1	wayorxivaspawerAsIxekaH	wax{sarvanAma;puM;6;xvi}/wax{sarvanAma;napuM;6;xvi}/wax{sarvanAma;swrI;6;xvi}/wax{sarvanAma;puM;7;xvi}/wax{sarvanAma;napuM;7;xvi}/wax{sarvanAma;swrI;7;xvi}	wax{sarvanAma;swrI;7;xvi}	nirXAraNam,2	unameM	@From/@of @the @two	-	-	Kusha, Kumuxtawi	-
2	ekaH	1	wayorxivaspawerAsIxekaH	eka{saMKyeyam;puM;1;eka}	eka{saMKyeyam;puM;1;eka}	karwA,5	eka	@One @person	-	-	Kusha	-
3	xivaspaweH	1	wayorxivaspawerAsIxekaH	xivaspawi{puM;5;eka}/xivaspawi{puM;6;eka}	xivaspawi{puM;6;eka}	RaRTIsambanXaH,4	inxra_kA	@Indra'@s	-	-	-	@Indra
4	siMhAsana-arXa-BAk	2	siMhAsanArXaBAk	siMhAsana-arXaBAj{puM;1;eka}/arXaBAj{napuM;1;eka}/arXaBAj{napuM;2;eka}	siMhAsana-arXaBAj{puM;1;eka}	karwqsamAnAXikaraNam,5	siMhAsana-arXaBAj	@Half @of @Throne	-	-	-	-
5	(AsIw)	1	(wayorxivaspawerAsIxekaH)	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,2	WA	@obtained/@became	-	-	-	-
6	xviwIyA	3	xviwIyApi	xviwIyA{swrI;1;eka}/xviwIyA{swrI;1;eka}	xviwIyA{swrI;1;eka}	karwA,11	xusarI	@Second @person	-	-	Kumuxtawi	-
7	api	3	xviwIyApi	api{avya}	api{avya}	sambanXaH,6	BI	@also	-	-	-	-
8	SacyAH	5	SacyAH	SacI{swrI;5;eka}/SacI{swrI;6;eka}	SacI{swrI;6;eka}	RaRTIsambanXaH,9	SacI-kA	@Shachi'@s	-	-	-	-
9	pArijAwa-aMSa-BAginI	6	pArijAwAMSaBAginI	pArijAwa-aMSa-BAginI{swrI;1;eka}	pArijAwa-aMSa-BAginI{swrI;1;eka}	viSeRaNam,10	pArijAwa-aMSa-BAginI	@obtained @part @of @Parijata @Vruksha	-	-	-	-
10	saKI	4	saKI	saKI{swrI;1;eka}	saKI{swrI;1;eka}	karwqsamAnAXikaraNam,11	-	@friend	-	-	-	-
11	AsIw	1	wayorxivaspawerAsIxekaH	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,6	WA	@obtained/@became	-	-	-	-
