index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	असौ	1	असौ	अदस्{सर्वनाम;पुं;1;एक}/अदस्{सर्वनाम;स्त्री;1;एक}/असि{पुं;7;एक}/असि{स्त्री;7;एक}/असु{पुं;7;एक}	अदस्{सर्वनाम;पुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	-	-	-	-	-	-
2.1	महाकाल-	2	महाकालनिकेतनस्य	महा	महा	बहुव्रीहिः,2.2	बहुव्रीहिः,2.2	CP	महाकाल-निकेतन_के	-	-	-	-	-
2.2	निकेतनस्य	-	-	काल	काल	विशेषणम्,3.1	विशेषणम्,3.1	N6				-	-	
3.1	चन्द्रमौलेः	5	चन्द्रमौलेः	चन्द्रमौलि{पुं;5;एक}/चन्द्रमौलि{पुं;6;एक}/चन्द्रमौलि{स्त्री;5;एक}/चन्द्रमौलि{स्त्री;6;एक}	चन्द्रमौलि{पुं;6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	रहता_हुआ	-	-	-	-	-
4.1	अदूरे	3	वसन्नदूरे 	अदूर{नपुं;1;द्वि}/अदूर{नपुं;2;द्वि}/अदूरा{स्त्री;1;द्वि}/अदूरा{स्त्री;2;द्वि}/अदूर{नपुं;8;द्वि}/अदूरा{स्त्री;8;एक}/अदूरा{स्त्री;8;द्वि}/अदूर{नपुं;7;एक}	अदूर{नपुं;7;एक}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7	अदूर_में	-	-	-	-	-
5.1	वसन्			वसत्{पुं;1;एक(वस्1;शतृ_लट्;वसँ;:भ्वादिः)}	वसत्{पुं;1;एक(वस्1;शतृ_लट्;वसँ;:भ्वादिः)}	वर्तमानसमानकालः,12.1	वर्तमानसमानकालः,12.1	N1	चन्द्रमौलि_की	-	-	-	-	-
6.1	तमिस्र-	6	तमिस्रपक्षेऽपि	तमिस्र	तमिस्र	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP	प्रियाओं_से	-	-	-	-	-
6.2	पक्षे	-	-	पक्ष{नपुं;7;एक}	पक्ष{नपुं;7;एक}	अधिकरणम्,12.1	अधिकरणम्,12.1	N7				-	-	
7.1	अपि	6	तमिस्रपक्षेऽपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,6.2	सम्बन्धः,6.2	NA	ज्योत्स्ने_से	-	-	-	-	-
8.1	प्रियाभिः	7	सहप्रियाभिर्ज्योत्स्नावतो	प्रिया{स्त्री;3;बहु}	प्रिया{स्त्री;3;बहु}	सहार्थः,12.1	सहार्थः,12.1	N3	मूच्छित_होता_है	-	-	-	-	-
9.1	सह			सह{अव्य}	सह{अव्य}	सहार्थ_द्योतकः,8.1	सहार्थ_द्योतकः,8.1	NA	प्रदोषों_को	-	-	-	-	-
10.1	ज्योत्स्नावतः			ज्योत्स्ना{मतुप्;पुं;5;एक}/ज्योत्स्ना{मतुप्;पुं;6;एक}/ज्योत्स्ना{मतुप्;पुं;2;बहु}/ज्योत्स्ना{मतुप्;नपुं;5;एक}/ज्योत्स्ना{मतुप्;नपुं;6;एक}	ज्योत्स्ना{मतुप्;पुं;6;एक}	षष्ठीसम्बन्धः,11.1	षष्ठीसम्बन्धः,11.1	N6	-	-	-	-	-	-
11.1	प्रदोषान्	9	प्रदोषान्	प्रदोष{पुं;2;बहु}/प्रदोष{पुं;2;बहु(दुष्1;घञ्;दुषँ;:दिवादिः)}	प्रदोष{पुं;2;बहु}	कर्म,12.1	कर्म,12.1	N2	-	-	-	-	-	-
12.1	निर्विशति	8	निर्विशति	निस्_विश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विशँ;:तुदादिः}/निर्_विश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विशँ;:तुदादिः}	निर्_विश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विशँ;:तुदादिः}	अभिहित_कर्ता,1.1	अभिहित_कर्ता,1.1	KP	-	-	-	-	-	-
13.1	किल	4	किल	किल{अव्य}	किल{अव्य}	उद्गारवाचकः,12.1	उद्गारवाचकः,12.1	NA	-	-	-	-	-	-
