"index"	"word"	"poem"	"sandhied_word"	"morph_analysis"	"morph_in_context"	"kaaraka_sambandha"	"possible_relations"	"color_code"	"hindi_meaning"	"English_meaning"	"samAsa"	"prayoga"	"sarvanAma"	"Name-classification"
1.1	"तस्य"	1	" तस्योदये"	"तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक}"	"तद्{सर्वनाम;पुं;6;एक}"	"विशेषणम्,2.1"	"विशेषणम्,2.1"	"N6"	"उसके"	"-"	"-"	"-"	"-"	"-"
2.1	"उदये"	"-"	" तस्योदये"	"उदय{पुं;7;एक}/उदय{पुं;7;एक(इ1;घञ्;इण्;:अदादिः)}"	"उदय{पुं;7;एक(इ1;घञ्;इण्;:अदादिः)}"	"भावलक्षणसप्तमी_समानकालः,10.1"	"भावलक्षणसप्तमी_समानकालः,10.1"	"N7"	"उदय_में"	"-"	"-"	"-"	"-"	"-"
3.1	"चतुः-"	3	"चतुर्मूतेः"	"चतुः"	"चतुः"	"बहुव्रीहिः,3.2"	"बहुव्रीहिः,3.2"	"CP"	"चतुः-मूर्ति_से"	"-"	"-"	"-"	"-"	"-"
3.2	"मूर्तेः"	"-"	"-"	"मूर्ति{पुं;5;एक}/मूर्ति{पुं;6;एक}/मूर्ति{स्त्री;5;एक}/मूर्ति{स्त्री;6;एक}"	"मूर्ति{पुं;6;एक}"	"षष्ठीसम्बन्धः,2.1"	"षष्ठीसम्बन्धः,2.1"	"N6"				"-"	"-"	
4.1	"पौलस्त्य-"	4	"पौल्स्त्य्चकितेश्वराः "	"पौलस्त्य"	"पौलस्त्य"	"पञ्चमी-तत्पुरुषः,4.2"	"पञ्चमी-तत्पुरुषः,4.2"	"CP"	"पौलस्त्य"	"-"	"-"	"-"	"-"	"-"
4.2	"चकित-"	"-"	"-"	"चकित"	"चकित"	"बहुव्रीहिः,4.3"	"बहुव्रीहिः,4.3"	"CP"	"पौलस्त्य"	"-"	"-"	"-"	"-"	"-"
4.3	"ईश्वराः"	"-"	"-"	"ईश्वर{पुं;1;बहु}/{पुं;8;एक}"	"ईश्वर{पुं;1;बहु}"	"विशेषणम्,7.1"	"विशेषणम्,7.1"	"N1"				"-"	"-"	
5.1	"विरजस्कैः"	5	" विरजस्कैर्नभस्वद्भिर्दिशः"	"विरजस्क{पुं;3;बहु}"	"विरजस्क{पुं;3;बहु}"	"विशेषणम्,6.1"	"विशेषणम्,6.1"	"N3"	"-"	"-"	"-"	"-"	"-"	"-"
6.1	"नभस्वद्भिः"	"-"	"-"	"नभस्वद्{मतुप्;पुं;3;बहु}/नभस्वद्{मतुप्;नपुं;3;बहु}"	"नभस्वद्{मतुप्;नपुं;3;बहु}"	"करणम्,8.1"	"करणम्,8.1"	"N3"	"विरजस्कैः-आकाश_से"	"-"	"-"	"-"	"-"	"-"
7.1	"दिशः"	7	"-"	"दिश्{स्त्री;1;बहु}/दिश्{स्त्री;2;बहु}/दिश्{स्त्री;5;एक}/दिश्{स्त्री;6;एक}/दिश्{स्त्री;8;बहु}"	"दिश्{स्त्री;6;एक}"	"षष्ठीसम्बन्धः,10.1"	"षष्ठीसम्बन्धः,10.1"	"N6"	"स्थान_के"	"-"	"-"	"-"	"-"	"-"
8.1	"उच्छ्वसिताः"	8	"उच्छ्वसिताः"	"उच्छ्वसित{पुं;1;बहु(उत्_श्वस्1;क्त;श्वस;:अदादिः)}/उच्छ्वसित{पुं;8;बहु(उत्_श्वस्1;क्त;श्वस;:अदादिः)}"	"उच्छ्वसित{पुं;1;बहु(उत्_श्वस्1;क्त;श्वस;:अदादिः)}"	"कर्तृसमानाधिकरणम्,10.1"	"कर्तृसमानाधिकरणम्,10.1"	"N1"	"उच्छ्वसित"	"-"	"-"	"-"	"-"	"-"
9.1	"इव"	9	"इव"	"इव{अव्य}"	"इव{अव्य}"	"सम्बन्धः,7.1"	"सम्बन्धः,7.1"	"NA"	"जैसे"	"-"	"-"	"-"	"-"	"-"
10.1	"(अभवन्)"	"-"	"(अभवन्)"	"भू1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;भू;:भ्वादिः}"	"भू1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;भू;:भ्वादिः}"	"अभिहित_कर्ता,7.1"	"अभिहित_कर्ता,7.1"	"KP"	"हुईं"	"-"	"-"	"-"	"-"	"-"
