index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	waw-suwaH	3	wawsuwaH	waw-Ru2{karwari;lat;pra;xvi;parasmEpaxI;Ru;:axAxiH}/waw-suwa{puM;1;eka(Ru3;kwa;RuF;:svAxiH)}/waw-suwa{puM;1;eka(Su1;kwa;Su;:BvAxiH)}/waw-suwa{puM;1;eka(Ru2;kwa;Ru;:axAxiH)}/suwa{puM;1;eka}	waw-suwa{puM;1;eka}	karwA,5	waw-puwra_ne	-	-	-	-	-
2	labXa-pAlana-viXO	1	labXapAlanaviXO	laB1{kwa;dulaBazR;:BvAxiH-pAl1;lyut;pAlaz;:curAxiH-viXu;puM;7;eka}/viXa{puM;8;xvi}/viXa{puM;1;xvi}/viXa{puM;2;xvi}/viXi{puM;7;eka}	viXi{puM;7;eka}	viRayAXikaraNam,5	viXi_meM	-	-	-	-	-
3	Kexam	4	KexamApa	Kexa{puM;2;eka}	Kexa{puM;2;eka}	karma,5	WakAna	-	-	-	-	-
4	na	2	na	na{avya}	na{avya}	prawiReXaH,5	-	-	-	-	-	-
5	Apa	-	-	Ap1{karwari;lit;ma;bahu;parasmEpaxI;ApLz;:svAxiH}/Ap1{karwari;lit;pra;eka;parasmEpaxI;ApLz;:svAxiH}/Ap1{karwari;lit;u;eka;parasmEpaxI;ApLz;:svAxiH}	Ap1{karwari;lit;pra;eka;parasmEpaxI;ApLz;:svAxiH}	aBihiwa_karwA,1;sakarmaka	prApwa_nahIM_kiyA	-	-	-	-	-
