index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	puruRa-aXirAjaH	-	puruRAXirAjo	puruRa-aXirAj{puM;1;eka};	puruRa-aXirAj{puM;1;eka};	karwA,6	puruRa_aXirAja	-	-	-	-	-
2	iwi	-	iwi	iwi{avya}	iwi{avya}	sambanXaH,6	EsA	-	-	-	-	-
3	mqga-aXirAjasya	-	mqgAXirAjasya	mqga-aXirAja{puM;6;eka}	mqga-aXirAja{puM;6;eka}	RaRTIsambanXaH,5	aXirAj_kA	-	-	-	-	-
4	pragalBam	-	pragalBam	pragalBa{puM;2;eka}/pragalBa{napuM;2;eka}/pragalBa{napuM;1;eka}	pragalBa{puM;2;eka}	viSeRaNam,5	sAhasI_ko	-	-	-	-	-
5	vacaH	-	vaco	vacaH{napuM;2;eka}/vacaH{napuM;1;eka}/vaca{puM;1;eka}	vacaH{napuM;2;eka}	karma,6	vacaH_ko	-	-	-	-	-
6	niSamya	-	niSamya	ni_{kqw_XAwu;Sam1};avya;lyap;Samuz;xivAxiH{kqxanwa}	ni_{kqw_XAwu;Sam1};avya;lyap;Samuz;xivAxiH{kqxanwa}	pUrvakAlaH,11	sunakara	-	-	-	-	-
7	prawi-Ahawa-aswraH	-	prawyAhawAswro	prawi-Ahawa-aswra{puM;1;eka}	prawi-Ahawa-aswra{puM;1;eka}	karwA,11	aswra	-	-	-	-	-
8	giriSa-praBAvAw	-	giriSapraBAvAxAwmanyavajFAM	giriSa-praBAva{puM;5;eka}	giriSa-praBAva{puM;5;eka}	hewuH,11	praBAva_se	-	-	-	-	-
9	Awmani	-	-	Awman{sarvanAma;7;eka}/Awman{sarvanAma;puM;7;eka}	Awman{sarvanAma;7;eka}	aXikaraNam,11	Awman_a_meM	-	-	-	-	-
10	avajFAm	-	-	avajFA{swrI;2;eka}	avajFA{swrI;2;eka}	karma,11	anAxara_ko	-	-	-	-	-
11	SiWilIcakAra	-	SiWilIcakAra	SiWilI_kq3{karwari;lit;pra;eka;parasmEpaxI;dukqF;:wanAxiH}/kq3{karwari;lit;u;eka;parasmEpaxI;dukqF;:wanAxiH}	SiWilI_kq3{karwari;lit;pra;eka;parasmEpaxI;dukqF;:wanAxiH}	aBihiwa_karwA,7	DIlA kara  	-	-	-	-	-
