index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	xilIpa-vaMSajAH	4	xilIpa-vaMSajAH	xilIpa-vaMSa-ja{puM;1;bahu}/vaMSa-ja{puM;8;bahu}	xilIpa-vaMSa-ja{puM;1;bahu}	karwA,9	xilIpa-vaMSa_ne	-	-	-	-	-
2	hi	3	hi	hi{avya}	hi{avya}	sambanXaH,1	hi	-	-	-	-	-
3	prayawAH	7	prayawAH	prayawA{swrI;1;bahu}/prayawA{swrI;2;bahu}/prayawa{puM;1;bahu(yaw1;GaF;yawIz;:BvAxiH)}	prayawa{puM;1;bahu(yaw1;GaF;yawIz;:BvAxiH)}	varwamAnasamAnakAlaH,9	-	-	-	-	-	-
4	pariNAme	2	pariNAme	pariNAma{puM;7;eka}	pariNAma{puM;7;eka}	aXikaraNam,3	pariNAma_meM	-	-	-	-	-
5	guNavawsuwa-ropiwa-SriyaH	1	guNavawsuwaropiwaSriyaH	guNavawsuwa-ropiwa-SrI{swrI;6;eka}/SrI{swrI;5;eka}/SrI{swrI;1;bahu}/SrI{swrI;2;bahu}/SrI{swrI;8;bahu}	guNavawsuwa-ropiwa-SrI{swrI;1;bahu}	karwA,3	guNavawsuwa-ropiwa-SrI_se	-	-	-	-	-
6	waru-valka-vAsasAm	6	waruvalkavAsasAM	waru-valka-vAsas{napuM;6;bahu}/vAsas{puM;6;bahu}	waru-valka-vAsas{puM;6;bahu}	viSeRaNam,7	vqkRa-vqkRa_kI_CAla-vAsas	-	-	-	-	-
7	saMyaminAm	8	saMyaminAM	saMyamin{puM;6;bahu}	saMyamin{puM;6;bahu}	RaRTIsambanXaH,8	saMyamiyoM_ke	-	-	-	-	-
8	paxavIm	5	paxavIM	paxavI{puM;2;eka}	paxavI{puM;2;eka}	muKyakarma,9	paxavI_ko	-	-	-	-	-
9	prapexire	9	prapexire	pra_pax1{karwari;lit;pra;bahu;AwmanepaxI;paxaz;:xivAxiH}/pra_pax1{karmaNi;lit;pra;bahu;AwmanepaxI;paxaz;:xivAxiH}	pra_pax1{karwari;lit;pra;bahu;AwmanepaxI;paxaz;:xivAxiH}	aBihiwa_karwA,1;sakarmaka	SaraNa_gayA	-	-	-	-	-
