index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	vAyO	-	vAyO	vAya{puM;1;xvi}/vAya{puM;2;xvi}/vAya{puM;8;xvi}/vAyu{puM;7;eka}	vAyu{puM;7;eka}	karwA,2	havA_meM	-	-	-	-	-
2	sawi	-	sawi	sawI{swrI;8;eka}/saw{puM;7;eka}/saw{puM;7;eka(as2;Sawq_lat;asaz;:axAxiH)}/saw{napuM;7;eka(as2;Sawq_lat;asaz;:axAxiH)}	saw{napuM;7;eka(as2;Sawq_lat;asaz;:axAxiH)}	BAvalakRaNasapwamI_samAnakAlaH,7	vixyamAna_meM	-	-	-	-	-
3	xviwaye	-	xviwaye	xviwaya{sarvanAma;napuM;1;xvi}/xviwaya{sarvanAma;napuM;2;xvi}	xviwaya{sarvanAma;napuM;1;xvi}	viSeRaNam,5	xviwaya_ko	-	-	-	-	-
4	api	-	api	api{avya}	api{avya}	sambanXaH,3	BI	-	-	-	-	-
5	we	-	we	wax{sarvanAma;puM;1;bahu}/wax{sarvanAma;napuM;1;xvi}/wax{sarvanAma;napuM;2;xvi}/wax{sarvanAma;swrI;1;xvi}/wax{sarvanAma;swrI;2;xvi}/yuRmax{sarvanAma;4;eka}/yuRmax{sarvanAma;6;eka}	wax{sarvanAma;napuM;1;xvi}	karwA,7	ve	-	-	-	-	-
6	calAH	-	calAH	cala{puM;1;bahu}/calA{swrI;1;bahu}/calA{swrI;2;bahu}/cala{puM;8;bahu}/calA{swrI;8;bahu}	cala{puM;1;bahu}	karwqsamAnAXikaraNam,7	-	-	-	-	-	-
7	Bavanwi	-	Bavanwi	BU1{karwari;lat;pra;ma;parasmEpaxI;BU;:BvAxiH}/BavanwI{swrI;8;eka}/Bavaw{napuM;1;bahu}/Bavaw{napuM;2;bahu}	BU1{karwari;lat;pra;ma;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,5	howe_hEM	-	-	-	-	-
