index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	विनयन्ते	6.1	विनयन्ते	वि_णी1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;णीञ्;:भ्वादिः}	वि_णी1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;णीञ्;:भ्वादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP	वि_णी1_अप्_स्क्ते_हैं					
2.1	स्म	7.1	स्म	स्म{अव्य}	स्म{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA						
3.1	तद्-	1.1	तद्योधा	तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक}योध{पुं;1;बहु}.योध{पुं;8;बहु}	तद्	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	वे योद्धा	-	-	-	-	-
3.2	योधाः	1.2	-		योध{पुं;1;बहु}	कर्ता,1.1	कर्ता,1.1	N1				-	-	
4.1	विजय-	5.1	मधुभिर्विजयश्रमम्	विजय	विजय	षष्ठी-तत्पुरुषः,4.2	षष्ठी-तत्पुरुषः,4.2	CP	-	-	-	-	-	-
4.2	श्रमम्	5.2	-	श्रम;पुं;2;एक}/श्रम{नपुं;1;एक}/श्रम{नपुं;2;एक}	श्रम;पुं;2;एक}	कर्म,1.1	कर्म,1.1	N2				-	-	
5.1	मधुभिः	4.1	-	मधु{नपुं;3;बहु}/मधु{स्त्री;3;बहु}/मधु{पुं;3;बहु}	मधु{नपुं;3;बहु}	करणम्,4.2	करणम्,4.2	N3	मधु_से	-	-	-	-	-
6.1	आस्तीर्ण-	2.1	अस्तीर्णाजिनरत्नासु	आस्तीर्ण	आस्तीर्ण	बहुव्रीहिः,6.2	बहुव्रीहिः,6.2	CP	आस्तीर्ण-अजिन-रत्नाओं_में	-	-	-	-	-
6.2	अजिन-	2.2	-	अजिन	अजिन	सप्तमी-तत्पुरुषः,6.3	सप्तमी-तत्पुरुषः,6.3	CP	आस्तीर्ण-अजिन-रत्नाओं_में	-	-	-	-	-
6.3	रत्नासु	2.3	-	रत्ना{स्त्री;7;बहु}	रत्ना{स्त्री;7;बहु}	विशेषणम्,7.3	विशेषणम्,7.3	N7				-	-	
7.1	द्राक्षा-	3.1	द्राक्षावलयभूमिषु	द्राक्षा	द्राक्षा	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	CP	अंगूर-कंकण-भूमि_में	-	-	-	-	-
7.2	वलय-	3.2	-	वलय	वलय	षष्ठी-तत्पुरुषः,7.3	षष्ठी-तत्पुरुषः,7.3	CP	अंगूर-कंकण-भूमि_में	-	-	-	-	-
7.3	भूमिषु	3.3	-	भूमि{स्त्री;7;बहु}/भूमि{पुं;7;बहु}/भूमि{नपुं;7;बहु}	भूमि{स्त्री;7;बहु}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7				-	-	
