index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	च	3	-	च{अव्य}	च{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	-	-	-	-	-	-
2.1	(ताः)	-	(-)	तद्{सर्वनाम;स्त्री;2;बहु}/तद्{सर्वनाम;स्त्री;1;बहु}	तद्{सर्वनाम;स्त्री;1;बहु}	मुख्यकर्म,8.1	मुख्यकर्म,8.1	N1	वे	-	-	-	-	-
3.1	हेम-	1	-	हेमन्	हेमन्	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	सोना-पक्ष-प्रभा2-	-	-	-	-	-
3.2	पक्ष-	-	-	पक्ष	पक्ष	षष्ठी-तत्पुरुषः,3.3	षष्ठी-तत्पुरुषः,3.3	CP	सोना-पक्ष-प्रभा2-	-	-	-	-	-
3.3	प्रभा-	-	-	प्रभा	प्रभा	षष्ठी-तत्पुरुषः,3.4	षष्ठी-तत्पुरुषः,3.4	CP	सोना-पक्ष-प्रभा2-	-	-	-	-	-
3.4	जालम्	-	-	जाल{नपुं;2;एक}/जाल{नपुं;1;एक}	जाल{नपुं;2;एक}	कर्म,4.1	कर्म,4.1	N2				-	-	
4.1	वितन्वता	4	-	वि_तन्1{शतृ_लट्;तनुँ;:तनादिःवि_तन्वत्;नपुं;3;एक}/वि_तन्1{शतृ_लट्;तनुँ;:तनादिःवि_तन्वत्;पुं;3;एक}	वि_तन्1{शतृ_लट्;तनुँ;:तनादिःवि_तन्वत्;नपुं;3;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N3	वि_तन्1ते_हुए	-	-	-	-	-
5.1	वेग-	8	-	वेग	वेग	तृतीया-तत्पुरुषः,5.2	तृतीया-तत्पुरुषः,5.2	CP	वेग-अकृष्ट-पयोमुच्_से	-	-	-	-	-
5.2	आकृष्ट-	-	-	आकृष्ट	आकृष्ट	बहुव्रीहिः,5.3	बहुव्रीहिः,5.3	CP	वेग-अकृष्ट-पयोमुच्_से	-	-	-	-	-
5.3	पयोमुचा	-	-	पयोमुच्{पुं;3;एक}/पयोमुच्{नपुं;3;एक}/पयोमुच्{स्त्री;3;एक}	पयोमुच्{पुं;3;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N3				-	-	
6.1	सुपर्णेन	7	-	सुपर्ण{पुं;3;एक}	सुपर्ण{पुं;3;एक}	कर्ता,8.1	कर्ता,8.1	N3	अच्छे_पंखों_वाले_से	-	-	-	-	-
7.1	गगने	2	-	गगन{नपुं;2;द्वि}/गगन{नपुं;1;द्वि}/गगन{नपुं;7;एक}	गगन{नपुं;7;एक}	अधिकरणम्,8.1	अधिकरणम्,8.1	N7	आकाश_में	-	-	-	-	-
8.1	उह्यन्ते	5	-	वह्1{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;वहँ;:भ्वादिः}/वह्1{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;वहँ;:भ्वादिः}	वह्1{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;वहँ;:भ्वादिः}	अभिहित_कर्म,2;सकर्मक.1	अभिहित_कर्म,2;सकर्मक.1	KP	ध्_वह्1_अप्_स्क्_जातीं_थीं	-	-	-	-	-
9.1	स्म	6	-	स्म{अव्य}	स्म{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	-	-	-	-	-	-
