index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	wawaH	1	wawoZsya	wawaH{avya}	wawaH{avya}	sambanXaH,12	vahAz_se					
2	ca	8	ca	ca{avya}	ca{avya}	samuccaya_xyowakaH,10	Ora					
3	Xarmaviw	11	Xarmaviw	Xarmavix{napuM;1;eka}	Xarmavix{napuM;1;eka}	viSeRaNam,5	Xarmavix					
4	rAjA	3	rAjA	rAjan{puM;1;eka}	rAjan{puM;1;eka}	viSeRaNam,5	rAjA					
5	pANdavaH	5	pANdavaH	pANdu{puM;1;bahu}/pANdu{swrI;1;bahu}/pANdava{puM;1;eka}/pANdu{puM;8;bahu}/pANdu{swrI;8;bahu}	pANdu{puM;1;eka}	karwA,12	pANdu					
6	jala-SIwena	4	jalaSIwena	jala-SIwa{puM;3;eka}/SIwa{napuM;3;eka}	jala-SIwa{puM;3;eka}	viSeRaNam,8	jala-SIwa_se					
7	asya			ixam{sarvanAma;puM;6;eka}/ixam{sarvanAma;napuM;6;eka}/as3{karwari;lot;ma;eka;parasmEpaxI;asuz;:xivAxiH}	ixam{sarvanAma;puM;6;eka}	RaRTIsambanXaH,9	isakA					
8	pANinA	2	pANinA	pANi{puM;3;eka}	pANi{puM;3;eka}	karaNam,12	hAWa_se					
9	uraH	6	uro	uras{napuM;1;eka}/uras{napuM;2;eka}/uras{napuM;8;eka}	uras{napuM;2;eka}	samucciwaH,10	sInA					
10	muKam	7	muKam	muKa{puM;2;eka}/muKa{napuM;1;eka}/muKa{napuM;2;eka}	muKa{puM;2;eka}	karma,12	muKa_ko					
11	SanakEH	9	SanakEH	SanakEH{avya}	SanakEH{avya}	kriyAviSeRaNam,12	XIra_XIre					
12	paryamArjawa	10	paryamArjawa	pari_mqj2{karwari;laf;ma;bahu;parasmEpaxI;mqjUz;:curAxiH}	pari_mqj2{karwari;laf;ma;bahu;parasmEpaxI;mqjUz;:curAxiH}	aBihiwa_karwA,5;sakarmaka	pari_mqj2_pp_skyA					
