index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
6	XqwarARtram	5	XqwarARtram	XqwarARtra{puM;2;eka}	XqwarARtra{puM;2;eka}	karma,8	XqwarARtra					
7	ca	6	ca	ca{avya}	ca{avya}	sambanXaH,11	Ora					
8	samprekRya	7	samprekRya	sam_pra_IkR1{avya;lyap;IkRaz;:BvAxiH}	sam_pra_IkR1{avya;lyap;IkRaz;:BvAxiH}	pUrvakAlaH,11	acCI_waraha_se_xeKa_kara					
9	saxA	8	saxA	saxA{avya}	saxA{avya}	kriyAviSeRaNam,11	hameSA					
10	xurmanAH	10	xurmanAH	xurmanas{puM;1;eka}	xurmanas{puM;1;eka}	viXeya_viSeRaNam,12	Kinnamanaska					
11	Bavawi	9	Bavawi	BU1{karwari;lat;pra;eka;parasmEpaxI;BU;:BvAxiH}/BavawI{swrI;8;eka}/Bavaw{sarvanAma;puM;7;eka}/Bavaw{puM;7;eka}	BU1{karwari;lat;pra;eka;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,12;sakarmaka	ApameM					
12	(BImaH)			BIma{puM;1;eka}	BIma{puM;1;eka}	karwA,11	BIma_ne					
