index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	xoRAn	1	xoRAMSca	xoRa{puM;2;bahu}	xoRa{puM;2;bahu}	muKyakarma,4	xoRa					
2	ca			ca{avya}	ca{avya}	samuccaya_xyowakaH,1	BI					
3	manwra-BexeRu	2	manwraBexeRu	manwra-Bexa{puM;7;bahu}	manwra-Bexa{puM;7;bahu}	aXikaraNam,1	manwra-Bexa_meM					
4	brUyAH	3	brUyAswvaM	brU1{karwari;viXilif;ma;eka;parasmEpaxI;brUF;:axAxiH}	brU1{karwari;viXilif;ma;eka;parasmEpaxI;brUF;:axAxiH}	aBihiwa_karwA,5;sakarmaka	kaho					
5	wvam			yuRmax{sarvanAma;1;eka}	yuRmax{sarvanAma;1;eka}	karwA,4	wuma					
6	manwri-maNdale	4	manwrimaNdale	manwri-maNdala{puM;7;eka}/maNdala{napuM;8;xvi}/maNdala{napuM;1;xvi}/maNdala{napuM;2;xvi}/maNdala{napuM;7;eka}/maNdalA{swrI;8;eka}/maNdalA{swrI;8;xvi}/maNdalA{swrI;1;xvi}/maNdalA{swrI;2;xvi}	manwri-maNdala{puM;7;eka}	aXikaraNam,9	manwri-maNdala					
7	aBexe	5	aBexe	aBexA{swrI;1;xvi}/aBexA{swrI;2;xvi}/aBexa{puM;7;eka}	aBexa{puM;7;eka}	samucciwaH,6	aBexa_meM					
8	ca	6	ca	ca{avya}	ca{avya}	samuccaya_xyowakaH,6	BI					
9	guNAn	7	guNAnrAjanpunaH	guNa{puM;2;bahu}	guNa{puM;2;bahu}	samucciwaH,1	guNoM_ko					
10	rAjan			rAjan{puM;8;eka}/rAjaw{puM;1;eka(rAj1;Sawq_lat;rAjqz;:BvAxiH)}	rAjan{puM;8;eka}	samboXyaH,4	rAjA					
11	punaH			punaH{avya}	punaH{avya}	vIpsA,12	Pira					
12	punaH	8	punarariMxama	punaH{avya}	punaH{avya}	kriyAviSeRaNam,4	Pira					
13	arinxama			arinxama{puM;8;eka}	rAma{puM;8;eka}	samboXyaH,4	arinxama					
