index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	यः	1	य	यद्{पुं}{1;एक}	यद्{पुं}{1;एक}	कर्ता,3;नित्य_सम्बन्धः,10	जो	हे_त्हो				
2	एनम्	2	एनं	इदम्{पुं}{2;एक}	इदम्{पुं}{2;एक}	कर्म,3	इसको_(आत्मा_को)	ट्हिस्_(ट्हे_सोउल्)				
3	वेत्ति	4	वेत्ति	विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;अदादिः}	अभिहितकर्ता,1;सकर्मकः	समझता_है	चोन्सिडेर्स्				
4	हन्तारम्	3	हन्तारं	हन्तृ{पुं}{2;एक}	हन्तृ{पुं}{2;एक}	कर्मसमानाधिकरणम्,3	मारनेवाला	चपब्ले_ओङ्_किल्लिन्ग्				
5	यः	6	यश्चैनं	यद्{पुं}{1;एक}	यद्{पुं}{1;एक}	कर्ता,8;नित्य_सम्बन्धः,10	जो	हे_त्हो				
6	च	5	0	च{अव्य}	च{अव्य}	सम्बन्धः,8	तथा	अन्ड्				
7	एनम्	7	0	इदम्{पुं}{2;एक}	इदम्{पुं}{2;एक}	कर्म,8	इसको	ट्हिस्_(ट्हे_सोउल्)				
8	मन्यते	9	मन्यते	मन्यता{स्त्री}{1;द्वि}/मन्यता{स्त्री}{2;द्वि}/मन्यता{स्त्री}{8;एक}/मन्यता{स्त्री}{8;द्वि}/मन्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः}/मन्2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;मनुँ;तनादिः}	मन्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः}	अभिहितकर्ता,5;सकर्मकः	मानता_है	टकेस्_इट्_अस्				
9	हतम्	8	हतम्	हत{पुं}{2;एक}/हत{नपुं}{1;एक}/हत{नपुं}{2;एक}/हन्1{कर्तरि;लोट्;म;द्वि;परस्मैपदी;हनँ;अदादिः}	हन्1{कृत्_प्रत्ययः:क्त;हनँ;अदादिः;पुं}{2;एक}	कर्मसमानाधिकरणम्,8	मरा	किल्लेड्				
10	उभौ	11	उभौ	उभ{पुं}{1;द्वि}/उभ{पुं}{2;द्वि}/उभ{पुं}{8;द्वि}/उभ{पुं}{1;द्वि}/उभ{पुं}{2;द्वि}	उभ{पुं}{1;द्वि}	कर्ता,13	दोनों_ही	बोट्ह्_ओङ्_ट्हेम्				
11	तौ	10	तौ	तद्{पुं}{1;द्वि}/तद्{पुं}{2;द्वि}	तद्{पुं}{1;द्वि}	विशेषणम्,10	वे	ट्हेय्				
12	न	12	न	न{अव्य}	न{अव्य}	प्रतिषेधः,13	नहीं	नोट्				
13	विजानीतः	13	विजानीतो	वि_ज्ञा2{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;ज्ञा;क्र्यादिः}	वि_ज्ञा2{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;वि_ज्ञा;क्र्यादिः}	अभिहितकर्ता,11;सकर्मकः	जानते	क्नोत्				
14	न	15	नायं	न{अव्य}	न{अव्य}	प्रतिषेधः,16	न	नेइट्हेर्				
15	अयम्	14	0	अय{पुं}{2;एक}/इदम्{पुं}{1;एक}	इदम्{पुं}{1;एक}	कर्ता,16	यह_आत्मा	ट्हिस्_(ट्हे_सोउल्)				
16	हन्ति	16	हन्ति	हन्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;हनँ;अदादिः}	हन्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;हनँ;अदादिः}	अभिहितकर्ता,15;सकर्मकः	मारता_है	किल्ल्स्				
17	न	18	न	न{अव्य}	न{अव्य}	प्रतिषेधः,18	न	नोर्				
18	हन्यते	19	हन्यते	हन्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;हनँ;अदादिः}	हन्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;हनँ;अदादिः}	अभिहितकर्म,19;सकर्मकः	मारा_जाता_है	इस्_किल्लेड्				
18.1	(अयम्)	17	(0)	(अय{पुं}{2;एक}/इदम्{पुं}{1;एक})	(इदम्{पुं}{1;एक})	कर्म,18	(यह)	ट्हिस्_(ट्हे_सोउल्)				
