index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	यथा	1	यथा	यथा{अव्य}	यथा{अव्य}	क्रियाविशेषणम्,5;नित्य_सम्बन्धः,8	जैसे	अस्				
2	प्रदीप्तम्	3	प्रदीप्तं	प्रदीप्त{पुं}{2;एक}/प्रदीप्त{नपुं}{1;एक}/प्रदीप्त{नपुं}{2;एक}	प्र_दीप्1{कृत्_प्रत्ययः:क्त;प्र_दीपीँ;दिवादिः;नपुं}{2;एक}	कर्म,5	प्रज्वलित	ब्लँइन्ग्				
3	ज्वलनम्	4	ज्वलनं	ज्वलन{पुं}{2;एक}/ज्वलन{नपुं}{1;एक}/ज्वलन{नपुं}{2;एक}	ज्वलन{नपुं}{2;एक}	विशेषणम्,2	अग्नि_में	ङिरे				
4	पतङ्गाः	2	पतङ्गा	पतङ्ग{पुं}{1;बहु}	पतङ्ग{पुं}{1;बहु}	कर्ता,5	पतंग	मोट्ह्स्				
5	विशन्ति	7	विशन्ति	विशत्{नपुं}{1;बहु}/विशत्{नपुं}{2;बहु}	विश्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;विशँ;तुदादिः}	अभिहित_कर्ता,4	प्रवेश_करते_हैं	एन्टेर्स्				
6	नाशाय	5	नाशाय	नाश{पुं}{4;एक}	नाश{पुं}{4;एक}	प्रयोजनम्,5	नष्ट_होने_के_लिये	डेस्ट्रुच्टिओन्				
7	समृद्ध-वेगाः	6	समृद्धवेगाः	समृद्ध-वेग{पुं}{1;बहु}	समृद्ध-वेग{पुं}{1;बहु}	विशेषणम्,4	अति_वेग_से_दौडॆअञते_हुए	ङुल्ल्_स्पेएड्	<समृद्ध-वेगाः>भ्स्6			
8	तथा	8	तथैव	तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,11	वैसे	सिमिलर्ल्य्				
9	एव	9	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,8	ही	अस्				
10	नाशाय	14	नाशाय	नाश{पुं}{4;एक}	नाश{पुं}{4;एक}	प्रयोजनम्,11	अपने_नाश_के_लिये	ङोर्_डेस्ट्रुच्टिओन्				
11	विशन्ति	16	विशन्ति	विशत्{नपुं}{1;बहु}/विशत्{नपुं}{2;बहु}	विश्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;विशँ;तुदादिः}	अभिहित_कर्ता,12	प्रवेश_कर_रहे_हैं	एन्टेरिन्ग्				
12	लोकाः	10	लोकास्तवापि	लोक{पुं}{1;बहु}	लोक{पुं}{1;बहु}	कर्ता,11	सब_लोग	अल्ल्_पेओप्ले				
13	तव	12	0	युष्मद्{6;एक}	युष्मद्{6;एक}	षष्ठीसम्बन्धः,15	आपके	उन्टो_Yओउ				
14	अपि	11	0	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,12	भी	अल्सो				
15	वक्त्राणि	13	वक्त्राणि	वक्त्र{नपुं}{1;बहु}/वक्त्र{नपुं}{2;बहु}	वक्त्र{नपुं}{2;बहु}	कर्म,11	मुखों_में	इन्_ट्हे_मोउट्ह्स्				
16	समृद्ध-वेगाः	15	समृद्धवेगाः	समृद्ध-वेग{पुं}{1;बहु}	समृद्ध-वेग{पुं}{1;बहु}	विशेषणम्,15	अति_वेग_से_दौडॆअञते_हुए	तिट्ह्_ङुल्ल्_स्पेएड्	<समृद्ध-वेगाः>भ्स्6			
