index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	yA	1	yA	yax{swrI}{1;eka}	yax{swrI}{1;eka}	viSeRaNam,2;niwyasambanXaH,10	jo	that_which				
2	niSA	3	niSA	niS{swrI}{3;eka}/niSA{swrI}{1;eka}/niSA{swrI}{3;eka}	niSA{swrI}{1;eka}	karwA,3.1	rAwri	night				
3	sarva-BUwAnAm	2	sarvaBUwAnAM	sarva-BUwa{puM}{6;bahu}/BUwa{napuM}{6;bahu}/BUwA{swrI}{6;bahu}	sarva-BUwa{puM}{6;bahu}	RaRTIsambanXaH,2	sampUrNa_prANiyoM_ke_liye	to_all_beings	<sarva-BUwAnAm>K1			
3.1	(aswi)	4	(0)	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	aBihiwa_karwA,2;akarmakaH	(hE)	is				
4	wasyAm	5	wasyAM	wax{swrI}{7;eka}	wax{swrI}{7;eka}	aXikaraNam,5	usa_niwya_jFAnasvarUpa_paramAnanxa_kI_prApwi_meM	in_that_state_of_Divine_knowledge_and_Supreme_Bliss				
5	jAgarwi	7	jAgarwi	jAgarwi	jAgq1{karwari;lat;pra;eka;parasmEpaxI;jAgq;axAxiH}	aBihiwa_karwA,6;akarmakaH	jAgawA_hE	keeps_awake				
6	saMyamI	6	saMyamI	saMyamin{puM}{1;eka}	saMyamin{puM}{1;eka}	karwA,5	sWiwaprajFa_yogI	the_God-realized_Yogi				
7	yasyAm	8	yasyAM	yax{swrI}{7;eka}	yax{swrI}{7;eka}	aXikaraNam,8	jisameM	in_which				
8	jAgrawi	10	jAgrawi	jAgraw{puM}{7;eka}/jAgraw{napuM}{7;eka}/jAgrawI{swrI}{8;eka}/jAgq1{karwari;lat;pra;bahu;parasmEpaxI;jAgq;axAxiH}	jAgq1{karwari;lat;pra;bahu;parasmEpaxI;jAgq;axAxiH}	aBihiwa_karwA,9;akarmakaH	jAgawe_hEM	keep_awake				
9	BUwAni	9	BUwAni	BUwa{napuM}{1;bahu}/BUwa{napuM}{2;bahu}	BUwa{napuM}{1;bahu}	karwA,8	saba_prANI	all_beings				
10	sA	13	sA	wax{swrI}{1;eka}	wax{swrI}{1;eka}	viSeRaNam,11	vaha	that_(the_ever-changing,_transient_worldly_happiness)				
11	niSA	14	niSA	niS{swrI}{3;eka}/niSA{swrI}{1;eka}/niSA{swrI}{3;eka}	niSA{swrI}{1;eka}	karwA,13.1	rAwri	night				
12	paSyawaH	11	paSyawo	paSyaw{puM}{1;bahu}/paSyaw{puM}{2;bahu}/paSyaw{puM}{5;eka}/paSyaw{puM}{6;eka}/paSyaw{napuM}{5;eka}/paSyaw{napuM}{6;eka}/xqS1{karwari;lat;pra;xvi;parasmEpaxI;xqSizr;BvAxiH}	xqS1{kqw_prawyayaH:Sawq;xqSizr;BvAxiH;puM}{6;eka}	viSeRaNam,13	paramAwma wawwva jAnanevAle 	for_the_introspective				
13	muneH	12	muneH	muni{puM}{5;eka}/muni{puM}{6;eka}	muni{puM}{6;eka}	RaRTIsambanXaH,11	muni_ke_liye	to_the_seer				
13.1	(Bavawi)	15	(0)	(Bavaw{puM}{7;eka}/BavawI{swrI}{8;eka}/BU1{karwari;lat;pra;eka;parasmEpaxI;BU;BvAxiH})	(BU1{karwari;lat;pra;eka;parasmEpaxI;BU;BvAxiH})	aBihiwa_karwA,11;akarmakaH	(ho_jAwI_hE)	is				
