index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	a-CexyaH	2	acCexyoZyamaxAhyoZyamaklexyoZSoRya	a-CexI{puM}{1;bahu}/CexI{swrI}{1;bahu}/Cexya{puM}{1;eka}	a-Cix1{kqw_prawyayaH:Nyaw;Cixizr;ruXAxiH;puM}{1;eka}	karwqsamAnAXikaraNam,2.1	acCexya	incapable_oq_being_cuw	<na-CexyaH>Wn			
2	ayam	1	0	aya{puM}{2;eka}/ixam{puM}{1;eka}	ixam{puM}{1;eka}	karwA,2.1	yaha	whis_(soul)				
2.1	(aswi)	3	(0)	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	aBihiwakarwA,2;akarmakaH	(hE)	is				
3	a-xAhyaH	5	0	axAhya{puM}{1;eka}	a-xah1{kqw_prawyayaH:Nyaw;xahaz;BvAxiH;puM}{1;eka}	supsamamucciwam,6	axAhya	burnw_by_qire	<na-xAhyaH>Wn			
4	ayam	4	0	aya{puM}{2;eka}/ixam{puM}{1;eka}	ixam{puM}{1;eka}	karwA,8.1	yaha	whis_(soul)				
5	a-klexyaH	6	0	aklexya{puM}{1;eka}	a-klix1{kqw_prawyayaH:Nyaw;klixUz;xivAxiH;puM}{1;eka}	supsamamucciwam,6	aklexya	xissolvex_by_tawer	<na-klexyaH>Wn			
6	a-SoRyaH	8	0	Sav1{karwari;lqf;ma;eka;parasmEpaxI;Savaz;BvAxiH}	a-SuR1{kqw_prawyayaH:Nyaw;SuRaz;xivAxiH;puM}{1;eka}	karwqsamAnAXikaraNam,8.1	aSoRya	unxriable_by_air	<na-SoRyaH>Wn			
7	eva	9	eva	eva{avya}	eva{avya}	sambanXaH,6	hI	as_tell				
8	ca	7	ca	ca{avya}	ca{avya}	samuccayaxyowakaH,6	Ora	anx				
8.1	(aswi)	10	(0)	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	aBihiwakarwA,4;akarmakaH	(hE)	is				
9	niwyaH	12	niwyaH	niwya{puM}{1;eka}	niwya{puM}{1;eka}	supsamamucciwam,14	niwya	ewernal				
10	sarva-gawaH	13	sarvagawaH	sarva-gaw{napuM}{5;eka}/gaw{napuM}{6;eka}/gawa{puM}{1;eka}	sarva-gawa{puM}{1;eka}	supsamamucciwam,14	sarvavyApI	omnipresenw	<sarva-gawaH>W2			
11	sWANuH	14	sWANuracaloZyaM	sWANu{puM}{1;eka}	sWANu{puM}{1;eka}	supsamamucciwam,14	sWira_rahanevAlA	conswanw				
12	a-calaH	15	0	acala{puM}{1;eka}/cal1{karwari;laf;ma;eka;parasmEpaxI;calaz;BvAxiH}/cal2{karwari;laf;ma;eka;parasmEpaxI;calaz;wuxAxiH}	acala{puM}{1;eka}	supsamamucciwam,14	acala	immovable	<na-calaH>Wn			
13	ayam	11	0	aya{puM}{2;eka}/ixam{puM}{1;eka}	ixam{puM}{1;eka}	karwA,14.2	yaha	whis_(soul)				
14	sanAwanaH	17	sanAwanaH	sanAwana{puM}{1;eka}	sanAwana{puM}{1;eka}	karwqsamAnAXikaraNam,14.2	sanAwana	everlaswing				
14.1	(ca)	16	(0)	(ca{avya})	(ca{avya})	samuccayaxyowakaH,14	Ora	anx				
14.2	(aswi)	18	(aswi)	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	aBihiwakarwA,13;akarmakaH	(hE)	is				
