index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	Sruwi-viprawipannA	2	SruwiviprawipannA	Sruwin-viprawipannA{swrI}{1;eka}	Sruwi-viprawipannA{swrI}{1;eka}	viSeRaNam,8	BAzwi-BAzwi_ke_vacanoM_ko_sunane_se_vicaliwa_huI	confused_by_hearing_conflicting_statements	<Sruwi-viprawipannA>T3			
2	we	3	we	wax{puM}{1;bahu}/wax{swrI}{1;xvi}/wax{swrI}{2;xvi}/wax{napuM}{1;xvi}/wax{napuM}{2;xvi}/yuRmax{4;eka}/yuRmax{6;eka}	yuRmax{6;eka}	RaRTIsambanXaH,8	wumhArI	your				
3	yaxA	1	yaxA	yaxA{avya}	yaxA{avya}	kAlAXikaraNam,4;niwyasambanXaH,9	jaba	when				
4	sWAsyawi	9	sWAsyawi	sWA1{karwari;lqt;pra;eka;parasmEpaxI;RTA;BvAxiH}	sWA1{karwari;lqt;pra;eka;parasmEpaxI;RTA;BvAxiH}	aBihiwakarwA,8;akarmakaH	sWira_ho_jAyagI	will_rest				
5	niScalA	6	niScalA	niScalA{swrI}{1;eka}	niScalA{swrI}{1;eka}	supsamucciwam,7	acala	steady				
6	samAXO	5	samAXAvacalA	samAXi{puM}{7;eka}	samAXi{puM}{7;eka}	aXikaraNam,4	samAXi_meM	in_meditation_(on_God)				
7	a-calA	8	0	acalA{swrI}{1;eka}	acalA{swrI}{1;eka}	karwqsamAnAXikaraNam,4	sWira	undistracted	<na-calA>Tn			
7.1	(ca)	7	(0)	(ca{avya})	(ca{avya})	samuccayaxyowakaH,5	(Ora)	and				
8	buxXiH	4	buxXiswaxA	buxXi{swrI}{1;eka}	buxXi{swrI}{1;eka}	karwA,4	buxXi	intellect				
9	waxA	10	0	waxA{avya}	waxA{avya}	kAlAXikaraNam,11	waba	then				
10	yogam	11	yogamavApsyasi	yoga{puM}{2;eka}	yoga{puM}{2;eka}	karma,11	yoga_ko	Yoga_(everlasting_union_with_God)				
11	avApsyasi	12	0	ava_Ap1{karwari;lqt;ma;eka;parasmEpaxI;ApLz;svAxiH}	ava_Ap1{karwari;lqt;ma;eka;parasmEpaxI;ava_ApLz;svAxiH}	aBihiwakarwA,11.1;sakarmakaH	prApwa_hoge	attain				
11.1	(wvam)	10.1	(0)	(yuRmax{1;eka})	(yuRmax{1;eka})	karwA,11	(wuma)	you				
