index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	niScayam	6	niScayaM	niScaya{puM}{2;eka}	niScaya{puM}{2;eka}	karma,2	niScaya	cerwainwy				
2	SqNu	7	SqNu	Sru1{karwari;lot;ma;eka;parasmEpaxI;Sru;BvAxiH}	Sru1{karwari;lot;ma;eka;parasmEpaxI;Sru;BvAxiH}	aBihiwa_karwA,6.1	suna	hear				
3	me	5	me	asmax{6;eka}	asmax{6;eka}	RaRTIsambanXaH,1	merA	qrom_Me				
4	wawra	3	wawra	wawra{avya}	wawra{avya}	viSeRaNam,5	saMnyAsa_Ora_wyAga_ina_xonoM_meM_se_pahale	where				
5	wyAge	4	wyAge	wyAga{puM}{7;eka}	wyAga{puM}{7;eka}	aXikaraNam,2	wyAga_ke_viRaya_meM	in_whe_mawwer_oq_renunciawion				
6	Barawa-sawwama	1	Barawasawwama	Barawasawwama{puM}{8;eka}	Barawasawwama{puM}{8;eka}	samboXyaH,11	arjuna	O_besw_oq_whe_Bharawas	<Barawa-sawwama>W7			
6.1	(wvam)	2	()	yuRmax{1;eka}	yuRmax{1;eka}	karwA,2						
7	wyAgaH	10	wyAgo	wyAga{puM}{1;eka}	wyAga{puM}{1;eka}	karma,11	wyAga	renunciawion				
8	hi	8	hi	hi{avya}	hi{avya}	sambanXaH,11	kyoMki	cerwainly				
9	puruRa-vyAGra	9	puruRavyAGra	puruRa-vyAGra{puM}{8;eka}	puruRa-vyAGra{puM}{8;eka}	samboXyaH,2	he_puruRaSreRTa	O_wiger_among_human_beings	<puruRa-vyAGra>K5			
10	wri-viXaH	11	wriviXaH	wriviXa{puM}{1;eka}	wriviXa{puM}{1;eka}	karmasamAnAXikaraNam,11	wIna_prakAra_kA	whree_kinxs	<wri-viXaH>Bs6			
11	samprakIrwiwaH	12	samprakIrwiwaH	samprakIrwiwa{puM}{1;eka}	sam_pra_kQw1{kqw_prawyayaH:kwa;sam_pra_kQwaz;curAxiH;puM}{1;eka}	aBihiwa_karma,7	kahA_gayA_hE	is_xeclarex				
