index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	a-gqXnuH	-	agqXnurAxaxe	a-gqXnu{puM;1;eka}	a-gqXnu{puM;1;eka}	viSeRaNam,3	a-gqXnu	-	-	-	-	-
2	Axaxe	-	_	Af_xA3{karwari;lit;pra;eka;AwmanepaxI;duxAF;:juhowyAxiH}/Af_xA3{karwari;lit;u;eka;AwmanepaxI;duxAF;:juhowyAxiH}/Af_xA3{karwari;lat;u;eka;AwmanepaxI;duxAF;:juhowyAxiH}	Af_xA3{karwari;lit;pra;eka;AwmanepaxI;duxAF;:juhowyAxiH}	aBihiwa_karwA,3;sakarmaka	ugA 	-	-	-	-	-
3	saH	-	soZrWam	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,2	vaha	-	-	-	xilIpaH 	-
4	arWam	-	_	arWa{puM;2;eka}/arWa{napuM;1;eka}/arWa{napuM;2;eka}	arWa{puM;2;eka}	karma,2	arWa	-	-	-	-	-
