index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	xASaraWiH	3	xASaraWirAxaxe	xASaraWi{puM;1;eka}	xASaraWi{puM;1;eka}	karwA,6	xASaraWi	-	-	-	-	-
2	waw	1	wawprasupwaBujagenxraBIRaNaM	waw{avya}/wax{sarvanAma;napuM;1;eka}/wax{sarvanAma;napuM;2;eka}	wax{sarvanAma;napuM;2;eka}	viSeRaNam,4	vaha	-	-	-	-	-
3	prasupwa-Bujaga-inxra-BIRaNaM	-	-	Rvap1{kwa;FiRvapaz;:axAxiH-Bujaga-inxra-BIRaNa;puM;2;eka}/BIRaNa{napuM;1;eka}/BIRaNa{napuM;2;eka}	BIRaNa{napuM;2;eka}	viSeRaNam,4	BIRaNa	-	-	-	-	-
4	XanuH	4	XanuH	Xanu{puM;1;eka}/Xanus{napuM;1;eka}/Xanus{napuM;2;eka}/Xanus{napuM;8;eka}	Xanus{napuM;2;eka}	karma,5	XanuRa	-	-	-	-	-
5	vIkRya	2	vIkRya	IkR1{avya;lyap;IkRaz;:BvAxiH}	vi_IkR1{avya;lyap;IkRaz;:BvAxiH}	pUrvakAlaH,6	vi_IkR1_kara	-	-	-	-	-
6	Axaxe	-	-	Af_xA3{karwari;lit;pra;eka;AwmanepaxI;duxAF;:juhowyAxiH}/Af_xA3{karwari;lit;u;eka;AwmanepaxI;duxAF;:juhowyAxiH}/Af_xA3{karwari;lat;u;eka;AwmanepaxI;duxAF;:juhowyAxiH}	Af_xA3{karwari;lit;pra;eka;AwmanepaxI;duxAF;:juhowyAxiH}	aBihiwa_karwA,1;sakarmaka	ugA	-	-	-	-	-
