index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	naxawsu	-	naxawsu	naxaw{puM;7;bahu(Nax1;Sawq_lat;Naxaz;:BvAxiH)}/naxaw{napuM;7;bahu(Nax1;Sawq_lat;Naxaz;:BvAxiH)}/naxaw{puM;7;bahu(Nax2;Sawq_lat;Naxaz;:curAxiH)}/naxaw{napuM;7;bahu(Nax2;Sawq_lat;Naxaz;:curAxiH)}	naxaw{napuM;7;bahu(Nax2;Sawq_lat;Naxaz;:curAxiH)}	BAvalakRaNasapwamI_samAnakAlaH,5	Nax2we_hue	-	-	-	-	-
2	wuryeRu	-	wuryeRu	wurya{puM;7;bahu}/wurya{napuM;7;bahu}	wurya{napuM;7;bahu}	aXikaraNam,1	wuryoM_meM	-	-	-	-	-
3	aviBAvya-vAcaH	-	aviBAvya-vAcaH	aviBAvya-vAc{swrI;1;bahu}/vAc{swrI;2;bahu}/vAc{swrI;5;eka}/vAc{swrI;6;eka}/vAc{swrI;8;bahu}/aviBAvya-vAca{puM;1;eka(brU1;GaF;brUF;:axAxiH)}/vAca{puM;1;eka}	aviBAvya-vAca{puM;1;eka}	viSeRaNam,13	aviBAvya-vANI	-	-	-	-	-
4	na	-	na 	na{avyaya}	na{avyaya}	prawiReXaH,5	-	-	-	-	-	-
5	uxIrayanwi	-	noxi-Ira-yanwi  	noxi-Ira-i1{karwari;lat;pra;bahu;parasmEpaxI;iN;:axAxiH}/yaw{napuM;1;bahu}/yaw{napuM;2;bahu}	noxi-Ira-yaw{napuM;2;bahu}	-	noxi-Ira-yawoM_kI	-	-	-	-	-
6	sma	-	sma	smaavya	-	sambanXaH,5	-	-	-	-	-	-
7	kula-upaxeSAn	-	kula-upaxeSAn	kula-upaxeSa{puM;2;bahu(kula-xiS1;GaF;xiSaz;:wuxAxiH)}	kula-upaxeSa{puM;2;bahu(kula-xiS1;GaF;xiSaz;:wuxAxiH)}	karma,5	kula-upaxeSa	-	-	-	-	-
8	vANa-akRarEH	-	vANa-akRarEH	vANa-akRara{puM;3;bahu}/akRara{napuM;3;bahu}	vANa-akRara{napuM;3;bahu}	hewuH,14	vANa-akRaroM_se	-	-	-	-	-
9	eva	-	eva	eva{avya}	eva{avya}	sambanXaH,7	hI	-	-	-	-	-
10	parasparasya	-	parasparasya	parasparapuM 6 eka	-	RaRTIsambanXaH,11	-	-	-	-	-	-
11	nAma	-	nAma	nAmannapuM 2 eka	-	karma,14	-	-	-	-	-	-
12	Urjiwa	-	Urjiwa	puM 2 eka{kqxanwa}({kqw_XAwu Urj1} kwa{XAwuH Urjaz} curAxiH)	-	viSeRaNam,11	-	-	-	-	-	-
13	cApa-BqwaH	-	cApa-BqwaH	cApa-Bqwa{puM;1;eka(cApa-Bq2;kwa;duBqF;:juhowyAxiH)}	cApa-Bqwa{puM;1;eka(cApa-Bq2;kwa;duBqF;:juhowyAxiH)}	karwA,5	XanuRa-XAraNa_kiyA	-	-	-	-	-
14	SaSaMsuH	-	SaSaMsuH	Sans1{karwari;lit;pra;bahu;parasmEpaxI;Sansuz;:BvAxiH}	Sans1{karwari;lit;pra;bahu;parasmEpaxI;Sansuz;:BvAxiH}	-	praSaMsA_kI	-	-	-	-	-
