index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	BarawaH	1	Barawaswawra	Barawa{puM;1;eka}/Bq1{karwari;lat;pra;xvi;parasmEpaxI;BqF;:BvAxiH}/Baraw{puM;2;bahu}/Baraw{puM;5;eka}/Baraw{puM;6;eka}/Baraw{napuM;5;eka}/Baraw{napuM;6;eka}	Barawa{puM;1;eka}	karwA,8	Barawa	-	-	-	-	-
2	wawra	-	-	wawra{avya}	wawra{avya}	xeSAXikaraNam,5	vahAz	-	-	-	-	-
3	ganXarvAn	2	ganXarvAn	ganXarva{puM;2;bahu}	ganXarva{puM;2;bahu}	muKyakarma,5	ganXarva	-	-	-	-	-
4	yuXi	3	yuXi	yuX{swrI;7;eka}	yuX{swrI;7;eka}	aXikaraNam,5	saMgrAma_meM	-	-	-	-	-
5	nirjiwya	4	nirjiwya	nis_ji1{avya;lyap;ji;:BvAxiH}	nis_ji1{avya;lyap;ji;:BvAxiH}	pUrvakAlaH,8	NW_kara	-	-	-	-	-
6	kevalam	5	kevalam	kevala{puM;2;eka}/kevala{napuM;1;eka}/kevala{napuM;2;eka}	kevala{napuM;2;eka}	sambanXaH,7	kevala	-	-	-	-	-
7	AwoxyaM	6	AwoxyaM	Awoxya{napuM;1;eka}/Awoxya{napuM;2;eka}	Awoxya{napuM;2;eka}	karma,8	Awoxya_ko	-	-	-	-	-
8	grAhayAmAsa	7	grAhayAmAsa	grah1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;grahaz;:kryAxiH}/grah1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;grahaz;:kryAxiH}/grah1{Nijanwa;karwari;lit;u;eka;parasmEpaxI;grahaz;:kryAxiH}/grah1{Nijanwa;karwari;lit;u;eka;AwmanepaxI;grahaz;:kryAxiH}/grah1{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;grahaz;:kryAxiH}/grah1{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;grahaz;:kryAxiH}	grah1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;grahaz;:kryAxiH}	aBihiwa_karwA,1;sakarmaka	livAyA	-	-	-	-	-
9	samawyAjayaw	8	samawyAjayaxAyuXam	-	wyaj1{Nijanwa;karwari;laf;pra;eka;parasmEpaxI;wyaj;:BvAxiH}	samucciwaH,8	-	-	-	-	-	-
10	AyuXam	-	-	-	AyuXa{napuM;2;eka}	karma,9	-	-	-	-	-	-
11	 (ca)	-	 ca	-	 ca{avya}	samuccayaxyowakaH,8	-	-	-	-	-	-
