index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	BarwuH	2	BarwuralakRaNAhaM	Barwq{puM;6;eka}/Barwq{puM;5;eka}	Barwq{puM;6;eka}	RaRTIsambanXaH,2	svAmI_ke	-	-	-	-	-
2	kleSa-AvahA	1	kleSAvahA	kleSa-Avaha{swrI;1;eka}	kleSa-Avaha{swrI;1;eka}	viSeRaNam,5	kleSa-Avaha	-	-	-	-	-
3	a-lakRaNA	-	 -	a-lakRaNa{napuM;2;eka}/lakRaNa{napuM;1;eka}	a-lakRaNa{napuM;1;eka}	viSeRaNam,5	a-lakRaNa_ne	-	-	-	-	-
4	ahaM	-	-	asmax{sarvanAma;1;eka}	asmax{sarvanAma;1;eka}	viSeRaNam,5	mEM	-	-	-	-	-
5	sIwA	3	sIwewi	sIwA-Iwi{napuM;2;eka}/Iwi{napuM;1;eka}	sIwA-Iwi{napuM;1;eka}	vAkyakarmaxyowakaH,6	sIwA-Iwi	-	-	-	-	-
6	iwi	-	 -	iwi{avya}	iwi{avya}	vAkyakarma,9	EsA	-	-	-	-	-
7	svam	5	svamuxIrayanwI	sva{puM;2;eka}/sva{napuM;2;eka}/sva{napuM;1;eka}	sva{napuM;2;eka}	viSeRaNam,8	svayaM	-	-	-	-	-
8	nAma	4	nAma	nAman{napuM;2;eka}/nAman{napuM;1;eka}	nAman{napuM;2;eka}	karmasamAnAXikaraNam,9	-	-	-	-	-	-
9	uxIrayanwI	-	-	uw_Ir1{Nijanwa;Sawq_lat;Iraz;:axAxiHuw_Irayaw;swrI;1;eka}/uw_Ir1{Nijanwa;Sawq_lat;Iraz;:axAxiHuw_Irayaw;napuM;2;xvi}/uw_Ir1{Nijanwa;Sawq_lat;Iraz;:axAxiHuw_Irayaw;napuM;1;xvi}	uw_Ir1{Nijanwa;Sawq_lat;Iraz;:axAxiHuw_Irayaw;swrI;1;eka}	varwamAnasamAnakAlaH,15	NWwI_huI	-	-	-	-	-
10	svarga-prawiRTasya	6	svargaprawiRTasya	svarga-prawiRTA{puM;6;eka}/prawiRTA{napuM;6;eka}	svarga-prawiRTA{puM;6;eka}	viSeRaNam,11	svarga-prawiRTe	-	-	-	-	-
11	guroH	7	gurormahiRyAvaBakwiBexena 	guru{puM;6;eka}/guru{puM;5;eka}	guru{puM;6;eka}	RaRTIsambanXaH,12	guru_kI	-	-	-	-	-
12	mahiRyO	-	 -	mahiRI{swrI;2;xvi}/mahiRI{swrI;1;xvi}	mahiRI{swrI;2;xvi}	karma,15	rAniyoM_ko	-	-	-	-	-
13	a-Bakwi-Bexena	-	 -	a-Bakwi-Bexa{puM;3;eka}	a-Bakwi-Bexa{puM;3;eka}	hewuH,15	a-Bakwi-Bexa_se	-	-	-	-	-
14	vaXUH	8	vaXUH	vaXU{swrI;2;bahu}/vaXU{swrI;1;eka}/vaXu{swrI;2;bahu}	vaXU{swrI;1;eka}	karwA,15	bahU_ne	-	-	-	-	-
15	vavanxe	9	vavanxe	vax2{karwari;lit;pra;eka;AwmanepaxI;vaxiz;:BvAxiH}/vax2{karwari;lit;pra;eka;AwmanepaxI;vaxiz;:BvAxiH}/vax2{karwari;lit;u;eka;AwmanepaxI;vaxiz;:BvAxiH}/vax2{karwari;lit;u;eka;AwmanepaxI;vaxiz;:BvAxiH}	vax2{karwari;lit;pra;eka;AwmanepaxI;vaxiz;:BvAxiH}	aBihiwa_karwA,14;sakarmaka	X_vax2_ap_skyA	-	-	-	-	-
