index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	arka-marIcayaH	-	-	arka-marIci{puM;8;bahu}/marIci{puM;1;bahu}	arka-marIci{puM;1;bahu}	karwA,4	sUrya kA kiraNeM	@the @rays @of @the @sun	-	-	-	-
2	asmAw	-	-	ixam{sarvanAma;puM;5;eka}/ixam{sarvanAma;napuM;5;eka}	ixam{sarvanAma;napuM;5;eka}	hewuH,4	isa (samuxra) se	@from @this (@ocean)	-	-	-	-
3	garBaM	1	garBamxaXawyarkamarIcayoZsmAw	garBa{puM;2;eka}	garBa{puM;2;eka}	karma,4	jalarUpagarBa ko	@watery @foetus	-	-	-	-
4	xaXawi	-	-	XA1{karwari;lat;pra;bahu;parasmEpaxI;duXAF;:juhowyAxiH}	XA1{karwari;lat;pra;bahu;parasmEpaxI;duXAF;:juhowyAxiH}	aBihiwa_karwA,1;sakarmaka	XAraNa karawI hEM.	@hold	-	-	-	-
