index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	manuRyANAm	2	manuRyANAM	manuRya{puM}{6;bahu}	manuRya{puM}{6;bahu}	RaRTIsambanXaH,2	manuRyoM_meM	of_men				
2	sahasreRu	1	sahasreRu	sahasra{7;bahu}	sahasra{puM}{7;bahu}	nirXAraNam,3	hajAroM	out_of_many_thousands				
3	kaSciw	3	kaScixyawawi	kaSciw{avya}/kiFciw{puM}{1;eka}	kiFciw{puM}{1;eka}	karwA,4	koI_eka	someone				
4	yawawi	5	0	yawawi	yaw1{karwari;lat;pra;eka;parasmEpaxI;yawIz;BvAxiH}	aBihiwakarwA,3	yawna_karawA_hE	endeavors				
5	sixXaye	4	sixXaye	sixXi{swrI}{4;eka}	sixXi{swrI}{4;eka}	prayojanam,4	merI_prApwi_ke_liye	for_perfection				
6	yawawAm	6	yawawAmapi	yawawA{swrI}{2;eka}/yaw1{karwari;lot;pra;eka;AwmanepaxI;yawIz;BvAxiH}	yaw1{kqw_prawyayaH:Sawq;yawIz;BvAxiH;puM}{6;bahu}	viSeRaNam,8	yawna_karanevAle	of_those_so_endeavoring				
7	api	8	0	api{avya}	api{avya}	sambanXaH,8	BI	indeed				
8	sixXAnAm	7	sixXAnAM	sixXa{puM}{6;bahu}/sixXa{napuM}{6;bahu}/sixXA{swrI}{6;bahu}	sixXa{puM}{6;bahu}	nirXAraNam,9	yogiyoM_meM	of_those_who_have_achieved_perfection				
9	kaSciw	9	kaScinmAM	kaSciw{avya}/kiFciw{puM}{1;eka}	kiFciw{puM}{1;eka}	karwA,11	koI_eka	someone				
10	mAm	10	0	asmax{2;eka}	asmax{2;eka}	karma,11	muJako	me				
11	vewwi	12	vewwi	vix1{karwari;lat;pra;eka;parasmEpaxI;vixaz;axAxiH}	vix1{karwari;lat;pra;eka;parasmEpaxI;vixaz;axAxiH}	aBihiwakarwA,9	jAnawA_hE	does_know				
12	wawwvawaH	11	wawwvawaH	wawwvawaH{avya}	wawwvawaH{avya}	hewuH,11	wawwva_se_arWAw_yaWArWarUpa_se	in_fact				
