index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	xEvI	2	xEvI	xEvI{swrI}{1;eka}	xEvI{swrI}{1;eka}	viSeRaNam,4	alOkika_arWAw_awi_axBuwa	transcendental				
2	hi	6	hyeRA	hi{avya}	hi{avya}	sambanXaH,7.1	kyoMki	certainly				
3	eRA	1	0	ewax{swrI}{1;eka}	ewax{swrI}{1;eka}	viSeRaNam,4	yaha	this				
4	guNamayI	3	guNamayI	guNamayI{swrI}{1;eka}	guNamayI{swrI}{1;eka}	karwA,7.1	wriguNamayI	consisting_of_the_three_modes_of_material_nature				
5	mama	4	mama	asmax{6;eka}/mA1{karwari;lit;ma;bahu;parasmEpaxI;mA;axAxiH}	asmax{6;eka}	RaRTIsambanXaH,6	merI	my				
6	mAyA	5	mAyA	mAyA{swrI}{1;eka}	mAyA{swrI}{1;eka}	karwA,7.1	mAyA	energy				
7	xurawyayA	7	xurawyayA	xurawyayA{swrI}{1;eka}	xurawyayA{swrI}{1;eka}	viXeya_viSeRaNam,7.1	bada़I_xuswara	very_difficult_to_overcome				
7.1	(aswi)	8	(0)	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	(as2{karwari;lat;pra;eka;parasmEpaxI;asaz;axAxiH})	aBihiwa_karwA,6	(hE)	is				
8	mAm	10	mAmeva	asmax{2;eka}	asmax{2;eka}	karma,11	muJako	unto_Me				
9	eva	11	0	eva{avya}	eva{avya}	sambanXaH,8	hI	certainly				
10	ye	9	ye	yax{puM}{1;bahu}/yax{swrI}{1;xvi}/yax{swrI}{2;xvi}/yax{napuM}{1;xvi}/yax{napuM}{2;xvi}	yax{puM}{1;bahu}	karwA,11	jo_(puruRa)	those				
11	prapaxyanwe	12	prapaxyanwe	pra_pax1{karwari;lat;pra;bahu;AwmanepaxI;paxaz;xivAxiH}/pra_pax1{karmaNi;lat;pra;bahu;AwmanepaxI;paxaz;xivAxiH}	pra_pax1{karwari;lat;pra;bahu;AwmanepaxI;pra_paxaz;xivAxiH}	aBihiwa_karwA,10	Bajawe_hEM	surrender				
12	mAyAm	15	mAyAmewAM	mA{swrI}{7;eka}/mAyA{swrI}{2;eka}/mA1{karwari;viXilif;u;eka;parasmEpaxI;mA;axAxiH}	mAyA{swrI}{2;eka}	karma,14	mAyA_ko	illusory_energy				
13	ewAm	14	0	ewA{swrI}{2;eka}/ewax{swrI}{2;eka}/Af_i1{karwari;lot;pra;xvi;parasmEpaxI;iN;axAxiH}	ewax{swrI}{2;eka}	viSeRaNam,12	isa	this				
14	waranwi	16	waranwi	waraw{napuM}{1;bahu}/waraw{napuM}{2;bahu}/waraw{napuM}{8;bahu}/wQ1{karwari;lat;pra;bahu;parasmEpaxI;wQ;BvAxiH}/waranwI{swrI}{8;eka}	wQ1{karwari;lat;pra;bahu;parasmEpaxI;wQ;BvAxiH}	aBihiwa_karwA,15	ullaMGana_kara_jAwe_hEM_arWAw_saMsAra_se_wara_jAwe_hEM	overcome				
15	we	13	we	wax{puM}{1;bahu}/wax{swrI}{1;xvi}/wax{swrI}{2;xvi}/wax{napuM}{1;xvi}/wax{napuM}{2;xvi}/yuRmax{4;eka}/yuRmax{6;eka}	wax{puM}{1;bahu}	karwA,14;niwya_sambanXaH,10	ve	they				
