 index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	कः		कः	किम्{सर्वनाम;पुं;1;एक}	किम्{सर्वनाम;पुं;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	कौन	कौन
2.1	मध्याह्ने		मध्याह्ने	मध्याह्न{पुं;7;एक}	मध्याह्न{पुं;7;एक}	कालाधिकरणम्,5.1	कालाधिकरणम्,5.1	N7	मध्याह्न_में	मध्याह्न_में
3.1	पाठशालां		पाठशालां	पाठशाला{स्त्री;2;एक}	पाठशाला{स्त्री;2;एक}	कर्म,5.1	कर्म,5.1	N2	पाठशाला	पाठशाला
4.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,5.1	प्रतिषेधः,5.1	NA	नहीं	नहीं
5.1	गच्छति		गच्छति	गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/गच्छत्{पुं;7;एक(गम्1;शतृ_लट्;भ्वादिः)}/गच्छत्{नपुं;7;एक(गम्1;शतृ_लट्;भ्वादिः)}	गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,1.1;सकर्मक	-	KP	जाता_है	जाता_है
6.1	.		.	-	-	-	-	FS	-	-
										
