index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	बालकः		बालकः	बालक{पुं;1;एक}	बालक{पुं;1;एक}	कर्ता,4.1	कर्ता,4.1	N1	बालक	बालक
2.1	पठितुं		पठितुं	पठ्1{अव्य;तुमुन्;भ्वादिः}	पठ्1{अव्य;तुमुन्;भ्वादिः}	इष्कर्म,4.1	इष्कर्म,4.1	NA	पढने~के_लिये	पढने~के_लिये
3.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,4.1	प्रतिषेधः,4.1	NA		
4.1	इच्छति		इच्छति	इष्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;तुदादिः}	इष्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;तुदादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	इच्छा_नहीं_करता_है	इच्छा_नहीं_करता_है
5.1	.		.	-	-	-	-	FS	-	-
