index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
20.1	शुकाः 		शुकाः	शुक{पुं;1;बहु}	शुक{पुं;1;बहु}	समुच्चितः,28.1	समुच्चितः,28.1	N1		
21.1	मृणाल-		मृणालवलयाः	मृणाल-	मृणाल-	बहुव्रीहिः,21.2	बहुव्रीहिः,21.2	CP		
21.2	वलयाः			वलय{पुं;1;बहु}	वलय{पुं;1;बहु}	विशेषणम्,28.1	विशेषणम्,28.1	N1		
22.1	कान्ताः		कान्ताः	कान्त{पुं;1;बहु}	कान्त{पुं;1;बहु}	विशेषणम्,28.1	विशेषणम्,28.1	N1		
23.1	प्र-		प्रफुल्लकमलोज्ज्वलाः	प्र-	प्र-	प्रादिसमासः,23.2	प्रादिसमासः,23.2	CP		
23.2	उत्फुल्ल-			उत्फुल्ल-	उत्फुल्ल-	तृतीया-तत्पुरुषः,23.5	तृतीया-तत्पुरुषः,23.5	CP		
23.4	कमल-			कमल-	कमल-	बहुव्रीहिः,23.5	बहुव्रीहिः,23.5	CP		
23.5	उज्ज्वलाः			उज्ज्वल{पुं;1;बहु}	उज्ज्वल{पुं;1;बहु}	विशेषणम्,28.1	विशेषणम्,28.1	N1		
24.1	जङ्गमाः		जङ्गमाः	जङ्गम{पुं;1;बहु}/जङ्गम{पुं;1;बहु}/जङ्गमा{स्त्री;1;बहु}/जङ्गमा{स्त्री;2;बहु}/जङ्गम{पुं;8;बहु}	जङ्गम{पुं;1;बहु}	विशेषणम्,26.1	विशेषणम्,26.1	N1		
25.1	इव		इव	इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,28.1	उपमान_द्योतकः,28.1	NA		
26.1	पद्मिन्यः		पद्मिन्यः	पद्मिनी{स्त्री;1;बहु}	पद्मिनी{स्त्री;1;बहु}	उपमानम्,28.1	उपमानम्,28.1	N1		
27.1	हरन्ति		हरन्ति	हृ1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}/हरत्{नपुं;1;बहु(हृ1;शतृ_लट्;भ्वादिः)}/हरत्{नपुं;2;बहु(हृ1;शतृ_लट्;भ्वादिः)}	हृ1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,28.1	अभिहित_कर्ता,28.1	KP		
28.1	दयिताः		दयिताः	दयित{स्त्री;1;बहु}/दयित{पुं;1;बहु}/दयिता{स्त्री;1;बहु(दय्1;क्त;भ्वादिः)}/दयिता{स्त्री;2;बहु(दय्1;क्त;भ्वादिः)}	दयित{स्त्री;1;बहु}	कर्ता,27.1	कर्ता,27.1	N1		
29.1	क्लमम्		क्लमम्	क्लम{पुं;2;एक}	क्लम{पुं;2;एक}	कर्म,27.1	कर्म,27.1	N2		
