index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	gawe		gawe	gawi{swrI;8;eka}/gawa{puM;7;eka(gam1;kwa;gamLz;:BvAxiH)}/gawa{napuM;1;xvi(gam1;kwa;gamLz;:BvAxiH)}/gawa{napuM;2;xvi(gam1;kwa;gamLz;:BvAxiH)}/gawa{napuM;7;eka(gam1;kwa;gamLz;:BvAxiH)}/gawA{swrI;1;xvi(gam1;kwa;gamLz;:BvAxiH)}/gawA{swrI;2;xvi(gam1;kwa;gamLz;:BvAxiH)}	gawa{puM;7;eka(gam1;kwa;gamLz;:BvAxiH)}	BAvalakRaNasapwamI_pUrvakAlaH,10	gawi					
2	wu		wu	wu{avya}	wu{avya}	sambanXaH,10	wo					
3	wasmin		wasmin	wax{sarvanAma;napuM;7;eka}/wax{sarvanAma;puM;7;eka}	waxsarvanAma{puM;7;eka}	karwA,1	usameM					
4	BarawaH		Barawo	Barawa{puM;1;eka}/Bq1{karwari;lat;pra;xvi;parasmEpaxI;BqF;:BvAxiH}/Baraw{puM;2;bahu}/Baraw{puM;5;eka}/Baraw{puM;6;eka}/Baraw{napuM;5;eka}/Baraw{napuM;6;eka}	Barawa{puM;1;eka}	karma,7	Barawa					
5	vasiRTa-pramuKEH		vasiRTapramuKErxvijEH	vasiRTa-pramuKa{puM;3;bahu}/pramuKa{napuM;3;bahu}	vasiRTa-pramuKa{puM;3;bahu}/pramuKanapuM;3;bahu}	viSeRaNam,6	vasiRTa-pramuKoM_se		<vasiRTa-pramuKEH>Bs6			
6	xvijEH			xvija{puM;3;bahu}/xvija{napuM;3;bahu}	xvija{puM;3;bahu}	karwA,7	brAhmaNoM_se					
7	ni-yujyamAnaH		niyujyamAno	ni-yujyamAna{puM;1;eka(ni-yuj2;SAnac_lat;karmaNi;yujizr;:ruXAxiH)}/ni-yujyamAna{puM;1;eka(yuj1;SAnac_lat;karwari;yujaz;:xivAxiH)}/ni-yujyamAna{puM;1;eka(yuj1;SAnac_lat;karmaNi;yujaz;:xivAxiH)}	ni-yujyamAna{puM;1;eka(ni-yuj2;SAnac_lat;karmaNi;yujizr;:ruXAxiH)}	varwamAnasamAnakAlaH,10						
8	rAjyAya		rAjyAya	rAjya{napuM;4;eka}	rAjya{napuM;4;eka}	prayojanam,7	rAjya_ko					
9	na		nEcCaxrAjyaM	na{avya}	na{avya}	prawiReXaH,10						
10	EcCaw			iR2{karwari;laf;pra;eka;parasmEpaxI;iRuz;:wuxAxiH}	iR2{karwari;laf;pra;eka;parasmEpaxI;iRuz;:wuxAxiH}	aBihiwa_karma,4;sakarmaka	icCA_nahIM_kI					
11	rAjyaM			rAjya{napuM;1;eka}/rAjya{napuM;2;eka}	rAjya{napuM;2;eka}	karma,10	rAjya					
12	mahA-balaH		mahAbalaH	mahA-bala{puM;1;eka}	mahA-bala{puM;1;eka}	viSeRaNam,4	gAya-bala		<mahA-balaH>Bs6			
13	saH		sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,14	vaha					
14	jagAma		jagAma	gam1{karwari;lit;pra;eka;parasmEpaxI;gamLz;:BvAxiH}/gam1{karwari;lit;u;eka;parasmEpaxI;gamLz;:BvAxiH}	gam1{karwari;lit;pra;e;parasmEpaxI;gamLz;:BvAxiH}	aBihiwa_karwA,13;sakarmaka	gayA					
15	vanaM		vanaM	vana{napuM;1;eka}/vana{napuM;2;eka}	vana{napuM;2;eka}	karma,14	vana					
16	vIraH		vIro	vIra{puM;1;eka}	vIra{puM;1;eka}	viSeRaNam,13	vIra					
17	rAma-pAxa-prasAxakaH		rAmapAxaprasAxakaH	rAma-pAxa-prasAxa{ka;puM;1;eka}/prasAxaka{puM;1;eka}	rAma-pAxa-prasAxaka{puM;1;eka}	viXeya_viSeRaNam,13	rAma-pEra-prasAxa		<<rAma-pAxa>T6-prasAxakaH>U			
