index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	praviSya		praviSya	viS1{avya;lyap;viSaz;:wuxAxiH}	pra_viS1{avya;lyap;viSaz;:wuxAxiH}	pUrvakAlaH,10			<pra-viSya>Tg			
2	wu		wu	wu{avya}	wu{avya}	sambanXaH,1	wo					
3	mahAraNyaM		mahAraNyaM	mahAraNya{napuM;1;eka}/mahAraNya{napuM;2;eka}	mahAraNya{napuM;2;eka}	karma,1	mahAraNya		<mahA-araNyaM>K1			
4	rAmaH		rAmo	rAma{puM;1;eka}/rA1{karwari;lat;u;bahu;parasmEpaxI;rA;:axAxiH}	rAma{puM;1;eka}	karwA,10	rAma					
5	rAjIvalocanaH		rAjIvalocanaH	rAjIvalocanaH}	rAjIvalocanaH{puM;1;eka}	viSeRaNam,4			<rAjIva-locanaH>Bs6			
6	virAXaM		virAXaM	virAXa{puM;2;eka(rAX2;GaF;rAXaz;:svAxiH)}/virAXa{puM;2;eka(rAX1;GaF;rAXoz;:xivAxiH)}	virAXa{puM;2;eka(rAX2;GaF;rAXaz;:svAxiH)}	karma,8						
7	rAkRasaM		rAkRasaM	rAkRasa{puM;2;eka}	rAkRasa{puM;2;eka}	viSeRaNam,6	rAkRasa_ko					
8	hawvA		hawvA	han1{avya;kwvA;hanaz;:axAxiH}	han1{avya;kwvA;hanaz;:axAxiH}	pUrvakAlaH,10						
9	Sara-BafgaM		SaraBafgaM	Sara-Bafga{puM;2;eka}/Bafga{napuM;1;eka}/Bafga{napuM;2;eka}	Sara-Bafga{puM;2;eka}	muKyakarma,10	bANa-Bafga_ko					
10	xaxarSa		xaxarSa	xqS1{karwari;lit;u;eka;parasmEpaxI;xqSizr;:BvAxiH}/xqS1{karwari;lit;pra;eka;parasmEpaxI;xqSizr;:BvAxiH}	xqS1{karwari;lit;pra;eka;parasmEpaxI;xqSizr;:BvAxiH}	aBihiwa_karwA,3;sakarmaka	xeKA					
11	ha		ha	ha{avya}	ha{avya}	sambanXaH,10	ha					
12	su-wIkRNaM		suwIkRNaM	su-wIkRNa{puM;2;eka}/wIkRNa{napuM;1;eka}/wIkRNa{napuM;2;eka}	su-wIkRNa{puM;2;eka}	viSeRaNam,9	su-weja_ko		<su-wIkRNaM>K1			
13	ca		cApyagaswyaM	ca{avya}	ca{avya}	sambanXaH,9	Ora					
14	api			api{avya}	api{avya}	sambanXaH,10	BI					
15	agaswyaM			agaswya{puM;2;eka}	agaswya{puM;2;eka}	gONakarma,10	agaswya_ko					
16	ca		ca	ca{avya}	ca{avya}	samuccaya_xyowakaH,15	Ora					
17	agaswya-BrAwaraM		agaswyaBrAwaraM	agaswya-BrAwq{puM;2;eka}/BrAwq{swrI;2;eka}	agaswya-BrAwq{puM;2;eka}	samucciwaH,15	agaswya-BAI_ko		<agaswya-BrAwaraM>T6			
18	waWA		waWA	waWA{avya}	waWA{avya}	sambanXaH,15	vEse					
