index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	aSvameXa-SawEH		aSvameXaSawEriRtvA	aSvameXa-Sawa{napuM;3;bahu}/Sawa{saMKyeyam;3;bahu}/Sawa{puM;3;bahu}	aSvameXa-Sawa{puM;3;bahu}	karaNam,2	aSvameXa-Sawa_se		<aSvameXa-SawEH>T6			
2	iRtvA			iR2{avya;kwvA;iRuz;:wuxAxiH}/yaj1{avya;kwvA;yajaz;:BvAxiH}	iR2{avya;kwvA;iRuz;:wuxAxiH}	pUrvakAlaH,17						
3	waWA		waWA	waWA{avya}	waWA{avya}	sambanXaH,2	vEse					
4	bahu-suvarNakEH		bahusuvarNakEH	bahu-suvarNaka{puM;3;bahu}	bahu-suvarNaka{puM;3;bahu}	samucciwaH,3	aXika-suvarNakoM_se		<bahu-suvarNakEH>Bs7			
5	gavAM		gavAM	go{puM;6;bahu}/go{swrI;6;bahu}	go{swrI;6;bahu}	RaRTIsambanXaH,6	gAyoM_kA					
6	kotya-yuwaM		kotyayuwaM	kut2{Nyaw;kutaz;:curAxiH-yu1;karwari;lot;ma;xvi;parasmEpaxI;yu;:axAxiH}/yuwa{puM;2;eka(yu1;kwa;yu;:axAxiH)}/yuwa{napuM;1;eka(yu1;kwa;yu;:axAxiH)}/yuwa{napuM;2;eka(yu1;kwa;yu;:axAxiH)}/yuwa{puM;2;eka(yu2;kwa;yuF;:kryAxiH)}/yuwa{napuM;1;eka(yu2;kwa;yuF;:kryAxiH)}/yuwa{napuM;2;eka(yu2;kwa;yuF;:kryAxiH)}	yuwa-kut2{yuwa-yuwa{napuM;2;eka(yu1;kwa;yu;:axAxiH)}	karma,7			<kotI-ayuwaM>T6			
7	xawwvA		xawwvA	xA1{avya;kwvA;xAN;:BvAxiH}	xA1{avya;kwvA;xAN;:BvAxiH}	pUrvakAlaH,17						
8	vixvaxByaH		vixvaxByo	vixvas{puM;4;bahu}/vixvas{puM;5;bahu}	vixvas{puM;4;bahu}	sampraxAnam,7	vixvAnoM_ko					
9	viXi-pUrvakam		viXipUrvakam	viXi-pUrva{ka;puM;2;eka}/pUrva{ka;napuM;1;eka}/pUrva{ka;napuM;2;eka}/pUrvaka{puM;2;eka}/pUrvaka{napuM;1;eka}/pUrvaka{napuM;2;eka}	viXi-pUrvaka{napuM;2;eka}	kriyAviSeRaNam,12	viXi-pUrva_ko					
10	asaMKyeyaM		asaMKyeyaM	asafKyeya{puM;2;eka}/asafKyeya{napuM;1;eka}/asafKyeya{napuM;2;eka}	asafKyeya{napuM;2;eka}	viSeRaNam,11	asafKyeya_ko		<a-saMKyeyaM>Tn			
11	XanaM		XanaM	Xana{napuM;1;eka}/Xana{napuM;2;eka}	Xana{napuM;2;eka}	karma,12	Xana					
12	xawwvA		xawwvA	xA1{avya;kwvA;xAN;:BvAxiH}	xA1{avya;kwvA;xAN;:BvAxiH}	pUrvakAlaH,17						
13	brAhmaNeByaH		brAhmaNeByo	brAhmaNa{puM;4;bahu}/brAhmaNa{puM;5;bahu}	brAhmaNa{puM;4;bahu}	sampraxAnam,12	brAhmaNoM_ko					
14	mahA-yaSAH		mahAyaSAH	mahA-yaSas{puM;1;eka}	mahA-yaSas{puM;1;eka}	viSeRaNam,18	gAya-yaSas		<mahaw-yaSAH>Bs6			
