index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	viRNunA		viRNunA	viRNu{puM;3;eka}/viRNu{napuM;3;eka}	viRNu{napuM;3;eka}	wulanA_binxuH,2	viRNu_se					
2	saxqSaH		saxqSo	saxqS{puM;1;bahu}/saxqS{puM;2;bahu}/saxqS{puM;5;eka}/saxqS{puM;6;eka}/saxqS{napuM;1;bahu}/saxqS{napuM;2;bahu}/saxqS{napuM;5;eka}/saxqS{napuM;6;eka}/saxqSa{puM;1;eka}/saxqS{puM;8;bahu}/saxqS{napuM;8;bahu}	saxqSa{puM;1;eka}	viXeya_viSeRaNam,11	samAna					
3	vIrye		vIrye	vIrya{napuM;1;xvi}/vIrya{napuM;2;xvi}/vIra1{karmaNi;lat;u;eka;AwmanepaxI;vIra;:curAxiH}/vIrya{napuM;8;xvi}/vIrya{napuM;7;eka}/vIrya{puM;7;eka(vIra1;yaw;vIra;:curAxiH)}/vIrya{napuM;1;xvi(vIra1;yaw;vIra;:curAxiH)}/vIrya{napuM;2;xvi(vIra1;yaw;vIra;:curAxiH)}/vIrya{napuM;7;eka(vIra1;yaw;vIra;:curAxiH)}/vIryA{swrI;1;xvi(vIra1;yaw;vIra;:curAxiH)}/vIryA{swrI;2;xvi(vIra1;yaw;vIra;:curAxiH)}	vIrya{napuM;7;eka(vIra1;yaw;vIra;:curAxiH)}	aXikaraNam,2	SUravIrawe_meM					
4	somavaw		somavaw	soma{avya;vaw}/soman{avya;vaw}/soma{mawup;napuM;1;eka}/soma{mawup;napuM;2;eka}/soman{mawup;napuM;1;eka}/soman{mawup;napuM;2;eka}	soman{mawup;napuM;1;eka}	wulanA_binxuH,5	soman					
5	priya-xarSanaH		priyaxarSanaH	priya-xarSana{puM;1;eka}	priya-xarSana{puM;1;eka}	viXeya_viSeRaNam,11	priya-xarSana		<priya-xarSanaH>Bs6			
6	kAlAgni-saxqSaH		kAlAgnisaxqSaH	kAlAgni-saxqS{puM;1;bahu}/saxqS{puM;2;bahu}/saxqS{puM;5;eka}/saxqS{puM;6;eka}/saxqS{napuM;1;bahu}/saxqS{napuM;2;bahu}/saxqS{napuM;5;eka}/saxqS{napuM;6;eka}/saxqS{puM;8;bahu}/saxqS{napuM;8;bahu}/saxqSa{puM;1;eka}	kAlAgni-saxqS{napuM;6;eka}	viXeya_viSeRaNam,11	sqRti_ke_anwa_meM_pralayAgniH-samAna_ke		<<kAla-agni>K1-saxqSaH>T3			
7	kroXe		kroXe	kroXa{napuM;1;xvi}/kroXa{napuM;2;xvi}/kroXa{napuM;8;xvi}/kroXa{puM;7;eka}/kroXa{napuM;7;eka}	kroXa{napuM;7;eka}	aXikaraNam,6	kroXa_meM					
8	kRamayA		kRamayA	kRamA{swrI;3;eka}	kRamA{swrI;3;eka}	wulanA_binxuH,9	kRamA_se					
9	pqWivI-samaH		pqWivIsamaH	pqWivI-sama{sarvanAma;puM;1;eka}/sama{puM;1;eka}	pqWivI-sama{puM;1;eka}	viXeya_viSeRaNam,11	pqWvI-samAna		<pqWivI-samaH>T3			
10	(aswi)			as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,11;sakarmaka	as2_pp_skwA_hE					
11	(rAmaH)				rAmaH{puM;1;eka}karwA,10	karwA,10						
