index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	saH		sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viSeRaNam,9 	vaha					
2	sawya-vacanAx		sawyavacanAxrAjA	sawya-vacana{napuM;5;eka}	sawya-vacana{napuM;5;eka}	apAxAnam,5	sawya-vacana_se		<sawya-vacanAx>K1			
3	rAjA			rAjan{puM;1;eka}	rAjan{puM;1;eka}	viSeRaNam,9 	rAjA					
4	Xarma-pASena		XarmapASena	Xarma-pASa{puM;3;eka}/pASa{napuM;3;eka}	Xarma-pASa{puM;3;eka}	hewuH,5	Xarma-pASa_se		<Xarma-pASena>K5			
5	saMyawaH		saMyawaH	saMya{avya;wasil}/saMyaw{swrI;1;bahu}/saMyaw{swrI;2;bahu}/saMyaw{swrI;5;eka}/saMyaw{swrI;6;eka}/saMyaw{swrI;8;bahu}/saMyawa{puM;1;eka(yaw1;GaF;yawIz;:BvAxiH)}	saMyawa{puM;1;eka(yaw1;GaF;yawIz;:BvAxiH)}	viXeya_viSeRaNam,9						
6	vi-vAsayAmAsa		vivAsayAmAsa	vi-vasa1{Nijanwa;karwari;lit;u;eka;parasmEpaxI;vasa;:curAxiH}/vas3{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;vasuz;:xivAxiH}/vas3{Nijanwa;karwari;lit;u;eka;parasmEpaxI;vasuz;:xivAxiH}/vas3{Nijanwa;karwari;lit;u;eka;AwmanepaxI;vasuz;:xivAxiH}/vas3{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;vasuz;:xivAxiH}/vas3{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;vasuz;:xivAxiH}/vAsa1{karwari;lit;pra;eka;parasmEpaxI;vAsa;:curAxiH}/vAsa1{karwari;lit;u;eka;parasmEpaxI;vAsa;:curAxiH}/vAsa1{karwari;lit;ma;bahu;parasmEpaxI;vAsa;:curAxiH}/vasa1{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;vasa;:curAxiH}/vasa1{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;vasa;:curAxiH}/vas3{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;vasuz;:xivAxiH}/vasa1{Nijanwa;karwari;lit;u;eka;AwmanepaxI;vasa;:curAxiH}/vasa1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;vasa;:curAxiH}/vasa1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;vasa;:curAxiH}/vAsa1{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;vAsa;:curAxiH}/vAsa1{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;vAsa;:curAxiH}/vAsa1{Nijanwa;karwari;lit;u;eka;parasmEpaxI;vAsa;:curAxiH}/vAsa1{Nijanwa;karwari;lit;u;eka;AwmanepaxI;vAsa;:curAxiH}/vAsa1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;vAsa;:curAxiH}/vAsa1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;vAsa;:curAxiH}/vas2{Nijanwa;karwari;lit;u;eka;parasmEpaxI;vasaz;:axAxiH}/vas4{karwari;lit;pra;eka;parasmEpaxI;vasaz;:curAxiH}/vas4{karwari;lit;u;eka;parasmEpaxI;vasaz;:curAxiH}/vas1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;vasaz;:BvAxiH}/vas1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;vasaz;:BvAxiH}/vas1{Nijanwa;karwari;lit;u;eka;parasmEpaxI;vasaz;:BvAxiH}/vas1{Nijanwa;karwari;lit;u;eka;AwmanepaxI;vasaz;:BvAxiH}/vas1{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;vasaz;:BvAxiH}/vas1{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;vasaz;:BvAxiH}/vas2{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;vasaz;:axAxiH}/vas2{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;vasaz;:axAxiH}/vas4{karwari;lit;ma;bahu;parasmEpaxI;vasaz;:curAxiH}/vas2{Nijanwa;karwari;lit;u;eka;AwmanepaxI;vasaz;:axAxiH}/vas2{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;vasaz;:axAxiH}/vas2{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;vasaz;:axAxiH}/vas4{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;vasaz;:curAxiH}/vas4{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;vasaz;:curAxiH}/vas4{Nijanwa;karwari;lit;u;eka;parasmEpaxI;vasaz;:curAxiH}/vas4{Nijanwa;karwari;lit;u;eka;AwmanepaxI;vasaz;:curAxiH}/vas4{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;vasaz;:curAxiH}/vas4{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;vasaz;:curAxiH}	vas3Nijanwa{karwari;lit;pra;eka;AwmanepaxI;vasuz;:xivAxiH}	aBihiwa_karwA,9;sakarmaka						
7	suwaM		suwaM	suwa{puM;2;eka}/Ru2{karwari;lot;ma;xvi;parasmEpaxI;Ru;:axAxiH}/suwa{puM;2;eka(Ru3;kwa;RuF;:svAxiH)}/suwa{napuM;1;eka(Ru3;kwa;RuF;:svAxiH)}/suwa{napuM;2;eka(Ru3;kwa;RuF;:svAxiH)}/suwa{puM;2;eka(Su1;kwa;Su;:BvAxiH)}/suwa{napuM;1;eka(Su1;kwa;Su;:BvAxiH)}/suwa{napuM;2;eka(Su1;kwa;Su;:BvAxiH)}/suwa{puM;2;eka(Ru2;kwa;Ru;:axAxiH)}/suwa{napuM;1;eka(Ru2;kwa;Ru;:axAxiH)}/suwa{napuM;2;eka(Ru2;kwa;Ru;:axAxiH)}	suwa{puM;2;eka}	viSeRaNam,8	puwra_ko					
8	rAmaM		rAmaM	rAma{puM;2;eka}	rAma{puM;2;eka}	karma,6	rAma_ko					
9	xaSaraWaH		xaSaraWaH	xaSaraWa{puM;1;eka}	xaSaraWa{puM;1;eka}	karwA,6	xaSaraWa					
10	priyam		priyam	priya{puM;2;eka}/priya{napuM;1;eka}/priya{napuM;2;eka}	priya{puM;2;eka}	viSeRaNam,8	priya_ko					
