index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	(saH)			wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viSeRaNam,2	vaha					
2	(rAmaH)			rAma{puM;1;eka}/rA1{karwari;lat;u;bahu;parasmEpaxI;rA;:axAxiH}	rAma{puM;1;eka}	karwA,13	rAma					
3	buxXimAn		buxXimAn	buxXi{mawup;puM;1;eka}	buxXi{mawup;puM;1;eka}	viSeRaNam,10	buxXi					
4	nIwimAn		nIwimAn	nIwi{mawup;puM;1;eka}	nIwi{mawup;puM;1;eka}	viSeRaNam,10	nIwi					
5	vAggmI		vAggmI	vAggmI}	vAggmI{puM;1;eka}	viSeRaNam,10						
6	SrImAn		SrImAFCawrunibarhaNaH	SrImaw{puM;1;eka}/SrI{mawup;puM;1;eka}	SrImaw{puM;1;eka}	viSeRaNam,10	SrI_mAn					
7	Sawru-ni-barhaNaH			Sawru-ni-barhaNaH}	Sawru-ni-barhaNaH{puM;1;eka}	viSeRaNam,10	Sawru-ni-		<Sawru-nibarhaNaH>U			
8	vipu-lAMsaH		vipulAMso	vipu-lAMsaH}	vipu-lAMsaH(puM;1;eka}	viSeRaNam,10	vipu-		<vipu-lAMsaH>Bs6			
9	mahA-bAhuH		mahAbAhuH	mahA-bAhu{puM;1;eka}	mahA-bAhu{puM;1;eka}	viSeRaNam,10	gAya-BujA		<mahA-bAhuH>Bs6			
10	kambu-grIvaH		kambugrIvo	kambu-grIva{puM;1;eka}	kambu-grIva{puM;1;eka}	samucciwaH,2	SaMKa-garxana		<kambu-grIvaH>Bsu			
11	mahA-hanuH		mahAhanuH	mahA-hanu{swrI;1;eka}/hanu{puM;1;eka}	mahA-hanu{puM;1;eka}	viXeya_viSeRaNam,2	gAya-jIvana_para_AGAwa_karane_vAlI_cIja		<mahA-hanuH>K1			
12	(ca)			ca{avya}	ca{avya}	samuccayaxyowakaH,11	Ora					
13	(aswi)			as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,2	hE					
