index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	punaH		punarAKyAyikAM	punaH{avya}	punaH{avya}	kriyAviSeRaNam,10	Pira					
2	AKyAyikAM			AKyAyikA{swrI;2;eka}/AKyAyikA{swrI;2;eka(KyA1;Nvul;KyA;:axAxiH)}	AKyAyikA{swrI;2;eka(KyA1;Nvul;KyA;:axAxiH)}	karma,3						
3	jalpan		jalpan	jalpaw{puM;1;eka(jalp1;Sawq_lat;jalpaz;:BvAxiH)}	jalpaw{puM;1;eka(jalp1;Sawq_lat;jalpaz;:BvAxiH)}	varwamAnasamAnakAlaH,10	bolawA_huA					
4	sugrIva-sahiwaH		sugrIvasahiwaswaxA	sugrIva-sahiwq{puM;8;eka}/sahiwq{napuM;8;eka}/sahiwa{puM;1;eka}	sugrIva-sahiwa{puM;1;eka}	karwA,10	sugrIva-sAWa		<sugrIva-sahiwaH>T3			
5	waxA			waxA{avya}	waxA{avya}	kAlAXikaraNam,3	waba					
6	puRpakaM		puRpakaM	puRpa{ka;puM;2;eka}/puRpa{ka;napuM;1;eka}/puRpa{ka;napuM;2;eka}/puRpaka{puM;2;eka(puRp1;Nvul;puRpaz;:xivAxiH)}/puRpaka{napuM;1;eka(puRp1;Nvul;puRpaz;:xivAxiH)}/puRpaka{napuM;2;eka(puRp1;Nvul;puRpaz;:xivAxiH)}	puRpaka{napuM;2;eka(puRp1;Nvul;puRpaz;:xivAxiH)}	viSeRaNam,7	puRpaka					
7	waw		wawsamAruhya	waw{avya}/wax{sarvanAma;napuM;1;eka}/wax{sarvanAma;napuM;2;eka}	wax{sarvanAma;napuM;2;eka}	karma,8	vaha					
8	sam-Aruhya			sam-ruh1{avya;lyap;ruhaz;:BvAxiH}	sam-Af_ruh1{avya;lyap;ruhaz;:BvAxiH}	pUrvakAlaH,10	caDa_kara		<sam-A-ruhya>Tg			
9	nanxi-grAmaM		nanxi-grAmaM	nanxi-grAma{puM;2;eka}/grAma{napuM;1;eka}/grAma{napuM;2;eka}	nanxi-grAma{napuM;2;eka}	karma,10	nanxi-grAma_ko		<nanxi-grAmaM>K1			
10	yayO		yayO	yA1{karwari;lit;pra;eka;parasmEpaxI;yA;:axAxiH}/yA1{karwari;lit;u;eka;parasmEpaxI;yA;:axAxiH}/yayi{puM;7;eka}	yA1{karwari;lit;pra;eka;parasmEpaxI;yA;:axAxiH}	aBihiwa_karwA,4;sakarmaka	gayA					
11	waxA		waxA	waxA{avya}	waxA{avya}	kAlAXikaraNam,10	waba					
