index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	wawaH		wawaH	wawaH{avya}	wawaH{avya}	kAlAXikaraNam,9	vahAz_se					
2	prIwa-manAH		prIwamanAswena	prI1{kwa;prIf;:xivAxiH}/prI2{kwa;prIF;:kryAxiH-mana;puM;8;bahu}/mana{puM;1;bahu}/manA{swrI;8;bahu}/manA{swrI;1;bahu}/manA{swrI;2;bahu}/manas{puM;1;eka}	prI1{manaspuM;1;eka}	viXeya-viSeRaNam,6			<prIwa-manAH>Bs6			
3	wena			wax{sarvanAma;puM;3;eka}/wax{sarvanAma;napuM;3;eka}/wan1{karwari;lit;ma;bahu;parasmEpaxI;wanuz;:wanAxiH}	wax{sarvanAma;puM;3;eka}	hewuH,4	usase					
4	viSvaswaH		viSvaswaH	viSvaswa{puM;1;eka(Svas1;kwa;Svasaz;:axAxiH)}	viSvaswa{puM;1;eka(Svas1;kwa;Svasaz;:axAxiH)}	viXeya-viSeRaNam,6	viSvaswa					
5	saH		saH	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viXeya-viSeRaNam,6	vaha					
6	mahA-kapiH		mahAkapiH	mahA-kapi{puM;1;eka}	mahA-kapi{puM;1;eka}	karwA,9	gAya-baMxara		<mahA-kapiH>K1			
7	kiRkinXAM		kiRkinXAM	kiRkinXA{swrI;2;eka}	kiRkinXA{swrI;2;eka}	viSeRaNam,11	kiRkinXA_ko					
8	rAma-sahiwaH		rAmasahiwo	rAma-sahiwq{puM;8;eka}/sahiwq{napuM;8;eka}/sahiwa{puM;1;eka}	rAma-sahiwa{puM;1;eka}	viXeya-viSeRaNam,6	rAma-sahiwq		<rAma-sahiwaH>T3			
9	jagAma		jagAma	gam1{karwari;lit;pra;eka;parasmEpaxI;gamLz;:BvAxiH}/gam1{karwari;lit;u;eka;parasmEpaxI;gamLz;:BvAxiH}	gam1{karwari;lit;pra;eka;parasmEpaxI;gamLz;:BvAxiH}	aBihiwa_karwA,6;sakarmaka	gayA					
10	ca		ca	ca{avya}	ca{avya}	sambanXaH,9	Ora					
11	guhAM		guhAM	guhA{swrI;2;eka}	guhA{swrI;2;eka}	karma,9	guPA_ko					
12	waxA		waxA	waxA{avya}	waxA{avya}	sambanXaH,8	waba					
