index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	ewaw		ewaxAKyAnamAyuRyaM	ewax{sarvanAma;napuM;1;eka}/ewax{sarvanAma;napuM;2;eka}	ewax{sarvanAma;napuM;2;eka}	viSeRaNam,5	yaha					
2	AKyAnam			AKyAna{napuM;1;eka(KyA1;lyut;KyA;:axAxiH)}/AKyAna{napuM;2;eka(KyA1;lyut;KyA;:axAxiH)}	AKyAna{napuM;1;eka(KyA1;lyut;KyA;:axAxiH)}	viSeRaNam,5						
3	AyuRyaM			AyuRya{puM;2;eka}/AyuRya{napuM;1;eka}/AyuRya{napuM;2;eka}	AyuRya{napuM;2;eka}	viSeRaNam,5	AyuRya_ko					
4	paTan		paTan	paTaw{puM;1;eka(paT1;Sawq_lat;paTaz;:BvAxiH)}	paTaw{puM;1;eka(paT1;Sawq_lat;paTaz;:BvAxiH)}	varwamAnasamAnakAlaH,11	paDawA_huA					
5	rAmAyaNaM		rAmAyaNaM	rAmAyaNa{napuM;1;eka}/rAmAyaNa{napuM;2;eka}	rAmAyaNa{napuM;2;eka}	karma,4	rAmAyaNa		<rAma-ayaNaM>U>Bs6			
6	naraH		naraH	nq{puM;1;bahu}/nara{puM;1;eka}/nq{puM;8;bahu}	nara{puM;1;eka}	karwA,9	manuRya					
7	sapuwra-pOwraH		sapuwrapOwraH	sapuwra-pOwra{puM;1;eka}	sapuwra-pOwra{puM;1;eka}	sahArWaH,6	sapuwra-powA		<sa-<puwra-pOwraH>Di>-Bs6			
8	sagaNaH		sagaNaH	sagaNa{puM;1;eka}	sagaNa{puM;1;eka}	sahArWaH,6	Siva		<sa-gaNaH>Bvs			
9	prewya		prewya	i1{avya;lyap;iN;:axAxiH}	pra_i1{avya;lyap;iN;:axAxiH}	pUrvakAlaH,11			<pra-iwya>Tg			
10	svarge		svarge	svarga{puM;7;eka}	svarga{puM;7;eka}	aXikaraNam,11	svarga_meM					
11	mahIyawe		mahIyawe	mahIyawe}	mahIyawe{karmaNi;lat;pra;eka}	aBihiwa_karma,6;sakarmaka						
