index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	aBiRicya		aBiRicya	Ric1{avya;lyap;Ricaz;:wuxAxiH}	aBi_Ric1{avya;lyap;Ricaz;:wuxAxiH}	pUrvakAlaH,10			<aBi-Ricya>Tg			
2	ca		ca	ca{avya}	ca{avya}	samuccayaxyowakaH,8	Ora					
3	lafkAyAM		lafkAyAM	lafkA{swrI;7;eka}	lafkA{swrI;7;eka}	aXikaraNam,1	lafkA_meM					
4	rAkRasenxraM		rAkRasenxraM	rAkRasenxram}	rAkRasenxram{puM;2;eka}	viSeRaNam,5			<rAkRasa-inxraM>T6			
5	vi-BIRaNam		viBIRaNam	vi-BIRaNa{puM;2;eka}/BIRaNa{napuM;1;eka}/BIRaNa{napuM;2;eka}	vi-BIRaNa{puM;2;eka}	karma,1	vi-BIRaNa_ko					
6	kqwakqwyaH		kqwakqwyaswaxA	kqwakqwya{puM;1;eka}	kqwakqwya{puM;1;eka}	samucciwaH,8	kqwakqwya		<kqwa-kqwyaH>Bs3			
7	waxA			waxA{avya}	waxA{avya}	kAlAXikaraNam,1	waba					
8	rAmaH		rAmo	rAma{puM;1;eka}/rA1{karwari;lat;u;bahu;parasmEpaxI;rA;:axAxiH}	rAma{puM;1;eka}	karwA,10	rAma					
9	vijvaraH		vijvaraH	vijvara{puM;1;eka}	vijvara{puM;1;eka}	viXeya-viSeRaNam,8	jvara_se_mukwa		<vi-jvaraH>Bsmg			
10	pramumoxa		pramumoxa	pra_mux1{karwari;lit;pra;eka;parasmEpaxI;muxaz;:BvAxiH}	pra_mux1{karwari;lit;pra;eka;parasmEpaxI;muxaz;:BvAxiH}	aBihiwa_karwA,8;sakarmaka	pra_mux1_pp_skyA					
11	ha		ha	ha{avya}	ha{avya}	sambanXaH,10	ha					
