index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	pampA-wIre		pampAwIre	pampA-wIra{puM;7;eka}/wIra{napuM;8;xvi}/wIra{napuM;1;xvi}/wIra{napuM;2;xvi}/wIra{napuM;7;eka}/wIrA{swrI;8;eka}/wIrA{swrI;8;xvi}/wIrA{swrI;1;xvi}/wIrA{swrI;2;xvi}	pampA-wIra{napuM;7;eka}	aXikaraNam,3	pampA-wIra_meM		<pampA-wIre>T6			
2	hanumawA		hanumawA	hanu{mawup;puM;3;eka}/hanu{mawup;napuM;3;eka}	hanu{mawup;napuM;3;eka}	karwA,3	hanu_se					
3	safgawaH		safgawo	safga{avya;wasil}/safgawa{puM;1;eka}/safgawa{puM;1;eka(gam1;kwa;gamLz;:BvAxiH)}	safgawa{puM;1;eka(gam1;kwa;gamLz;:BvAxiH)}	aBihiwa_karma,0;sakarmaka	milA-huA					
4	vAnareNa		vAnareNa	vAnara{puM;3;eka}	vAnara{puM;3;eka}	viSeRaNam,2	banxara_se					
5	ha		ha	ha{avya}	ha{avya}	sambanXaH,4	ha					
6	hanumax-vacanAw		hanumaxvacanAccEva	hanumax-vacana{napuM;5;eka}	hanumax-vacana{napuM;5;eka}	hewuH,10	hanumax-vacana_se		<hanumax-vacanAw>T6			
7	ca			ca{avya}	ca{avya}	sambanXaH,6	Ora					
8	eva			eva{avya}	eva{avya}	sambanXaH,7	hI					
9	sugrIveNa		sugrIveNa	sugrIva{puM;3;eka}/sugrIva{napuM;3;eka}	sugrIva{napuM;3;eka}	karwA,10	sugrIva_se					
10	samAgawaH		samAgawaH	samAgawa{puM;1;eka}	samAgawa{puM;1;eka(gam1;kwa;gamL;:BvAxiH)}	aBihiwa_karma,0;sakarmaka	AyA_huvA		sama-A-gawaH>Tp			
