index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	wawaH		wawo	wawaH{avya}	wawaH{avya}	anuyogI,7	vahAz_se					
2	jFAwi-vaXaM		jFAwivaXaM	jFAwi-vaXa{puM;2;eka}/vaXa{napuM;1;eka}/vaXa{napuM;2;eka}	jFAwi-vaXa{puM;2;eka}	karma,3	pEwqka_sambanXa-vaXa_ko					
3	SruwvA		SruwvA	Sru1{avya;kwvA;Sru;:BvAxiH}	Sru1{avya;kwvA;Sru;:BvAxiH}	pUrvakAlaH,7						
4	rAvaNaH		rAvaNaH	rAvaNa{puM;1;eka}	rAvaNa{puM;1;eka}	karwA,7	rAvaNa					
5	kroXamUrCiwaH		kroXamUrCiwaH	kroXamUrCiwa{puM;1;eka}	kroXamUrCiwa{puM;1;eka}	viSeRaNam,4	kroXamUrCiwa		<kroXa-mUrCiwaH>T3			
6	sahAyaM		sahAyaM	sahAya{puM;2;eka}	sahAya{puM;2;eka}	gONakarma,7	sAWI_ko					
7	varayAmAsa		varayAmAsa	vara1{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;vara;:curAxiH}/vara1{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;vara;:curAxiH}/vara1{Nijanwa;karwari;lit;u;eka;parasmEpaxI;vara;:curAxiH}/vara1{Nijanwa;karwari;lit;u;eka;AwmanepaxI;vara;:curAxiH}/vara1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;vara;:curAxiH}/vara1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;vara;:curAxiH}	vara1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;vara;:curAxiH}	aBihiwa_karwA,4;sakarmaka						
8	mArIcaM		mArIcaM	mArIca{puM;2;eka}	mArIca{puM;2;eka}	saFjFA,10	mArIca_ko					
9	nAma		nAma	nAma{avya}	nAma{avya}	saFjFAxyowakaH,8	nAmaka					
10	rAkRasam		rAkRasam	rAkRasa{puM;2;eka}	rAkRasa{puM;2;eka}	muKyakarma,7	rAkRasa_ko					
