index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	ni-vexayiwvA		nivexayiwvABijFAnaM	ni-vix5{avya;kwvA;vixaz;:curAxiH}	ni-vix5{avya;kwvA;vixaz;:curAxiH}	pUrvakAlaH,9						
2	aBi-jFAnaM			aBi-jFAna{napuM;1;eka}/jFAna{napuM;2;eka}	aBi-jFAna{napuM;2;eka}	karma,1	aBi-jFAna		<aBi-jFAnaM>Tp			
3	pra-vqwwiM		pravqwwiM	pra-vqwwi{swrI;2;eka}/vqwwi{puM;2;eka}	pra-vqwwi{swrI;2;eka}	karma,4	pra-aswiwva_ko					
4	vi-nivexya		vinivexya	vi-vix3{avya;lyap;vixLz;:wuxAxiH}/vix1{avya;lyap;vixaz;:axAxiH}	vi-ni_vix3{avya;lyap;vixLz;:wuxAxiH}	pUrvakAlaH,9			<vi-ni-vexya>Tg			
5	ca		ca	ca{avya}	ca{avya}	sambanXaH,4	Ora					
6	samASvAsya		samASvAsya	samASvAsya}	samASvAsya{avya;lyap}	pUrvakAlaH,9			<sama-A-SvAsya>Tg			
7	ca		ca	ca{avya}	ca{avya}	sambanXaH,6	Ora					
8	vExehIM		vExehIM	vExehI{swrI;2;eka}	vExehI{swrI;2;eka}	karma,6	sIwA_ko					
9	marxayAmAsa		marxayAmAsa	mqx1{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;mqxaz;:kryAxiH}/mqx1{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;mqxaz;:kryAxiH}/mqx1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;mqxaz;:kryAxiH}/mqx1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;mqxaz;:kryAxiH}/mqx1{Nijanwa;karwari;lit;u;eka;parasmEpaxI;mqxaz;:kryAxiH}/mqx1{Nijanwa;karwari;lit;u;eka;AwmanepaxI;mqxaz;:kryAxiH}	mqx1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;mqxaz;:kryAxiH}	aBihiwa_karwA,0;sakarmaka						
10	woraNam		woraNam	woraNa{puM;2;eka}/woraNa{napuM;1;eka(wur1;lyut;wuraz;:juhowyAxiH)}/woraNa{napuM;2;eka(wur1;lyut;wuraz;:juhowyAxiH)}	woraNa{napuM;2;eka(wur1;lyut;wuraz;:juhowyAxiH)}	karma,9	woraNa_ko					
