index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	saH		sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,8	vaha					
2	kAmam		kAmamanavApyEva	kAmam{avya}/kAma{puM;2;eka}	kAma{puM;2;eka}	karma,3						
3	anavApya			anavApya}	anavApya{na-ava_Ap1{avya;lyap;ApLz;:svAxiH}	pUrvakAlaH,8			<na-<na-vApya>Tn>Tn			
4	eva			eva{avya}	eva{avya}	sambanXaH,8	hI					
5	rAma-pAxO		rAmapAxAvupaspqSan	rAma-pAxa{puM;1;xvi}/pAxa{puM;2;xvi}/pAxa{puM;8;xvi}	rAma-pAxa{puM;2;xvi}	karma,6	rAma-pEra					
6	upa-spqSan			upa-spqSaw{puM;1;eka(upa-spqS1;Sawq_lat;spqSaz;:wuxAxiH)}	upa-spqSaw{puM;1;eka(upa-spqS1;Sawq_lat;spqSaz;:wuxAxiH)}	varwamAnasamAnakAlaH,8	upa-CUwA_huA					
7	nanxi-grAme		nanxigrAmeZkarowxrAjyaM	nanxi-grAma{puM;7;eka}/grAma{napuM;8;xvi}/grAma{napuM;1;xvi}/grAma{napuM;2;xvi}/grAma{napuM;7;eka}/grAmA{swrI;8;eka}/grAmA{swrI;8;xvi}/grAmA{swrI;1;xvi}/grAmA{swrI;2;xvi}	nanxi-grAma{puM;7;eka}	aXikaraNam,8	nanxi-gAzva_meM		<nanxi-grAme>K1			
8	akarow			kq3{karwari;laf;pra;eka;parasmEpaxI;dukqF;:wanAxiH}	kq3{karwari;laf;pra;eka;parasmEpaxI;dukqF;:wanAxiH}	aBihiwa_karwA,1;sakarmaka	kiyA					
9	rAjyaM			rAjya{napuM;1;eka}/rAjya{napuM;2;eka}	rAjya{napuM;2;eka}	karma,8	rAjya					
10	rAma-Agamana-kAfkRayA		rAmAgamanakAfkRayA	rAma-gam1{lyut;gamLz;:BvAxiH-kAfkRA;swrI;3;eka}	rAma-Af_gam1{lyut;gamLz;:BvAxiH-kAfkRA;swrI;3;eka}	prayojanam,9	rAma-gam1-aBilARA_se		<<rAma-Agamana>T6-kAfkRayA>U			
