index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	wasya		wasyABiRekasamBArAn	wax{sarvanAma;napuM;6;eka}/wax{sarvanAma;puM;6;eka}	waxsarvanAma{puM;6;eka}	RaRTIsambanXaH,2	usakA					
2	aBiReka-samBArAn			aBiReka-samBAra{puM;2;bahu}	aBiReka-samBAra{puM;2;bahu}	karma,3	aBiReka-saMgrahoM_ko		<aBiReka-samBArAn>T6			
3	xqRtvA		xqRtvA	xqS1{avya;kwvA;xqSizr;:BvAxiH}	xqS1{avya;kwvA;xqSizr;:BvAxiH}	pUrvakAlaH,12						
4	BAryA		BAryAZWa	BAryA{swrI;1;eka}	BAryA{swrI;1;eka}	viSeRaNam,6	pawnI					
5	aWa			aWa{avya}	aWa{avya}	sambanXaH,3	Ora					
6	kEkayI		kEkayI	kEkayI{swrI;1;eka}	kEkayI{swrI;1;eka}	karwA,12	kEkayI					
7	pUrvaM		pUrvaM	pUrva{puM;2;eka}/pUrva{sarvanAma;puM;2;eka}/pUrva{sarvanAma;napuM;1;eka}/pUrva{sarvanAma;napuM;2;eka}	pUrva{puM;2;eka}	kAlAXikaraNam,8	pUrva_ko					
8	xawwa-varA		xawwavarA	xA3{kwa;duxAF;:juhowyAxiH}/xo1{kwa;xo;:xivAxiH}/xA1{kwa;xAN;:BvAxiH}/xe1{kwa;xef;:BvAxiH-varA;swrI;1;eka}	xe1kwa;xef;:BvAxiH-varA{swrI;1;eka}	viSeRaNam,6			<xawwa-varA>Bs4			
9	xevI		xevI	xevI{swrI;1;eka}	xevI{swrI;1;eka}	viSeRaNam,6	xevI					
10	varam		varamenamayAcawa	varam{avya}/vara{puM;2;eka}/vara{napuM;1;eka}/vara{napuM;2;eka}	vara{puM;2;eka}	muKyakarma,12						
11	enam			ixam{sarvanAma;puM;2;eka}	ixam{sarvanAma;puM;2;eka}	gONakarma,12	isako					
12	ayAcawa			yAc1{karwari;laf;ma;bahu;parasmEpaxI;tuyAcqz;:BvAxiH}/yAc1{karwari;laf;pra;eka;AwmanepaxI;tuyAcqz;:BvAxiH}	yAc1karwari;laf;pra;eka;AwmanepaxI;tuyAcqz;:BvAxiH}	aBihiwa_karwA,6	yAcanA_kIM					
13	vivAsanaM		vivAsanaM	vivAsana{napuM;1;eka}/vivAsana{napuM;2;eka}	vivAsanana{puM;2;eka}	viSeRaNam,10	xeSa_nirvAsana					
14	ca		ca	ca{avya}	ca{avya}	samuccaya_xyowakaH,17	Ora					
15	rAmasya		rAmasya	rAma{puM;6;eka}	rAma{puM;6;eka}	RaRTIsambanXaH,13	rAma_kA					
16	Barawasya		BarawasyABiRecanam	Barawa{puM;6;eka}	Barawa{puM;6;eka}	RaRTIsambanXaH,17	Barawa_kA					
17	aBiRecanam			aBiRecana{napuM;1;eka}/aBiRecana{napuM;2;eka}	aBiRecana{napuM;2;eka}	samucciwaH,13	aBiRecana					
