index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अथ	2	अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	इसके_बाद	thereupon	-	-
2.1	व्यवस्थितान्	5	व्यवस्थितान्दृष्ट्वा	व्यवस्थित{पुं;2;बहु}	व्यवस्थित{पुं;2;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N2	मोर्चा_बाँधकर_डटे_हुए	arrayed	-	-
3.1	दृष्ट्वा	7		दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	पूर्वकालः,15.1	पूर्वकालः,15.1	NA	देखकर	on_seeing	-	-
4.1	धार्तराष्ट्रान्	6	धार्तराष्ट्रान्कपिध्वजः	धार्तराष्ट्र{पुं;2;बहु}	धार्तराष्ट्र{पुं;2;बहु}	कर्म,3.1	कर्म,3.1	N2	धृतराष्ट्र_सम्बन्धियों_को	the_sons_of_Dhrtarastra	-	-
5.1	कपि-	3		कपि	कपि	बहुव्रीहिः,5.2	बहुव्रीहिः,5.2	CP	कपिध्वज	one_who_had_the_figure_of_Hanuman_on_the_flag_of_his_chariot	<कपि-ध्वजः>Bs6	-
5.2	ध्वजः	-		ध्वज{पुं;1;एक}	ध्वज{पुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N1				-
6.1	प्रवृत्ते	10	प्रवृत्ते	प्रवृत्त{पुं;7;एक}/प्रवृत्त{नपुं;1;द्वि}/प्रवृत्त{नपुं;2;द्वि}/प्रवृत्त{नपुं;7;एक}/प्रवृत्ता{स्त्री;1;द्वि}/प्रवृत्ता{स्त्री;2;द्वि}/प्रवृत्ता{स्त्री;1;द्वि}/प्रवृत्ता{स्त्री;2;द्वि}	प्रवृत्त{पुं;7;एक}	भावलक्षणसप्तमी_पूर्वकालः,15.1	भावलक्षणसप्तमी_पूर्वकालः,15.1	N7	समय	to_be_hurled	-	-
7.1	शस्त्र-	9	शस्त्रसम्पाते	शस्त्र	शस्त्र	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	CP	शस्त्र_चलने_की_तैयारी_के	the_missiles_ready	<शस्त्र-सम्पाते>T6	-
7.2	सम्पाते	-		सम्पात{पुं;7;एक}	सम्पात{पुं;7;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N7				-
8.1	धनुः	11	धनुरुद्यम्य	धनु{पुं;1;एक}/धनुस्{नपुं;1;एक}/धनुस्{नपुं;2;एक}/धनुस्{नपुं;8;एक}	धनुस्{नपुं;2;एक}	कर्म,9.1	कर्म,9.1	N2	धनुष	bow	-	-
9.1	उद्यम्य	12		उद्_यम्1{कृत्_प्रत्ययः:ल्यप्;यमोँ;भ्वादिः}/उद्_यम्2{कृत्_प्रत्ययः:ल्यप्;यमँ;भ्वादिः}/उद्_यम्3{कृत्_प्रत्ययः:ल्यप्;यमँ;चुरादिः}	उद्_यम्1{कृत्_प्रत्ययः:ल्यप्;उद्_यमोँ;भ्वादिः}	पूर्वकालः,15.1	पूर्वकालः,15.1	NA	उठाकर	after_taking_up	-	-
10.1	पाण्डवः	4	पाण्डवः	पाण्डु{पुं;1;बहु}/पाण्डु{स्त्री;1;बहु}/पाण्डव{पुं;1;एक}	पाण्डव{पुं;1;एक}	कर्ता,15.1	कर्ता,15.1	N1	अर्जुन_ने	the_son_of_Pandu_(Arjuna)	-	-
11.1	हृषीकेशम्	13	हृषीकेशं	हृषीकेश{पुं;2;एक}	हृषीकेश{पुं;2;एक}	गौणकर्म,15.1	गौणकर्म,15.1	N2	हृषीकेश_श्रीकृष्ण_से	unto_Lord_Krsna	-	-
12.1	तदा	8	तदा	तदा{अव्य}	तदा{अव्य}	अधिकरणम्,15.1	अधिकरणम्,15.1	NA	उस	at_that_time	-	-
13.1	वाक्यम्	15	वाक्यमिदमाह	वाक्य{नपुं;1;एक}/वाक्य{नपुं;2;एक}	वाक्य{नपुं;2;एक}	मुख्यकर्म,15.1	मुख्यकर्म,15.1	N2	वचन	words	-	-
14.1	इदम्	14		इदम्{नपुं;1;एक}/इदम्{नपुं;2;एक}	इदम्{नपुं;2;एक}	विशेषणम्,13.1	विशेषणम्,13.1	N2	यह	these	-	-
15.1	आह	16		ब्रू1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;ब्रूञ्;अदादिः}	ब्रू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः}	अभिहिता_कर्ता,10.1	अभिहिता_कर्ता,10.1	KP	कहा	addressed	-	-
16.1	मही-	1	महीपते	मही	मही	षष्ठी-तत्पुरुषः,16.2	षष्ठी-तत्पुरुषः,16.2	CP	हे_राजन्	O_King	<मही-पते>T6	-
16.2	पते	-	-	पत{पुं;7;एक}/पति{पुं;8;एक}	पति{पुं;8;एक}	सम्बोध्यः,15.1	सम्बोध्यः,15.1	N8				-
17.1	सेनयोः	21	सेनयोरुभयोर्मध्ये	सेना{स्त्री;6;द्वि}/सेना{स्त्री;7;द्वि}	सेना{स्त्री;6;द्वि}	षष्ठीसम्बन्धः,19.1	षष्ठीसम्बन्धः,19.1	N6	सेनाओं_के	of_the_armies	-	-
18.1	उभयोः	20		उभ{पुं;6;द्वि}/उभ{पुं;7;द्वि}/उभ{नपुं;6;द्वि}/उभ{नपुं;7;द्वि}/उभ{पुं;6;द्वि}/उभ{पुं;7;द्वि}/उभ{नपुं;6;द्वि}/उभ{नपुं;7;द्वि}/उभा{स्त्री;6;द्वि}/उभा{स्त्री;7;द्वि}/उभा{स्त्री;6;द्वि}/उभा{स्त्री;7;द्वि}	उभ{पुं;6;द्वि}	विशेषणम्,17.1	विशेषणम्,17.1	N6	दोनों	of_two	-	-
19.1	मध्ये	22		मध्य{पुं;7;एक}/मध्य{नपुं;1;द्वि}/मध्य{नपुं;2;द्वि}/मध्य{नपुं;7;एक}/मध्या{स्त्री;1;द्वि}/मध्या{स्त्री;2;द्वि}	मध्य{पुं;7;एक}	अधिकरणम्,21.1	अधिकरणम्,21.1	N7	बीच_में	in_between_them	-	-
20.1	रथम्	19	रथं	रथ{पुं;2;एक}	रथ{पुं;2;एक}	कर्म,21.1	कर्म,21.1	N2	रथ_को	chariot	-	-
21.1	स्थापय	23	स्थापय	स्था1_णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;ष्ठा;भ्वादिः}	स्था1_णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;ष्ठा_णिच्;भ्वादिः}	वाक्यकर्म,15.1	वाक्यकर्म,15.1	KP	खड़ा_कीजिये	place	-	-
22.1	मे	18	मेऽच्युत	अस्मद्{6;एक}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,20.1	षष्ठीसम्बन्धः,20.1	N6	मेरे	my	-	-
23.1	अ-	17		अ-	अ-	बहुव्रीहिः ,23.2	बहुव्रीहिः ,23.2	CP	हे_अच्युत	O_infallible_one	<न-च्युत>Bsmn	-
23.2	च्युत	-	-	च्युत{पुं;8;एक}	च्युत{पुं;8;एक}	सम्बोध्यः,21.1	सम्बोध्यः,21.1	N8				-
24.1	(इति)			इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,15.1	वाक्यकर्म_द्योतकः,15.1	NA				
